gene_a	gene_b	in_dna_loose	cls	core_recip	aln_frac	fold	residual	exon_ratio	intron_cos	njunc_min	block_ident	concentration	total_frac	ident_disp	expr_ratio	log_expr_diff	npsv_min	nsun_min	l4_present
LOC101149428	LOC115932259	0	genuine	1.0000	1.0000	3	0	1.0000	1.0000	1.3863	1.0000	1.0000	1.0000	0.0000	0.7317	0.3037	0	0	1
LOC101149915	NAALAD2	0	truthbar	0.5135	0.0000	1	0	1.0000	0.9536	2.9444	0.0000	0.0000	0.0000	0.0000	0.0214	3.7913	NA	NA	0
LOC101149946	LOC134757265	0	genuine	0.3844	0.4710	3	0	0.8889	0.9943	2.0794	0.9837	1.0000	0.4710	0.0212	0.5143	0.6391	423	423	1
LOC101149946	PDCD6IP	0	genuine	0.1418	0.1815	3	0	0.5000	0.9506	2.1972	0.9784	1.0000	0.1815	0.0220	0.0356	3.2841	NA	NA	0
LOC101150168	LOC115933728	0	truthbar	0.8612	0.0000	3	0	0.8000	0.7880	1.3863	0.0000	0.0000	0.0000	0.0000	0.1121	2.1795	NA	NA	0
LOC101150168	LOC129526434	0	truthbar	0.6794	0.0000	3	0	0.8000	0.8373	1.3863	0.0000	0.0000	0.0000	0.0000	0.2455	1.4010	NA	NA	0
LOC101150168	TUBA1C	1	TP	0.8040	0.7767	3	0	1.0000	0.9438	1.3863	0.9748	1.0000	0.7767	0.0539	0.0975	2.3172	NA	NA	0
LOC101150168	TUBA3E	0	truthbar	0.8422	0.0000	3	0	0.8000	0.8024	1.3863	0.0000	0.0000	0.0000	0.0000	0.2018	1.5961	NA	NA	0
LOC101150168	TUBA8	0	truthbar	0.6070	0.0000	3	0	0.8000	0.9560	1.3863	0.0000	0.0000	0.0000	0.0000	0.0067	4.8487	NA	NA	0
LOC101150168	TUBAL3	0	truthbar	0.6019	0.0000	3	0	1.0000	0.8959	1.3863	0.0000	0.0000	0.0000	0.0000	0.0078	4.7151	NA	NA	0
LOC101150533	MSL3	1	TP	0.5646	0.8795	2	0	0.1667	0.6362	0.6931	0.9050	1.0000	0.8795	0.0788	0.0833	2.2246	NA	NA	0
LOC101150774	LOC109028376	0	genuine	0.4081	0.8550	1	0	0.6667	0.9706	0.6931	0.8930	1.0000	0.8550	0.0539	0.5714	0.4700	NA	NA	0
LOC101150774	LOC129527656	0	genuine	0.2990	0.5370	1	0	0.6667	0.9706	0.6931	0.8743	1.0000	0.5370	0.0492	0.8571	0.1335	NA	NA	0
LOC101150953	TRNAA-AGC	0	genuine	0.9158	0.9158	1	0	1.0000	1.0000	0.6931	1.0000	1.0000	0.9158	0.0000	0.6667	0.3567	NA	NA	0
LOC101150965	LOC101152401	0	genuine	0.4181	0.0000	4	0	0.8000	0.9305	1.3863	0.0000	0.0000	0.0000	0.0000	0.7222	0.3054	NA	NA	0
LOC101150965	LOC101153126	0	genuine	0.2745	0.0000	4	0	0.8000	0.8410	1.3863	0.0000	0.0000	0.0000	0.0000	0.0956	2.2809	NA	NA	0
LOC101150965	LOC101153131	0	genuine	0.6223	0.0000	4	0	0.8000	0.8462	1.3863	0.0000	0.0000	0.0000	0.0000	0.5909	0.4964	NA	NA	0
LOC101150965	LOC109024216	0	genuine	0.1335	0.0000	4	0	0.8000	0.9577	1.3863	0.0000	0.0000	0.0000	0.0000	0.3714	0.9445	NA	NA	0
LOC101150965	LOC115931567	0	genuine	0.3615	0.0000	4	0	1.0000	0.8599	1.6094	0.0000	0.0000	0.0000	0.0000	0.6923	0.3365	NA	NA	0
LOC101150965	LOC115931857	0	genuine	0.3066	0.0000	4	0	0.4000	0.5881	0.6931	0.0000	0.0000	0.0000	0.0000	0.8125	0.1942	NA	NA	0
LOC101150965	LOC129528947	0	genuine	0.4072	0.0000	4	0	0.8000	0.8419	1.3863	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	NA	NA	0
LOC101150965	OSBPL10	0	genuine	0.2662	0.0000	4	0	0.6000	0.7877	1.0986	0.0000	0.0000	0.0000	0.0000	0.5385	0.5596	NA	NA	0
LOC101150965	ZNF141	0	genuine	0.1610	0.0000	4	0	0.8000	0.6920	1.3863	0.0000	0.0000	0.0000	0.0000	0.1111	2.1316	NA	NA	0
LOC101150965	ZNF195	0	genuine	0.2903	0.0000	4	0	1.0000	0.8774	1.6094	0.0000	0.0000	0.0000	0.0000	0.1340	1.9459	NA	NA	0
LOC101150965	ZNF267	0	genuine	0.2408	0.0000	4	0	0.8000	0.7587	1.3863	0.0000	0.0000	0.0000	0.0000	0.0296	3.4477	NA	NA	0
LOC101150965	ZNF28	0	genuine	0.1331	0.0000	4	0	1.0000	0.9505	1.6094	0.0000	0.0000	0.0000	0.0000	0.1529	1.8153	NA	NA	0
LOC101150965	ZNF347	0	genuine	0.2720	0.0000	4	0	1.0000	0.9776	1.6094	0.0000	0.0000	0.0000	0.0000	0.5385	0.5596	NA	NA	0
LOC101150965	ZNF415	0	genuine	0.6392	0.0000	4	0	0.4000	0.7527	1.3863	0.0000	0.0000	0.0000	0.0000	0.7222	0.3054	NA	NA	0
LOC101150965	ZNF429	0	genuine	0.2845	0.0000	4	0	0.8000	0.7534	1.3863	0.0000	0.0000	0.0000	0.0000	0.2364	1.3863	NA	NA	0
LOC101150965	ZNF43	0	genuine	0.4917	0.0000	4	0	0.8000	0.7222	1.3863	0.0000	0.0000	0.0000	0.0000	0.3611	0.9719	NA	NA	0
LOC101150965	ZNF480	0	genuine	0.2146	0.0000	4	0	1.0000	0.8746	1.6094	0.0000	0.0000	0.0000	0.0000	0.7692	0.2412	NA	NA	0
LOC101150965	ZNF519	0	genuine	0.3032	0.0000	4	0	0.4000	0.5881	0.6931	0.0000	0.0000	0.0000	0.0000	0.9231	0.0741	NA	NA	0
LOC101150965	ZNF528	0	genuine	0.2820	0.4459	4	0	0.7143	0.9106	1.6094	0.8321	1.0000	0.4459	0.0759	0.4062	0.8575	NA	NA	0
LOC101150965	ZNF578	0	genuine	0.2109	0.0000	4	0	0.8333	0.8173	1.6094	0.0000	0.0000	0.0000	0.0000	0.7222	0.3054	NA	NA	0
LOC101150965	ZNF595	0	genuine	0.1793	0.0000	4	0	0.8000	0.7092	1.3863	0.0000	0.0000	0.0000	0.0000	0.1111	2.1316	NA	NA	0
LOC101150965	ZNF600	0	genuine	0.1768	0.0000	4	0	0.8000	0.9489	1.3863	0.0000	0.0000	0.0000	0.0000	0.1215	2.0431	NA	NA	0
LOC101150965	ZNF616	0	genuine	0.3007	0.0000	4	0	0.8000	0.9643	1.3863	0.0000	0.0000	0.0000	0.0000	0.0897	2.3445	NA	NA	0
LOC101150965	ZNF723	0	genuine	0.4465	0.0000	4	0	0.8000	0.8056	1.3863	0.0000	0.0000	0.0000	0.0000	0.3077	1.0296	NA	NA	0
LOC101150965	ZNF761	0	genuine	0.1331	0.0000	4	0	1.0000	0.8573	1.6094	0.0000	0.0000	0.0000	0.0000	0.1040	2.1972	NA	NA	0
LOC101150965	ZNF766	0	genuine	0.2604	0.0000	4	0	0.8000	0.8429	1.3863	0.0000	0.0000	0.0000	0.0000	0.0510	2.9061	NA	NA	0
LOC101150965	ZNF808	0	genuine	0.1922	0.0000	4	0	1.0000	0.9586	1.6094	0.0000	0.0000	0.0000	0.0000	0.3250	1.0745	NA	NA	0
LOC101150965	ZNF83	0	genuine	0.4929	0.0000	4	0	0.8000	0.7498	1.3863	0.0000	0.0000	0.0000	0.0000	0.0844	2.4044	NA	NA	0
LOC101150965	ZNF836	0	genuine	0.1335	0.0000	4	0	1.0000	0.8780	1.6094	0.0000	0.0000	0.0000	0.0000	0.3846	0.8473	NA	NA	0
LOC101150965	ZNF841	0	genuine	0.2908	0.0000	4	0	0.7143	0.9764	1.6094	0.0000	0.0000	0.0000	0.0000	0.3714	0.9445	NA	NA	0
LOC101150965	ZNF888	0	genuine	0.1498	0.0000	4	0	0.8000	0.7669	1.3863	0.0000	0.0000	0.0000	0.0000	0.5652	0.5390	NA	NA	0
LOC101150965	ZNF91	0	genuine	0.2304	0.0000	4	0	0.4000	0.5881	0.6931	0.0000	0.0000	0.0000	0.0000	0.2308	1.2528	NA	NA	0
LOC101150995	RAPH1	0	genuine	0.3058	0.0000	3	0	1.0000	1.0000	0.6931	0.0000	0.0000	0.0000	0.0000	0.1250	1.8326	NA	NA	0
LOC101150998	LOC134756941	0	genuine	0.4696	1.0012	1	0	1.0000	1.0000	1.3863	0.9946	1.0000	1.0012	0.0110	0.7381	0.2995	97	97	1
LOC101151070	LOC115931277	0	genuine	0.2495	0.5521	1	0	0.8571	0.9464	1.7918	0.8381	1.0000	0.5521	0.3132	0.4667	0.6931	NA	NA	0
LOC101151070	LOC115933170	0	genuine	0.1907	0.1907	1	0	0.3333	0.9634	1.7918	0.9866	1.0000	0.1907	0.0139	0.6364	0.4055	NA	NA	0
LOC101151107	NIPSNAP3A	1	TP	0.5449	0.5401	4	0	1.0000	0.9600	1.7918	0.9120	1.0000	0.5401	0.0516	0.0945	2.2871	NA	NA	0
LOC101151284	POLR3K	1	TP	0.9941	0.9941	4	0	1.0000	1.0000	1.0986	0.9988	1.0000	0.9941	0.0048	0.8800	0.1226	56	56	1
LOC101151290	PLEKHM1	1	TP	0.8545	0.8545	2	0	0.7778	0.9821	1.9459	0.9985	1.0000	0.8545	0.0053	0.3125	1.0415	59	59	1
LOC101151317	LOC101153727	0	genuine	0.3539	0.0000	0	0	0.4286	0.6088	1.0986	0.0000	0.0000	0.0000	0.0000	0.1765	1.5041	NA	NA	0
LOC101151317	LOC109024207	0	genuine	0.1882	0.0000	0	0	0.7500	0.9667	1.0986	0.0000	0.0000	0.0000	0.0000	0.1765	1.5041	NA	NA	0
LOC101151317	LOC115931610	0	genuine	0.1477	0.0000	0	0	0.6667	0.7756	1.3863	0.0000	0.0000	0.0000	0.0000	0.0600	2.5455	NA	NA	0
LOC101151317	ZFP3	0	genuine	0.3342	0.0000	0	0	0.5000	0.9745	0.6931	0.0000	0.0000	0.0000	0.0000	0.0811	2.2513	NA	NA	0
LOC101151317	ZFP82	0	genuine	0.1771	0.0000	0	0	0.8000	0.9004	1.3863	0.0000	0.0000	0.0000	0.0000	0.2000	1.3863	NA	NA	0
LOC101151317	ZNF184	0	genuine	0.3996	0.0000	0	0	0.6667	0.9508	1.3863	0.0000	0.0000	0.0000	0.0000	0.0254	3.3928	NA	NA	0
LOC101151317	ZNF189	0	genuine	0.2437	0.0000	0	0	0.7500	0.9906	1.0986	0.0000	0.0000	0.0000	0.0000	0.0146	3.9416	NA	NA	0
LOC101151317	ZNF266	0	genuine	0.2071	0.0000	0	0	0.4444	0.9936	1.3863	0.0000	0.0000	0.0000	0.0000	0.0283	3.2865	NA	NA	0
LOC101151317	ZNF283	0	genuine	0.3222	0.0000	0	0	0.4286	0.8901	1.0986	0.0000	0.0000	0.0000	0.0000	0.7083	0.3285	NA	NA	0
LOC101151317	ZNF30	0	genuine	0.2621	0.0000	0	0	0.6667	0.9721	1.3863	0.0000	0.0000	0.0000	0.0000	0.1667	1.5581	NA	NA	0
LOC101151317	ZNF329	0	genuine	0.3950	0.0000	0	0	0.7500	0.7330	1.0986	0.0000	0.0000	0.0000	0.0000	0.1765	1.5041	NA	NA	0
LOC101151317	ZNF331	0	genuine	0.2344	0.0000	0	0	0.6667	0.8798	1.3863	0.0000	0.0000	0.0000	0.0000	0.0556	2.6210	NA	NA	0
LOC101151317	ZNF420	0	genuine	0.3381	0.0000	0	0	0.6000	0.9571	1.0986	0.0000	0.0000	0.0000	0.0000	0.1441	1.8888	NA	NA	0
LOC101151317	ZNF461	0	genuine	0.1528	0.0000	0	0	0.6667	0.9477	1.3863	0.0000	0.0000	0.0000	0.0000	0.0811	2.2513	NA	NA	0
LOC101151317	ZNF471	0	genuine	0.1477	0.0000	0	0	0.8000	0.7932	1.3863	0.0000	0.0000	0.0000	0.0000	0.1111	1.9459	NA	NA	0
LOC101151317	ZNF529	0	genuine	0.2772	0.0000	0	0	0.8000	0.9884	1.3863	0.0000	0.0000	0.0000	0.0000	0.0476	2.7726	NA	NA	0
LOC101151317	ZNF540	0	genuine	0.2059	0.0000	0	0	0.8000	0.9952	1.3863	0.0000	0.0000	0.0000	0.0000	0.0526	2.6741	NA	NA	0
LOC101151317	ZNF546	0	genuine	0.3240	0.0000	0	0	0.5000	0.8521	1.0986	0.0000	0.0000	0.0000	0.0000	0.8947	0.1054	NA	NA	0
LOC101151317	ZNF565	0	genuine	0.3705	0.0000	0	0	0.6000	0.7298	1.0986	0.0000	0.0000	0.0000	0.0000	0.8947	0.1054	NA	NA	0
LOC101151317	ZNF566	0	genuine	0.2331	0.0000	0	0	0.8000	0.9543	1.3863	0.0000	0.0000	0.0000	0.0000	0.1071	1.9810	NA	NA	0
LOC101151317	ZNF571	0	genuine	0.3895	0.0000	0	0	1.0000	0.9812	1.3863	0.0000	0.0000	0.0000	0.0000	0.0833	2.2246	NA	NA	0
LOC101151317	ZNF573	0	genuine	0.4392	0.0000	0	0	0.6667	0.9171	1.3863	0.0000	0.0000	0.0000	0.0000	0.4286	0.6931	NA	NA	0
LOC101151317	ZNF582	0	genuine	0.2732	0.0000	0	0	0.8000	0.9773	1.3863	0.0000	0.0000	0.0000	0.0000	0.0122	4.1231	NA	NA	0
LOC101151317	ZNF583	0	genuine	0.2081	0.0000	0	0	0.8000	0.8810	1.3863	0.0000	0.0000	0.0000	0.0000	0.0333	3.1246	NA	NA	0
LOC101151317	ZNF607	0	genuine	0.2373	0.0000	0	0	0.6000	0.7267	1.0986	0.0000	0.0000	0.0000	0.0000	0.9412	0.0572	NA	NA	0
LOC101151317	ZNF665	0	genuine	0.5012	0.0000	0	0	0.7500	0.6733	1.0986	0.0000	0.0000	0.0000	0.0000	0.5882	0.4925	NA	NA	0
LOC101151317	ZNF780A	0	genuine	0.1971	0.0000	0	0	0.8000	0.8407	1.3863	0.0000	0.0000	0.0000	0.0000	0.3333	0.9163	NA	NA	0
LOC101151317	ZNF780B	0	genuine	0.3057	0.0000	0	0	0.8000	0.9587	1.3863	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	NA	NA	0
LOC101151317	ZNF790	0	genuine	0.3946	0.0000	0	0	0.8000	0.9951	1.3863	0.0000	0.0000	0.0000	0.0000	0.1364	1.7492	NA	NA	0
LOC101151317	ZNF829	0	genuine	0.2685	0.0000	0	0	0.6667	0.9845	1.3863	0.0000	0.0000	0.0000	0.0000	0.3000	1.0116	NA	NA	0
LOC101151318	LOC109027180	0	genuine	0.1567	0.0000	3	0	0.5714	0.9192	1.3863	0.0000	0.0000	0.0000	0.0000	0.0034	5.4739	NA	NA	0
LOC101151343	LOC101153153	0	truthbar	0.2689	0.9351	2	0	1.0000	0.9963	2.0794	0.8884	1.0000	0.9351	0.0626	0.3636	0.8755	NA	NA	0
LOC101151343	LOC129529923	0	truthbar	0.2518	0.8781	2	0	1.0000	0.9963	2.0794	0.8884	1.0000	0.8781	0.0626	0.3333	0.9555	NA	NA	0
LOC101151892	LOC115931567	0	genuine	0.1469	0.0000	4	0	0.6000	0.8362	1.0986	0.0000	0.0000	0.0000	0.0000	0.6429	0.4055	NA	NA	0
LOC101151892	ZNF429	0	genuine	0.1845	0.0000	4	0	0.6667	0.9959	0.6931	0.0000	0.0000	0.0000	0.0000	0.2143	1.3218	NA	NA	0
LOC101151892	ZNF595	0	genuine	0.1502	0.5390	4	0	0.6667	0.9959	0.6931	0.8177	1.0000	0.5390	0.1928	0.6667	0.3830	NA	NA	0
LOC101151892	ZNF675	0	genuine	0.1826	0.0000	4	0	0.7500	0.9689	1.0986	0.0000	0.0000	0.0000	0.0000	0.5600	0.5500	NA	NA	0
LOC101151892	ZNF723	0	genuine	0.1585	0.0000	4	0	0.7500	0.9321	1.0986	0.0000	0.0000	0.0000	0.0000	0.2857	1.0986	NA	NA	0
LOC101151892	ZNF92	0	genuine	0.1392	0.0000	4	0	0.6667	0.9959	0.6931	0.0000	0.0000	0.0000	0.0000	0.2857	1.0986	NA	NA	0
LOC101152035	LOC101153366	1	TP	0.5764	0.9079	3	0	1.0000	0.9737	1.9459	0.8985	1.0000	0.9079	0.0596	0.2791	1.2566	NA	NA	0
LOC101152035	LOC109027180	1	TP	0.6239	0.8769	3	0	1.0000	0.9762	1.9459	0.9021	1.0000	0.8769	0.0713	0.1083	2.2159	NA	NA	0
LOC101152062	MAGEB1	0	truthbar	0.3028	0.0000	4	0	1.0000	0.9772	1.0986	0.0000	0.0000	0.0000	0.0000	0.0415	3.0910	NA	NA	0
LOC101152062	MAGEB3	0	truthbar	0.3114	0.0000	4	0	0.4000	0.8661	0.6931	0.0000	0.0000	0.0000	0.0000	0.0698	2.3979	NA	NA	0
LOC101152401	LOC101153126	0	truthbar	0.2414	0.0000	4	0	1.0000	0.9710	1.3863	0.0000	0.0000	0.0000	0.0000	0.1324	1.9755	NA	NA	0
LOC101152401	LOC101153131	0	truthbar	0.1846	0.0000	4	0	1.0000	0.9488	1.3863	0.0000	0.0000	0.0000	0.0000	0.8182	0.1911	NA	NA	0
LOC101152401	LOC109024216	0	truthbar	0.2181	0.1144	4	0	1.0000	0.9865	1.3863	0.5829	1.0000	0.2961	0.0938	0.5143	0.6391	NA	NA	0
LOC101152401	LOC115931567	0	genuine	0.1732	0.0000	4	0	0.8000	0.9785	1.3863	0.0000	0.0000	0.0000	0.0000	0.5000	0.6419	NA	NA	0
LOC101152401	LOC115931568	0	truthbar	0.2846	0.0000	4	0	1.0000	0.9714	1.3863	0.0000	0.0000	0.0000	0.0000	0.2278	1.4376	NA	NA	0
LOC101152401	LOC115931576	0	truthbar	0.2251	0.0000	4	0	1.0000	0.9160	1.3863	0.0000	0.0000	0.0000	0.0000	0.9000	0.1001	NA	NA	0
LOC101152401	LOC115931654	0	truthbar	0.2176	0.1144	4	0	1.0000	0.9788	1.3863	0.9147	0.5234	0.2185	0.0537	0.3750	0.9474	NA	NA	0
LOC101152401	ZNF273	0	truthbar	0.2436	0.0000	4	0	1.0000	0.9702	1.3863	0.0000	0.0000	0.0000	0.0000	0.3889	0.8650	NA	NA	0
LOC101152401	ZNF28	0	truthbar	0.2240	0.2818	4	0	0.8000	0.9099	1.3863	0.8575	0.5906	0.4772	0.0943	0.2118	1.5099	NA	NA	0
LOC101152401	ZNF415	0	truthbar	0.3723	0.0000	4	0	0.5000	0.8890	1.3863	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	NA	NA	0
LOC101152401	ZNF43	0	truthbar	0.1612	0.0000	4	0	1.0000	0.8533	1.3863	0.0000	0.0000	0.0000	0.0000	0.5000	0.6665	NA	NA	0
LOC101152401	ZNF468	0	truthbar	0.2298	0.3994	4	0	0.8000	0.9032	1.3863	0.7636	1.0000	0.3994	0.2599	0.1500	1.8514	NA	NA	0
LOC101152401	ZNF480	0	truthbar	0.1464	0.0000	4	0	0.8000	0.9378	1.3863	0.0000	0.0000	0.0000	0.0000	0.5556	0.5465	NA	NA	0
LOC101152401	ZNF519	0	truthbar	0.2310	0.0000	4	0	0.5000	0.7146	0.6931	0.0000	0.0000	0.0000	0.0000	0.6667	0.3795	NA	NA	0
LOC101152401	ZNF600	0	truthbar	0.2257	0.2765	4	0	1.0000	0.9967	1.3863	0.6932	1.0000	0.3572	0.2913	0.1682	1.7377	NA	NA	0
LOC101152401	ZNF611	0	truthbar	0.1325	0.0000	4	0	1.0000	0.9852	1.3863	0.0000	0.0000	0.0000	0.0000	0.7826	0.2336	NA	NA	0
LOC101152401	ZNF675	0	truthbar	0.4155	0.0000	4	0	1.0000	0.8973	1.3863	0.0000	0.0000	0.0000	0.0000	0.7200	0.3137	NA	NA	0
LOC101152401	ZNF701	0	truthbar	0.1691	0.0000	4	0	1.0000	0.9540	1.3863	0.0000	0.0000	0.0000	0.0000	0.4000	0.8842	NA	NA	0
LOC101152401	ZNF721	0	truthbar	0.1498	0.0000	4	0	0.7500	0.7445	1.0986	0.0000	0.0000	0.0000	0.0000	0.2571	1.3182	NA	NA	0
LOC101152401	ZNF736	0	truthbar	0.1845	0.0000	4	0	1.0000	0.9348	1.3863	0.0000	0.0000	0.0000	0.0000	0.3889	0.8650	NA	NA	0
LOC101152401	ZNF761	0	truthbar	0.1958	0.3622	4	0	0.8000	0.9233	1.3863	0.8685	0.6191	0.3038	0.0557	0.1440	1.8918	NA	NA	0
LOC101152401	ZNF766	0	truthbar	0.2754	0.0000	4	0	1.0000	0.9688	1.3863	0.0000	0.0000	0.0000	0.0000	0.0706	2.6007	NA	NA	0
LOC101152401	ZNF808	0	truthbar	0.2176	0.2453	4	0	0.8000	0.9145	1.3863	0.7586	1.0000	0.2453	0.2231	0.4500	0.7691	NA	NA	0
LOC101152401	ZNF813	0	truthbar	0.1396	0.4838	4	0	1.0000	0.9105	1.3863	0.8897	1.0000	0.1954	0.0425	0.2400	1.3863	NA	NA	0
LOC101152401	ZNF83	0	truthbar	0.2104	0.0000	4	0	1.0000	0.8536	1.3863	0.0000	0.0000	0.0000	0.0000	0.1169	2.0990	NA	NA	0
LOC101152401	ZNF836	0	truthbar	0.2987	0.0000	4	0	0.8000	0.9256	1.3863	0.0000	0.0000	0.0000	0.0000	0.2778	1.1527	NA	NA	0
LOC101152401	ZNF841	0	truthbar	0.2199	0.0000	4	0	0.5714	0.9303	1.3863	0.0000	0.0000	0.0000	0.0000	0.5143	0.6391	NA	NA	0
LOC101152401	ZNF91	0	genuine	0.2419	0.0000	4	0	1.0000	0.9451	1.3863	0.0000	0.0000	0.0000	0.0000	0.2769	1.2452	NA	NA	0
LOC101152610	LOC129527660	0	genuine	0.2518	0.9396	2	0	0.8571	0.9992	1.7918	0.7785	1.0000	0.9396	0.3118	0.1500	1.6582	NA	NA	0
LOC101152665	SPIN1	0	truthbar	0.5207	0.0000	3	0	0.3333	0.7812	0.6931	0.0000	0.0000	0.0000	0.0000	0.0056	4.9712	NA	NA	0
LOC101152665	SPIN3	0	truthbar	0.6178	0.0000	3	0	1.0000	1.0000	0.6931	0.0000	0.0000	0.0000	0.0000	0.0253	3.4595	NA	NA	0
LOC101152741	LOC109027124	0	genuine	0.1339	0.4035	2	0	0.6000	0.9696	1.0986	0.8691	1.0000	0.4035	0.0877	0.8000	0.1823	NA	NA	0
LOC101152741	MPHOSPH8	0	genuine	0.1704	0.0000	2	1	1.0000	0.9617	1.0986	0.0000	0.0000	0.0000	0.0000	0.4444	0.6931	NA	NA	0
LOC101152843	SUGT1	0	genuine	0.2250	0.0000	1	0	0.1429	0.6792	0.6931	0.0000	0.0000	0.0000	0.0000	0.0857	2.1972	NA	NA	0
LOC101152938	LOC115934341	0	truthbar	0.3030	0.9326	0	0	0.8571	0.9830	1.7918	0.8657	1.0000	0.9326	0.0970	0.1250	1.8871	NA	NA	0
LOC101152972	LOC115931074	0	truthbar	0.3711	0.6301	1	0	0.9286	0.9672	2.5649	0.8403	1.0000	0.6945	0.1709	0.5000	0.5596	NA	NA	0
LOC101152972	LOC129527053	1	TP	0.5334	0.9621	1	0	1.0000	1.0000	2.6391	0.9961	1.0000	0.9993	0.0087	0.6000	0.4520	114	114	1
LOC101152972	RHPN2	1	TP	0.4869	0.9774	1	0	0.9333	0.9705	2.6391	0.9044	1.0000	0.9377	0.0272	0.6667	0.3567	NA	NA	0
LOC101153126	LOC101153131	0	truthbar	0.3764	0.0000	4	0	1.0000	0.9747	1.3863	0.0000	0.0000	0.0000	0.0000	0.1618	1.7845	NA	NA	0
LOC101153126	LOC109024216	0	truthbar	0.2891	0.0000	4	0	1.0000	0.9329	1.3863	0.0000	0.0000	0.0000	0.0000	0.2574	1.3365	NA	NA	0
LOC101153126	LOC115930172	0	genuine	0.4084	0.4867	4	0	1.0000	0.9929	1.3863	0.7639	1.0000	0.4867	0.0551	0.2794	1.2564	NA	NA	0
LOC101153126	LOC115931567	0	genuine	0.4089	0.4702	4	0	0.8000	0.9986	1.3863	0.6909	0.5415	0.8682	0.0519	0.2132	1.5188	NA	NA	0
LOC101153126	LOC115931568	0	truthbar	0.4496	0.0000	4	0	1.0000	0.9954	1.3863	0.0000	0.0000	0.0000	0.0000	0.5809	0.5380	NA	NA	0
LOC101153126	LOC115931576	0	truthbar	0.1447	0.4710	4	0	1.0000	0.9741	1.3863	0.8015	1.0000	0.4710	0.0706	0.1471	1.8755	NA	NA	0
LOC101153126	LOC115931654	0	truthbar	0.1898	0.0000	4	0	1.0000	0.9289	1.3863	0.0000	0.0000	0.0000	0.0000	0.3529	1.0282	NA	NA	0
LOC101153126	LOC115931857	0	truthbar	0.1993	0.0000	4	0	0.7500	0.9758	1.0986	0.0000	0.0000	0.0000	0.0000	0.1324	1.9755	NA	NA	0
LOC101153126	LOC129527827	0	genuine	0.2279	0.0000	4	0	1.0000	0.9949	1.3863	0.0000	0.0000	0.0000	0.0000	0.0221	3.5337	NA	NA	0
LOC101153126	LOC129528947	0	genuine	0.4090	0.4785	4	0	1.0000	0.9995	1.3863	0.8358	1.0000	0.4785	0.0713	0.0956	2.2809	NA	NA	0
LOC101153126	ZNF195	0	truthbar	0.1373	0.0000	4	0	0.8000	0.9863	1.3863	0.0000	0.0000	0.0000	0.0000	0.7132	0.3350	NA	NA	0
LOC101153126	ZNF254	0	truthbar	0.2445	0.0000	4	0	0.5000	0.8095	0.6931	0.0000	0.0000	0.0000	0.0000	0.0294	3.3105	NA	NA	0
LOC101153126	ZNF267	0	truthbar	0.1760	0.0000	4	0	1.0000	0.9608	1.3863	0.0000	0.0000	0.0000	0.0000	0.3098	1.1668	NA	NA	0
LOC101153126	ZNF273	0	truthbar	0.1654	0.7966	4	0	1.0000	0.9912	1.3863	0.6422	1.0000	0.7966	0.0526	0.0515	2.8405	NA	NA	0
LOC101153126	ZNF28	0	truthbar	0.1854	0.0000	4	0	0.8000	0.8808	1.3863	0.0000	0.0000	0.0000	0.0000	0.6250	0.4656	NA	NA	0
LOC101153126	ZNF429	0	truthbar	0.6889	0.0000	4	0	0.5000	0.8095	0.6931	0.0000	0.0000	0.0000	0.0000	0.0221	3.5337	NA	NA	0
LOC101153126	ZNF43	0	truthbar	0.4022	0.6951	4	0	1.0000	0.9241	1.3863	0.7775	1.0000	0.7601	0.1886	0.2647	1.3091	NA	NA	0
LOC101153126	ZNF430	0	truthbar	0.3934	0.4661	4	0	0.8000	0.9765	1.3863	0.8085	1.0000	0.4661	0.0583	0.3162	1.1358	NA	NA	0
LOC101153126	ZNF468	0	truthbar	0.2298	0.0000	4	0	0.8000	0.8540	1.3863	0.0000	0.0000	0.0000	0.0000	0.8824	0.1242	NA	NA	0
LOC101153126	ZNF486	0	truthbar	0.2276	0.0000	4	0	0.8000	0.9942	1.3863	0.0000	0.0000	0.0000	0.0000	0.0368	3.1282	NA	NA	0
LOC101153126	ZNF506	0	truthbar	0.2118	0.0000	4	0	0.5000	0.8095	0.6931	0.0000	0.0000	0.0000	0.0000	0.0956	2.2809	NA	NA	0
LOC101153126	ZNF519	0	truthbar	0.2736	0.0000	4	0	0.7500	0.9757	1.0986	0.0000	0.0000	0.0000	0.0000	0.0662	2.6174	NA	NA	0
LOC101153126	ZNF595	0	truthbar	0.3340	0.0000	4	0	0.5000	0.8095	0.6931	0.0000	0.0000	0.0000	0.0000	0.1544	1.8289	NA	NA	0
LOC101153126	ZNF600	0	truthbar	0.2377	0.0000	4	0	1.0000	0.9528	1.3863	0.0000	0.0000	0.0000	0.0000	0.7868	0.2378	NA	NA	0
LOC101153126	ZNF611	0	truthbar	0.1825	0.0000	4	0	1.0000	0.9966	1.3863	0.0000	0.0000	0.0000	0.0000	0.1691	1.7419	NA	NA	0
LOC101153126	ZNF626	0	truthbar	0.3685	0.0000	4	0	0.5000	0.8095	0.6931	0.0000	0.0000	0.0000	0.0000	0.1544	1.8289	NA	NA	0
