gene_a	gene_b	dn_a	dn_b	cls	core	aln_frac	aln_len	matches_best	blocklen_best	matches_sum	len_a	len_b	recip_id_best	recip_id_sum
LOC109024216	ZNF701	DN_NC_073244.2_64543447_4	DN_NC_073244.2_65293743_4	genuine	0.2184	0.5385	1987	1544	1987	2496	3690	4397	0.3511	0.5677
LOC109024216	ZNF813	DN_NC_073244.2_65293743_4	DN_NC_073244.2_65398487_4	truthbar	0.4378	1.0212	4490	3106	4490	3106	4397	5072	0.6124	0.6124
LOC109024216	ZNF888	DN_NC_073244.2_64860608_4	DN_NC_073244.2_65293743_4	truthbar	0.4644	0.9072	3989	2551	3989	2551	5389	4397	0.4734	0.4734
LOC109024259	ZNF155	DN_NC_073244.2_55497464_5	DN_NC_073244.2_55618657_2	genuine	0.4177	0.3711	1204	1041	1204	1041	4218	3244	0.2468	0.2468
LOC109024259	ZNF221	DN_NC_073244.2_55464824_5	DN_NC_073244.2_55618657_2	genuine	0.4563	0.4693	1520	1345	1520	1345	3239	3244	0.4146	0.4146
LOC109024259	ZNF222	DN_NC_073244.2_55538420_4	DN_NC_073244.2_55618657_2	genuine	0.4108	0.4251	710	608	710	608	1670	3244	0.1874	0.1874
LOC109024259	ZNF224	DN_NC_073244.2_55607411_6	DN_NC_073244.2_55618657_2	TP	0.5993	0.5996	1945	1945	1945	1945	4082	3244	0.4765	0.4765
LOC109024259	ZNF225	DN_NC_073244.2_55618657_2	DN_NC_073244.2_55626504_5	genuine	0.3758	0.529	1716	1424	1716	1424	3244	4728	0.3012	0.3012
LOC109024259	ZNF284	DN_NC_073244.2_55585242_5	DN_NC_073244.2_55618657_2	genuine	0.3912	0.3366	1092	919	1092	919	4351	3244	0.2112	0.2112
LOC109024269	ZNF433	DN_NC_073244.2_18045307_2	DN_NC_073244.2_18047026_4	genuine	0.8342	0.8346	1953	1953	1953	1953	3852	2340	0.5070	0.5070
LOC109024560	LOC109025730	DN_NC_073224.2_123525276_5	DN_NC_086018.1_24877691_3	genuine	0.195	0.3524	468	434	468	434	1328	3137	0.1383	0.1383
LOC109024560	PDCD5	DN_NC_073244.2_43610901_6	DN_NC_086018.1_24877691_3	genuine	0.2084	0.3938	495	451	495	451	1257	3137	0.1438	0.1438
LOC109024800	THSD1	DN_NC_073238.2_66682517_7	DN_NC_073238.2_66830454_5	genuine	0.2479	0.2782	605	581	605	581	2175	3506	0.1657	0.1657
LOC109024811	LOC129527096	DN_NC_073240.2_41396094_2	DN_NC_073244.2_15689625_6	genuine	0.2931	0.7727	833	719	833	719	1078	5704	0.1261	0.1261
LOC109024957	RFPL4A	DN_NC_073244.2_67776054_3	DN_NC_073244.2_67840893_3	TP	0.786	0.9992	1195	1163	1195	1163	1196	1207	0.9635	0.9635
LOC109025084	LOC129528550	DN_NC_073229.2_52163606_6	DN_NC_073244.2_54257531_4	genuine	0.6089	0.6443	509	476	509	476	790	2660	0.1789	0.1789
LOC109025132	LOC129523505	DN_NC_073229.2_17702988_11	DN_NC_086017.1_9790451_11	TP	0.7362	0.733	1603	1588	1603	1588	2187	2251	0.7055	0.7055
LOC109025132	LOC129525643	DN_NC_073229.2_17702988_11	DN_NC_073234.2_15631092_11	genuine	0.7705	1.0011	1810	1788	1810	1788	2187	1808	0.8176	0.8176
LOC109025320	LOC129527663	DN_NC_073228.2_78970101_2	DN_NC_073242.2_68108553_2	genuine	0.1985	1.0079	5469	5177	5469	5177	5426	6042	0.8568	0.8568
LOC109025447	LOC129531666	DN_NC_073236.2_47712811_9	DN_NC_073236.2_51202468_4	TP	0.503	0.5032	2207	2197	2207	2197	5851	4386	0.3755	0.3755
LOC109025447	LOC129531667	DN_NC_073236.2_47732210_12	DN_NC_073236.2_51437835_4	TP	0.3389	0.6753	2178	2139	2178	2139	3366	3225	0.6355	0.6355
LOC109025447	RGPD8	DN_NC_073236.2_47712811_9	DN_NC_073236.2_49989275_2	TP	0.5344	0.5344	2100	2062	2100	2062	5851	3930	0.3524	0.3524
LOC109025592	TIMM23B	DN_NC_073224.2_125859316_3	DN_NC_073232.2_65905862_9	genuine	0.2458	0.3019	516	468	516	468	1709	3128	0.1496	0.1496
LOC109025592	TOR3A	DN_NC_073224.2_125859316_3	DN_NC_073224.2_77707994_7	genuine	0.3078	0.3095	529	510	529	510	1709	2492	0.2047	0.2047
LOC109025592	TRAF5	DN_NC_073224.2_125859316_3	DN_NC_073224.2_45389129_11	genuine	0.2984	0.3786	647	580	647	580	1709	4143	0.1400	0.1400
LOC109025730	LOC129530096	DN_NC_073224.2_123525276_5	DN_NC_073247.2_114234875_11	genuine	0.3464	0.3464	460	417	460	417	1328	3162	0.1319	0.1319
LOC109025730	LOC129530131	DN_NC_073224.2_123525276_5	DN_NC_073247.2_115708949_2	genuine	0.3569	0.3569	474	437	474	437	1328	3055	0.1430	0.1430
LOC109025730	LOC134756589	DN_NC_073224.2_123525276_5	DN_NC_073234.2_126370406_2	genuine	0.3539	0.3539	470	431	470	431	1328	2868	0.1503	0.1503
LOC109025730	LRFN5	DN_NC_073224.2_123525276_5	DN_NC_073239.2_14838701_6	genuine	0.2447	0.3464	460	431	460	431	1328	6854	0.0629	0.0629
LOC109025730	MINPP1	DN_NC_073224.2_123525276_5	DN_NC_073232.2_99830035_5	genuine	0.2161	0.3313	440	404	440	404	1328	4192	0.0964	0.0964
LOC109025730	MMP24OS	DN_NC_073224.2_123525276_5	DN_NC_073245.2_47429376_4	genuine	0.1958	0.3456	459	425	459	425	1328	2748	0.1547	0.1547
LOC109025730	NCALD	DN_NC_073224.2_123525276_5	DN_NC_073231.2_107519754_4	genuine	0.3464	0.3464	460	425	460	425	1328	5059	0.0840	0.0840
LOC109025730	NCR3LG1	DN_NC_073224.2_123525276_5	DN_NC_073233.2_23732821_4	genuine	0.3464	0.3569	474	444	474	444	1328	3570	0.1244	0.1244
LOC109025730	NFXL1	DN_NC_073224.2_123525276_5	DN_NC_073227.2_55859426_23	genuine	0.2086	0.3396	451	426	451	426	1328	4455	0.0956	0.0956
LOC109025730	OXCT1	DN_NC_073224.2_123525276_5	DN_NC_073243.2_70014918_17	genuine	0.2613	0.3486	463	413	463	413	1328	4386	0.0942	0.0942
LOC109025730	PDCD5	DN_NC_073224.2_123525276_5	DN_NC_073244.2_43610901_6	genuine	0.3683	0.366	460	427	460	427	1328	1257	0.3215	0.3215
LOC109025730	SELENOP	DN_NC_073224.2_123525276_5	DN_NC_073243.2_69046517_5	genuine	0.2425	0.3471	461	430	461	430	1328	6999	0.0614	0.0614
LOC109025730	SEM1	DN_NC_073224.2_123525276_5	DN_NC_073230.2_92132360_3	genuine	0.2425	0.3471	461	432	461	432	1328	1950	0.2215	0.2215
LOC109025730	SPATA33	DN_NC_073224.2_123525276_5	DN_NC_073242.2_120248671_3	genuine	0.3389	0.3569	474	440	474	440	1328	4140	0.1063	0.1063
LOC109025730	SPC25	DN_NC_073224.2_123525276_5	DN_NC_073235.2_71373985_7	genuine	0.247	0.3464	460	437	460	437	1328	1360	0.3213	0.3213
LOC109025730	THNSL1	DN_NC_073224.2_123525276_5	DN_NC_073232.2_34013134_3	genuine	0.2681	0.3411	453	420	453	420	1328	5858	0.0717	0.0717
LOC109025730	TMEM38B	DN_NC_073224.2_123525276_5	DN_NC_073237.2_101948554_6	genuine	0.3554	0.3569	474	433	474	433	1328	4500	0.0962	0.0962
LOC109025730	TSPAN8	DN_NC_073224.2_123525276_5	DN_NC_073234.2_86426177_10	genuine	0.2387	0.3539	470	433	470	433	1328	3218	0.1346	0.1346
LOC109025730	UCHL1	DN_NC_073224.2_123525276_5	DN_NC_073227.2_49278079_9	genuine	0.3464	0.3464	460	437	460	437	1328	3774	0.1158	0.1158
LOC109025772	LRATD1	DN_NC_073236.2_125241687_3	DN_NC_073236.2_125270757_2	genuine	0.3605	0.3595	1073	1073	1073	1073	2985	4183	0.2565	0.2565
LOC109025815	LOC109025979	DN_NC_073235.2_31713963_3	DN_NC_073235.2_32705529_3	genuine	0.9773	0.9773	559	543	559	543	572	574	0.9460	0.9460
LOC109026610	ZNF595	DN_NC_073227.2_8633416_4	DN_NC_073227.2_8705656_4	truthbar	0.2553	0.52	1546	1258	1546	1258	2973	3917	0.3212	0.3212
LOC109026704	UBB	DN_NC_073228.2_70438436_2	DN_NC_073228.2_83796015_2	genuine	0.6965	0.8271	842	798	842	798	1902	1018	0.4196	0.4196
LOC109026767	LOC115934575	DN_NC_073228.2_79859997_3	DN_NC_073228.2_83368453_5	genuine	0.31	0.9982	2708	2620	2708	2620	2713	4563	0.5742	0.5742
LOC109027124	MPHOSPH8	DN_NC_073229.2_194862622_5	DN_NC_073238.2_33904146_3	genuine	0.3524	0.7648	790	693	790	693	1098	1033	0.6311	0.6311
LOC109027174	MHC-G	DN_NC_073229.2_47377766_7	DN_NC_073229.2_47663527_8	genuine	0.8425	0.8393	1034	890	1034	890	1232	1939	0.4590	0.4590
LOC109027212	LOC115934041	DN_NC_073229.2_67950085_3	DN_NC_086017.1_112545872_3	genuine	0.3612	0.7323	971	925	971	925	1326	1707	0.5419	0.5419
LOC109027212	LOC129528278	DN_NC_073229.2_67950085_3	DN_NC_073241.2_83874271_3	genuine	0.9992	1.0	1326	1322	1326	1322	1326	1329	0.9947	0.9947
LOC109027212	LOC129528791	DN_NC_073229.2_67950085_3	DN_NC_073244.2_6165323_3	genuine	0.454	0.7637	979	919	979	919	1326	1282	0.6931	0.6931
LOC109027212	SSBP1	DN_NC_073229.2_67950085_3	DN_NC_073230.2_150857421_7	genuine	0.2225	0.5596	742	659	742	659	1326	2323	0.2837	0.2837
LOC109027782	LOC129523694	DN_NC_073230.2_63938060_3	DN_NC_073230.2_64705365_4	TP	0.5883	0.5883	373	371	373	371	898	634	0.4131	0.4131
LOC109027782	PSPH	DN_NC_073230.2_63938060_3	DN_NC_073230.2_64191496_8	TP	0.2595	0.3708	333	308	333	308	898	2230	0.1381	0.1381
LOC109028376	LOC115934025	DN_NC_073237.2_79912635_2	DN_NC_086017.1_24755690_2	genuine	0.2882	0.8499	985	808	985	808	1159	3829	0.2110	0.2110
LOC109028376	LOC129527656	DN_NC_073237.2_79912635_2	DN_NC_073242.2_36567597_2	genuine	0.2519	0.6419	744	640	744	640	1159	1378	0.4644	0.4644
LOC109028376	LOC134757969	DN_NC_073237.2_79912635_2	DN_NC_086017.1_24755694_2	genuine	0.2882	0.8499	985	808	985	808	1159	3771	0.2143	0.2143
LOC109028376	PGM3	DN_NC_073229.2_107305414_13	DN_NC_073237.2_79912635_2	genuine	0.2243	0.8628	1000	843	1000	843	6824	1159	0.1235	0.1235
LOC109028502	VIM	DN_NC_073232.2_26196651_3	DN_NC_073232.2_26211167_9	genuine	0.2988	0.2955	641	641	641	641	2169	2579	0.2485	0.2485
LOC109028604	OXA1L	DN_NC_073239.2_33872730_10	DN_NC_073239.2_33878048_2	genuine	0.2773	0.2642	344	344	344	344	3113	1302	0.1105	0.1105
LOC109028900	SESN3	DN_NC_073233.2_103065421_4	DN_NC_073233.2_103150044_4	genuine	0.4955	0.4945	938	938	938	938	2400	1897	0.3908	0.3908
LOC109029264	LOC115930232	DN_NC_073234.2_24956987_7	DN_NC_073234.2_24978856_8	TP	0.3267	0.6018	606	598	606	598	1371	1007	0.4362	0.4362
LOC109029488	LOC115932735	DN_NC_073224.2_124234032_12	DN_NC_073224.2_124254598_20	TP	0.245	0.245	868	809	868	809	4401	3543	0.1838	0.1838
LOC115930161	LOC129527724	DN_NC_073242.2_104350782_12	DN_NC_073242.2_99181437_12	genuine	0.5482	1.0	2375	2352	2375	2352	2375	2640	0.8909	0.8909
LOC115930164	LOC115930576	DN_NC_073224.2_218434129_23	DN_NC_073224.2_223156764_8	TP	0.946	0.9464	2419	2374	2419	2374	5272	2556	0.4503	0.4503
LOC115930164	LOC115933235	DN_NC_073224.2_129429039_7	DN_NC_073224.2_223478295_8	truthbar	0.4724	0.7002	1749	1550	1749	1550	2498	3760	0.4122	0.4122
LOC115930164	LOC115933241	DN_NC_073224.2_115073393_19	DN_NC_073224.2_223156764_8	genuine	0.2175	0.8905	2276	2020	2276	2020	4388	2556	0.4603	0.4603
LOC115930172	LOC115931567	DN_NC_073244.2_27051998_4	DN_NC_073244.2_27566430_5	genuine	0.5373	0.3229	910	714	910	714	3768	2818	0.1895	0.1895
LOC115930172	LOC115931568	DN_NC_073244.2_27051998_4	DN_NC_073244.2_28072858_4	genuine	0.4541	0.48	1611	1273	1611	1273	3768	3356	0.3378	0.3378
LOC115930172	LOC115931576	DN_NC_073244.2_27051998_4	DN_NC_073244.2_29046961_4	genuine	0.41	0.4376	1649	1406	1649	1406	3768	4064	0.3460	0.3460
LOC115930172	LOC129528947	DN_NC_073244.2_27051998_4	DN_NC_073244.2_27408454_4	genuine	0.349	0.4554	1716	1385	1716	1385	3768	3831	0.3615	0.3615
LOC115930172	ZNF254	DN_NC_073244.2_27051998_4	DN_NC_073244.2_30438340_4	genuine	0.41	0.4867	1834	1384	1834	1384	3768	4060	0.3409	0.3409
LOC115930172	ZNF273	DN_NC_073230.2_74299233_4	DN_NC_073244.2_27051998_4	genuine	0.4108	0.4432	1667	1357	1667	1357	3761	3768	0.3601	0.3601
LOC115930172	ZNF43	DN_NC_073244.2_27051998_4	DN_NC_073244.2_28333451_4	genuine	0.2611	0.4583	1727	1330	1727	1330	3768	4132	0.3219	0.3219
LOC115930172	ZNF430	DN_NC_073244.2_27051998_4	DN_NC_073244.2_27504818_5	genuine	0.3779	0.4156	1532	1165	1532	1890	3768	3686	0.3092	0.5016
LOC115930172	ZNF486	DN_NC_073244.2_26666712_5	DN_NC_073244.2_27051998_4	genuine	0.4504	0.5405	1655	1223	1655	1223	3062	3768	0.3246	0.3246
LOC115930172	ZNF506	DN_NC_073244.2_26240035_4	DN_NC_073244.2_27051998_4	genuine	0.2113	0.8538	2808	2063	2808	2063	3289	3768	0.5475	0.5475
LOC115930172	ZNF675	DN_NC_073244.2_27051998_4	DN_NC_073244.2_29970261_4	genuine	0.5359	0.7684	1692	1418	1692	1418	3768	2202	0.3763	0.3763
LOC115930172	ZNF723	DN_NC_073244.2_27051998_4	DN_NC_073244.2_29232445_4	genuine	0.5009	0.6926	1604	1237	1604	1237	3768	2316	0.3283	0.3283
LOC115930172	ZNF92	DN_NC_073230.2_74637814_2	DN_NC_073244.2_27051998_4	genuine	0.1953	0.4454	1325	1057	1325	1057	2975	3768	0.2805	0.2805
LOC115930550	LOC115933127	DN_NC_073239.2_122741455_4	DN_NC_073239.2_122796928_6	TP	0.7356	1.0389	1175	1085	1175	1085	1131	1219	0.8901	0.8901
LOC115930550	LOC115933128	DN_NC_073239.2_122634080_4	DN_NC_073239.2_122796928_6	TP	0.6962	1.05	1175	1067	1175	1067	1119	1219	0.8753	0.8753
LOC115930550	LOC115933240	DN_NC_073239.2_122615409_4	DN_NC_073239.2_122796928_6	TP	0.723	1.0545	1180	1067	1180	1067	1119	1219	0.8753	0.8753
LOC115930550	LOC134757171	DN_NC_073239.2_122769394_7	DN_NC_073239.2_122796928_6	genuine	0.6891	1.0377	1265	1156	1265	1156	1270	1219	0.9102	0.9102
LOC115930576	LOC115932984	DN_NC_073224.2_130224824_25	DN_NC_073224.2_218434129_23	truthbar	0.2014	0.7289	3036	2701	3036	2701	4165	5272	0.5123	0.5123
LOC115930576	LOC115933235	DN_NC_073224.2_129429039_7	DN_NC_073224.2_218434129_23	truthbar	0.4724	0.9123	2279	2022	2279	2022	2498	5272	0.3835	0.3835
LOC115930576	LOC129525330	DN_NC_073224.2_125594338_29	DN_NC_073224.2_218434129_23	TP	0.1937	0.7203	3023	2693	3023	2693	4197	5272	0.5108	0.5108
LOC115930576	LOC129525599	DN_NC_073224.2_116807774_25	DN_NC_073224.2_218434129_23	truthbar	0.2546	0.7759	2551	2074	2551	3296	3288	5272	0.3934	0.6252
LOC115930576	LOC134756861	DN_NC_073224.2_117494263_25	DN_NC_073224.2_218434129_23	truthbar	0.2552	0.7412	2437	2147	2437	3367	3288	5272	0.4072	0.6387
LOC115931054	PDPR	DN_NC_073242.2_103773356_15	DN_NC_073242.2_99543624_18	genuine	0.4692	0.4699	1984	1976	1984	1976	4222	7299	0.2707	0.2707
LOC115931054	PSMD7	DN_NC_073242.2_103765562_7	DN_NC_073242.2_103773356_15	genuine	0.5884	0.5884	1005	1005	1005	1005	1708	4222	0.2380	0.2380
LOC115931067	LOC134757486	DN_NC_073242.2_3790652_3	DN_NC_073242.2_3794469_3	TP	1.0	1.0	626	626	626	626	634	626	0.9874	0.9874
LOC115931069	LOC129527586	DN_NC_073242.2_21122105_21	DN_NC_073242.2_21673693_21	TP	0.307	1.0346	4539	4255	4539	4255	4387	4439	0.9585	0.9585
LOC115931074	LOC129527053	DN_NC_073240.2_23219746_14	DN_NC_073242.2_37435648_13	TP	0.21	0.6941	1947	1637	1947	1637	6090	2805	0.2688	0.2688
LOC115931074	RHPN2	DN_NC_073242.2_37435648_13	DN_NC_073244.2_44006563_15	TP	0.5027	0.5697	1598	1465	1598	1465	2805	3540	0.4138	0.4138
LOC115931432	LOC129525065	DN_NC_073232.2_8894424_4	DN_NC_073242.2_120770730_3	TP	0.4165	0.9065	2161	2141	2161	2141	2595	2384	0.8250	0.8250
LOC115931567	LOC115931576	DN_NC_073244.2_27626411_5	DN_NC_073244.2_29046961_4	genuine	0.3858	0.4198	1618	1332	1618	1332	3854	4064	0.3278	0.3278
LOC115931567	LOC129528947	DN_NC_073244.2_27408454_4	DN_NC_073244.2_27566430_5	genuine	0.4915	0.6054	1706	1311	1706	1311	3831	2818	0.3422	0.3422
LOC115931567	ZNF254	DN_NC_073244.2_27626411_5	DN_NC_073244.2_30438340_4	genuine	0.4074	0.4419	1703	1383	1703	1383	3854	4060	0.3406	0.3406
LOC115931567	ZNF273	DN_NC_073230.2_74299233_4	DN_NC_073244.2_27626411_5	genuine	0.418	0.4366	1642	1255	1642	1255	3761	3854	0.3256	0.3256
LOC115931567	ZNF429	DN_NC_073244.2_27566430_5	DN_NC_073244.2_27956158_2	genuine	0.6268	0.8325	1809	1239	1809	1239	2818	2173	0.4397	0.4397
LOC115931567	ZNF43	DN_NC_073244.2_27566430_5	DN_NC_073244.2_28333451_4	truthbar	0.3527	0.5809	1637	1302	1637	3537	2818	4132	0.3151	0.8560
LOC115931567	ZNF430	DN_NC_073244.2_27504818_5	DN_NC_073244.2_27566430_5	genuine	0.2452	0.6015	1695	1481	1695	1481	3686	2818	0.4018	0.4018
LOC115931567	ZNF626	DN_NC_073244.2_27131194_2	DN_NC_073244.2_27626411_5	genuine	0.3997	0.4395	1380	1021	1380	1021	3140	3854	0.2649	0.2649
LOC115931567	ZNF675	DN_NC_073244.2_27566430_5	DN_NC_073244.2_29970261_4	genuine	0.5631	0.7257	1598	1290	1598	1290	2818	2202	0.4578	0.4578
LOC115931567	ZNF680	DN_NC_073230.2_73977205_4	DN_NC_073244.2_27566430_5	genuine	0.2793	0.4872	1373	1090	1373	1090	3255	2818	0.3349	0.3349
LOC115931567	ZNF681	DN_NC_073244.2_27626411_5	DN_NC_073244.2_30067652_4	genuine	0.3181	0.4777	1841	1297	1841	1297	3854	5815	0.2230	0.2230
LOC115931567	ZNF723	DN_NC_073244.2_27626411_5	DN_NC_073244.2_29232445_4	genuine	0.6546	1.0484	2428	1825	2428	1825	3854	2316	0.4735	0.4735
LOC115931567	ZNF91	DN_NC_073244.2_27566430_5	DN_NC_073244.2_29680825_2	truthbar	0.3389	0.3552	1001	799	1001	1499	2818	5154	0.1550	0.2908
LOC115931567	ZNF92	DN_NC_073230.2_74637814_2	DN_NC_073244.2_27626411_5	genuine	0.3997	0.476	1416	1206	1416	1206	2975	3854	0.3129	0.3129
LOC115931568	LOC115931576	DN_NC_073244.2_28072858_4	DN_NC_073244.2_29046961_4	truthbar	0.472	0.5074	1703	1346	1703	1346	3356	4064	0.3312	0.3312
LOC115931568	LOC129528947	DN_NC_073244.2_27408454_4	DN_NC_073244.2_28072858_4	genuine	0.3844	0.5051	1695	1270	1695	1270	3831	3356	0.3315	0.3315
LOC115931568	ZNF273	DN_NC_073230.2_74299233_4	DN_NC_073244.2_28072858_4	truthbar	0.4729	0.455	1527	1272	1527	1272	3761	3356	0.3382	0.3382
LOC115931568	ZNF43	DN_NC_073244.2_28072858_4	DN_NC_073244.2_28333451_4	truthbar	0.2753	0.5244	1760	1256	1760	1256	3356	4132	0.3040	0.3040
LOC115931568	ZNF675	DN_NC_073244.2_28072858_4	DN_NC_073244.2_29970261_4	truthbar	0.525	0.7598	1673	1253	1673	1253	3356	2202	0.3734	0.3734
LOC115931568	ZNF723	DN_NC_073244.2_28072858_4	DN_NC_073244.2_29232445_4	truthbar	0.6788	0.6192	1434	1205	1434	1205	3356	2316	0.3591	0.3591
LOC115931576	LOC129528947	DN_NC_073244.2_27408454_4	DN_NC_073244.2_29046961_4	genuine	0.4067	0.468	1793	1465	1793	1465	3831	4064	0.3605	0.3605
LOC115931576	ZNF254	DN_NC_073244.2_29046961_4	DN_NC_073244.2_30438386_2	truthbar	0.3089	0.7072	2649	1909	2649	2595	4064	3746	0.4697	0.6385
LOC115931576	ZNF273	DN_NC_073230.2_74299233_4	DN_NC_073244.2_29046961_4	truthbar	0.2414	0.9133	3435	2640	3435	2640	3761	4064	0.6496	0.6496
LOC115931576	ZNF429	DN_NC_073244.2_27956158_2	DN_NC_073244.2_29046961_4	truthbar	0.7322	0.4924	1070	904	1070	904	2173	4064	0.2224	0.2224
LOC115931576	ZNF43	DN_NC_073244.2_28333451_4	DN_NC_073244.2_29046961_4	truthbar	0.4085	0.4021	1634	1320	1634	3202	4132	4064	0.3195	0.7749
LOC115931576	ZNF430	DN_NC_073244.2_27504818_5	DN_NC_073244.2_29046961_4	truthbar	0.3937	0.5016	1849	1292	1849	2726	3686	4064	0.3179	0.6708
LOC115931576	ZNF506	DN_NC_073244.2_26240035_4	DN_NC_073244.2_29046961_4	truthbar	0.4147	0.5272	1734	1376	1734	1376	3289	4064	0.3386	0.3386
LOC115931576	ZNF626	DN_NC_073244.2_27131194_2	DN_NC_073244.2_29046961_4	truthbar	0.2924	0.3366	1057	826	1057	2130	3140	4064	0.2032	0.5241
LOC115931576	ZNF675	DN_NC_073244.2_29046961_4	DN_NC_073244.2_29970261_4	truthbar	0.6122	0.9846	2168	1810	2168	1810	4064	2202	0.4454	0.4454
LOC115931576	ZNF680	DN_NC_073230.2_73977205_4	DN_NC_073244.2_29046961_4	truthbar	0.2747	0.4842	1576	1319	1576	1319	3255	4064	0.3246	0.3246
LOC115931576	ZNF681	DN_NC_073244.2_29046961_4	DN_NC_073244.2_30067652_4	truthbar	0.2827	0.702	2853	2263	2853	2263	4064	5815	0.3892	0.3892
LOC115931576	ZNF723	DN_NC_073244.2_29046961_4	DN_NC_073244.2_29232445_4	truthbar	0.3748	0.3877	898	788	898	788	4064	2316	0.1939	0.1939
LOC115931576	ZNF91	DN_NC_073244.2_29046961_4	DN_NC_073244.2_29680825_2	genuine	0.2136	0.3829	1556	1173	1556	2889	4064	5154	0.2276	0.5605
LOC115931576	ZNF92	DN_NC_073230.2_74637814_2	DN_NC_073244.2_29046961_4	truthbar	0.4376	0.6689	1990	1532	1990	1532	2975	4064	0.3770	0.3770
LOC115931590	ZSCAN5B	DN_NC_073244.2_68258639_5	DN_NC_073244.2_68293337_5	TP	0.4856	0.703	1290	1175	1290	1175	1835	1995	0.5890	0.5890
LOC115931654	ZNF600	DN_NC_073244.2_64724127_4	DN_NC_073244.2_65266359_4	truthbar	0.2795	0.397	1717	1301	1717	2571	4325	5995	0.2170	0.4289
LOC115931654	ZNF611	DN_NC_073244.2_64672255_4	DN_NC_073244.2_65266359_4	truthbar	0.2502	0.9184	3986	2693	3986	2693	4340	5995	0.4492	0.4492
LOC115931654	ZNF701	DN_NC_073244.2_64543447_4	DN_NC_073244.2_65266359_4	genuine	0.219	0.6024	2223	1516	2223	2945	3690	5995	0.2529	0.4912
LOC115931654	ZNF808	DN_NC_073244.2_64500861_5	DN_NC_073244.2_65266359_4	truthbar	0.2371	0.3602	1759	1311	1759	2433	4884	5995	0.2187	0.4058
LOC115931654	ZNF888	DN_NC_073244.2_64860608_4	DN_NC_073244.2_65266359_4	truthbar	0.2095	0.7408	3992	2604	3992	2604	5389	5995	0.4344	0.4344
LOC115931857	ZNF519	DN_NC_073241.2_36126183_3	DN_NC_073246.2_15789285_3	TP	0.8535	1.0105	2593	2534	2593	2534	2566	4381	0.5784	0.5784
LOC115932055	TFDP1	DN_NC_073238.2_128463727_12	DN_NC_073247.2_47501169_3	genuine	0.4303	0.9234	2496	2334	2496	2334	2703	3868	0.6034	0.6034
LOC115932241	LOC115932281	DN_NC_073247.2_18318973_2	DN_NC_073247.2_18934892_2	genuine	0.3944	0.8711	561	498	561	498	966	644	0.5155	0.5155
LOC115932241	LOC129529790	DN_NC_073247.2_17003459_2	DN_NC_073247.2_18318973_2	truthbar	0.4144	0.8973	524	449	524	449	584	966	0.4648	0.4648
LOC115932241	LOC129530333	DN_NC_073247.2_18318973_2	DN_NC_073248.2_30080680_2	genuine	0.3675	0.875	581	494	581	494	966	664	0.5114	0.5114
LOC115932281	LOC129529790	DN_NC_073247.2_17003459_2	DN_NC_073247.2_18934892_2	TP	0.4178	1.0822	632	580	632	580	584	644	0.9006	0.9006
LOC115932281	LOC129530333	DN_NC_073247.2_18934892_2	DN_NC_073248.2_30080680_2	genuine	0.6366	1.0311	664	599	664	599	644	664	0.9021	0.9021
LOC115932634	PPIF	DN_NC_073232.2_36391573_6	DN_NC_073232.2_91788490_6	genuine	0.4936	1.0004	2270	2257	2270	2257	2823	2269	0.7995	0.7995
LOC115932683	TUBGCP5	DN_NC_073240.2_21430216_23	DN_NC_073240.2_24008961_23	TP	0.9977	0.9977	3825	3818	3825	3818	3974	3834	0.9607	0.9607
LOC115932749	ZC3H7A	DN_NC_073242.2_15387796_13	DN_NC_073242.2_35785087_23	TP	0.9672	0.9672	2535	2519	2535	2519	2621	3846	0.6550	0.6550
LOC115932756	LOC115932954	DN_NC_073238.2_25250945_5	DN_NC_073240.2_17174470_5	TP	0.6332	1.0612	2618	2450	2618	2450	2467	4156	0.5895	0.5895
LOC115932756	LOC129530227	DN_NC_073240.2_17174470_5	DN_NC_073248.2_45277558_8	genuine	0.271	0.6093	906	739	906	739	4156	1487	0.1778	0.1778
LOC115932756	LOC134756368	DN_NC_073236.2_23070420_5	DN_NC_073240.2_17174470_5	TP	0.8018	1.0	2588	2573	2588	2573	2588	4156	0.6191	0.6191
LOC115932756	XRCC2	DN_NC_073230.2_161461454_2	DN_NC_073240.2_17174470_5	TP	0.412	0.7303	1170	1159	1170	1159	1602	4156	0.2789	0.2789
LOC115932762	LOC129527190	DN_NC_073236.2_30501599_2	DN_NC_073238.2_22111250_2	genuine	0.4069	0.94	1959	1905	1959	1905	2225	2084	0.8562	0.8562
LOC115932762	NOSTRIN	DN_NC_073235.2_71287360_16	DN_NC_073236.2_30490104_2	genuine	0.2562	0.6086	1233	1128	1233	1128	5538	2026	0.2037	0.2037
LOC115932779	LOC115932992	DN_NC_073242.2_16378095_15	DN_NC_073242.2_29051840_13	genuine	0.3379	0.9075	2452	2325	2452	2325	2950	2702	0.7881	0.7881
LOC115932779	LOC115933039	DN_NC_073242.2_28854512_28	DN_NC_073244.2_20936541_9	TP	1.0	1.0	1442	1437	1442	1437	3748	1442	0.3834	0.3834
LOC115932779	SORL1	DN_NC_073233.2_129388517_48	DN_NC_073242.2_28854512_28	TP	0.6033	1.0	3748	3688	3748	3688	7093	3748	0.5199	0.5199
