modal_gene	copies_chimp	copies_gorilla	copies_orang	origin_branch	sample_paralogs
PNMA5	2	0	2	ancestral, contracted in gorilla (>17 Mya)	PNMA5,PNMA3
TKTL1	2	0	2	ancestral, contracted in gorilla (>17 Mya)	TKTL1,TKT,TEX28
(unnamed)	2	0	0	chimp lineage (<9 Mya; or shared with human)	
PRSS43P	2	0	0	chimp lineage (<9 Mya; or shared with human)	PRSS43P,PRSS45,PRSS42
IQCF3	2	0	2	ancestral, contracted in gorilla (>17 Mya)	IQCF3,IQCF2
GLT8D1	2	2	0	African-ape ancestor (~9-17 Mya)	GLT8D1,GNL3,PBRM1,SPCS1
ROPN1	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	ROPN1,ROPN1B,ALG1L,ALG1L1P
PLSCR2	2	0	0	chimp lineage (<9 Mya; or shared with human)	PLSCR2,PLSCR1
DGCR6L	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	DGCR6L,DGCR6,PRODH
TMEM191C	2	0	0	chimp lineage (<9 Mya; or shared with human)	TMEM191C
RGL4	2	0	0	chimp lineage (<9 Mya; or shared with human)	RGL4
MIF	2	0	0	chimp lineage (<9 Mya; or shared with human)	MIF
(unnamed)	2	0	2	ancestral, contracted in gorilla (>17 Mya)	
SERHL2	2	2	0	African-ape ancestor (~9-17 Mya)	SERHL2,RRP7A
NOM1	0	2	0	gorilla lineage (<9 Mya)	NOM1
RGS7	0	2	0	gorilla lineage (<9 Mya)	RGS7,RGS6
DUSP5	0	2	0	gorilla lineage (<9 Mya)	DUSP5
COQ8A	0	2	2	ancestral, contracted in chimp (>17 Mya)	COQ8A,COQ8B
JMJD4	0	2	0	gorilla lineage (<9 Mya)	JMJD4
TMCC2	0	2	0	gorilla lineage (<9 Mya)	TMCC2,TMCC1
TOMM40L	0	2	0	gorilla lineage (<9 Mya)	TOMM40L,NR1I3,TOMM40
IFI16	0	2	0	gorilla lineage (<9 Mya)	IFI16,MNDA
C1H1orf56	0	2	0	gorilla lineage (<9 Mya)	C1H1orf56,CDC42SE1,MLLT11
(unnamed)	0	2	0	gorilla lineage (<9 Mya)	
GPR89A	0	2	0	gorilla lineage (<9 Mya)	GPR89A
GSTM2	0	2	0	gorilla lineage (<9 Mya)	GSTM2
RHOC	0	2	0	gorilla lineage (<9 Mya)	RHOC,MOV10
DRAM2	0	2	0	gorilla lineage (<9 Mya)	DRAM2,CEPT1,SYCP3,CHPT1
AHCYL1	0	2	0	gorilla lineage (<9 Mya)	AHCYL1,AHCYL2
GNAT2	0	2	0	gorilla lineage (<9 Mya)	GNAT2,AMPD2,AMPD3
IFI44	0	2	0	gorilla lineage (<9 Mya)	IFI44,IFI44L
PGM1	0	2	0	gorilla lineage (<9 Mya)	PGM1,PGM5
LRRC41	0	2	0	gorilla lineage (<9 Mya)	LRRC41,AIF1
MAST2	0	2	0	gorilla lineage (<9 Mya)	MAST2,MAST4
ZSWIM5	0	2	0	gorilla lineage (<9 Mya)	ZSWIM5,ZSWIM6
CTPS1	0	2	0	gorilla lineage (<9 Mya)	CTPS1,S100G,CTPS2
LCK	0	2	0	gorilla lineage (<9 Mya)	LCK,LYN
PUM1	0	2	0	gorilla lineage (<9 Mya)	PUM1,PUM2
XKR8	0	2	2	ancestral, contracted in chimp (>17 Mya)	XKR8
HMGN2	0	2	0	gorilla lineage (<9 Mya)	HMGN2,BLOC1S6
DVL2	0	2	2	ancestral, contracted in chimp (>17 Mya)	DVL2,TAS1R3,DVL1,DVL3
DOK7	0	2	0	gorilla lineage (<9 Mya)	DOK7
STK32B	0	2	0	gorilla lineage (<9 Mya)	STK32B,STK32C
ATP8A1	0	2	2	ancestral, contracted in chimp (>17 Mya)	ATP8A1,ATP8A2
SLAIN2	0	2	0	gorilla lineage (<9 Mya)	SLAIN2,MTHFS
MAPK10	0	2	0	gorilla lineage (<9 Mya)	MAPK10,MAPK8,ARHGAP22
OSTC	0	2	0	gorilla lineage (<9 Mya)	OSTC,LIG3
TBC1D9	0	2	0	gorilla lineage (<9 Mya)	TBC1D9,TBC1D9B
ARHGAP10	0	2	0	gorilla lineage (<9 Mya)	ARHGAP10,ARHGAP42
LRBA	0	2	0	gorilla lineage (<9 Mya)	LRBA,MAB21L1,NBEA
TRIM2	0	2	0	gorilla lineage (<9 Mya)	TRIM2,TRIM3
PPID	0	2	0	gorilla lineage (<9 Mya)	PPID,ETFDH
(unnamed)	0	2	0	gorilla lineage (<9 Mya)	
ABCA9	0	2	0	gorilla lineage (<9 Mya)	ABCA9,ABCA8
DHX40	0	2	0	gorilla lineage (<9 Mya)	DHX40
TUBD1	0	2	0	gorilla lineage (<9 Mya)	TUBD1,RPS6KB1
WFIKKN2	0	2	0	gorilla lineage (<9 Mya)	WFIKKN2,WFIKKN1
PLCD3	0	2	0	gorilla lineage (<9 Mya)	PLCD3,PLCD1
FBXL20	0	2	2	ancestral, contracted in chimp (>17 Mya)	FBXL20,FBXL2
SLFN11	0	2	0	gorilla lineage (<9 Mya)	SLFN11,SLFN5
CCL8	0	2	0	gorilla lineage (<9 Mya)	CCL8
(unnamed)	0	2	0	gorilla lineage (<9 Mya)	
ALDH3A1	0	2	2	ancestral, contracted in chimp (>17 Mya)	ALDH3A1,ALDH3A2
(unnamed)	0	2	0	gorilla lineage (<9 Mya)	
EPB41L4A	0	2	0	gorilla lineage (<9 Mya)	EPB41L4A
FBN2	0	2	0	gorilla lineage (<9 Mya)	FBN2,FBN1
SLC22A4	0	2	0	gorilla lineage (<9 Mya)	SLC22A4,SLC22A5
DND1	0	2	0	gorilla lineage (<9 Mya)	DND1,WDR55
THOC3	0	2	0	gorilla lineage (<9 Mya)	THOC3
FGFR4	0	2	0	gorilla lineage (<9 Mya)	FGFR4,FGFR1
GRK6	0	2	0	gorilla lineage (<9 Mya)	GRK6,GRK5
CLK4	0	2	2	ancestral, contracted in chimp (>17 Mya)	CLK4,CLK1
(unnamed)	0	2	0	gorilla lineage (<9 Mya)	
GFOD1	0	2	2	ancestral, contracted in chimp (>17 Mya)	GFOD1,GFOD2
BTN3A1	0	2	0	gorilla lineage (<9 Mya)	BTN3A1
EHMT2	0	2	0	gorilla lineage (<9 Mya)	EHMT2,EHMT1
TEAD3	0	2	0	gorilla lineage (<9 Mya)	TEAD3,TEAD4
ADGRF5	0	2	0	gorilla lineage (<9 Mya)	ADGRF5
(unnamed)	0	2	0	gorilla lineage (<9 Mya)	
KHDRBS2	0	2	0	gorilla lineage (<9 Mya)	KHDRBS2,KHDRBS3
(unnamed)	0	2	0	gorilla lineage (<9 Mya)	
TSPYL4	0	2	0	gorilla lineage (<9 Mya)	TSPYL4,TSPYL1
(unnamed)	0	2	0	gorilla lineage (<9 Mya)	
OSBPL3	0	2	0	gorilla lineage (<9 Mya)	OSBPL3,OSBPL6
YAE1	0	2	0	gorilla lineage (<9 Mya)	YAE1
UPK3BL1	0	2	0	gorilla lineage (<9 Mya)	UPK3BL1
OGDH	0	2	0	gorilla lineage (<9 Mya)	OGDH,OGDHL
GALNT17	0	2	0	gorilla lineage (<9 Mya)	GALNT17
NSUN5	0	2	2	ancestral, contracted in chimp (>17 Mya)	NSUN5,POM121,POM121C
MIR590	0	2	0	gorilla lineage (<9 Mya)	MIR590,EIF4H,OSBP2
TMEM120A	0	2	0	gorilla lineage (<9 Mya)	TMEM120A,TMEM120B
(unnamed)	0	2	0	gorilla lineage (<9 Mya)	
PTPRZ1	0	2	0	gorilla lineage (<9 Mya)	PTPRZ1,PTPRG
MKRN1	0	2	0	gorilla lineage (<9 Mya)	MKRN1
SLC4A2	0	2	0	gorilla lineage (<9 Mya)	SLC4A2,SLC4A3
ACTR3B	0	2	2	ancestral, contracted in chimp (>17 Mya)	ACTR3B,ACTR3
TNFRSF10D	0	2	0	gorilla lineage (<9 Mya)	TNFRSF10D
DOCK5	0	2	0	gorilla lineage (<9 Mya)	DOCK5,DOCK1
FABP4	0	2	0	gorilla lineage (<9 Mya)	FABP4,PMP2
ZNF16	0	2	0	gorilla lineage (<9 Mya)	ZNF16,ZNF19
SLC35F5	0	2	0	gorilla lineage (<9 Mya)	SLC35F5
PPIF	0	2	0	gorilla lineage (<9 Mya)	PPIF
DDX21	0	2	2	ancestral, contracted in chimp (>17 Mya)	DDX21,DDX50
(unnamed)	0	2	0	gorilla lineage (<9 Mya)	
EXOC6	0	2	0	gorilla lineage (<9 Mya)	EXOC6,EXOC6B
SORCS3	0	2	0	gorilla lineage (<9 Mya)	SORCS3,SORCS1
MICAL2	0	2	0	gorilla lineage (<9 Mya)	MICAL2,MICAL3
FADS2	0	2	2	ancestral, contracted in chimp (>17 Mya)	FADS2,FADS3
TMEM179B	0	2	0	gorilla lineage (<9 Mya)	TMEM179B,TMEM223
SPTBN2	0	2	0	gorilla lineage (<9 Mya)	SPTBN2,SPTBN1
ANO1	0	2	0	gorilla lineage (<9 Mya)	ANO1,ANO2
MIR326	0	2	0	gorilla lineage (<9 Mya)	MIR326,ARRB1,ARRB2
ANKRD42	0	2	0	gorilla lineage (<9 Mya)	ANKRD42,RPL32
NAALAD2	0	2	0	gorilla lineage (<9 Mya)	NAALAD2
MTMR2	0	2	0	gorilla lineage (<9 Mya)	MTMR2,CEP57
(unnamed)	0	2	0	gorilla lineage (<9 Mya)	
TIMM8B	0	2	0	gorilla lineage (<9 Mya)	TIMM8B,NKAPD1
KMT2A	0	2	0	gorilla lineage (<9 Mya)	KMT2A,KMT2B
SORL1	0	2	0	gorilla lineage (<9 Mya)	SORL1
TSPAN31	0	2	0	gorilla lineage (<9 Mya)	TSPAN31,CDK4,MARCHF9
SMARCC2	0	2	0	gorilla lineage (<9 Mya)	SMARCC2,SMARCC1
GXYLT1	0	2	0	gorilla lineage (<9 Mya)	GXYLT1
BICD1	0	2	0	gorilla lineage (<9 Mya)	BICD1,BICD2
ITPR2	0	2	0	gorilla lineage (<9 Mya)	ITPR2,ITPR1
KRAS	0	2	0	gorilla lineage (<9 Mya)	KRAS,ETFRF1
MDM2	0	2	0	gorilla lineage (<9 Mya)	MDM2,RSL24D1
CAMKK2	0	2	0	gorilla lineage (<9 Mya)	CAMKK2,CAMKK1
GALNT13	0	2	0	gorilla lineage (<9 Mya)	GALNT13,GALNT1
POLR3K	0	2	0	gorilla lineage (<9 Mya)	POLR3K
(unnamed)	0	2	0	gorilla lineage (<9 Mya)	
FOXO1	0	2	0	gorilla lineage (<9 Mya)	FOXO1
IL37	0	2	0	gorilla lineage (<9 Mya)	IL37,XIAP
(unnamed)	0	2	0	gorilla lineage (<9 Mya)	
TLN1	0	2	0	gorilla lineage (<9 Mya)	TLN1,MIR190A,TLN2
DAPK1	0	2	0	gorilla lineage (<9 Mya)	DAPK1
(unnamed)	0	2	0	gorilla lineage (<9 Mya)	
RAD23B	0	2	0	gorilla lineage (<9 Mya)	RAD23B,RAD23A
TXN	0	2	0	gorilla lineage (<9 Mya)	TXN
(unnamed)	0	2	2	ancestral, contracted in chimp (>17 Mya)	
CERCAM	0	2	0	gorilla lineage (<9 Mya)	CERCAM,COLGALT1
PNPLA7	0	2	2	ancestral, contracted in chimp (>17 Mya)	PNPLA7,PNPLA6
(unnamed)	0	2	0	gorilla lineage (<9 Mya)	
(unnamed)	0	2	0	gorilla lineage (<9 Mya)	
PSPC1	0	2	0	gorilla lineage (<9 Mya)	PSPC1,MPHOSPH8
PSPC1	0	2	0	gorilla lineage (<9 Mya)	PSPC1
ZMYM5	0	2	2	ancestral, contracted in chimp (>17 Mya)	ZMYM5,ZMYM2
UTP14C	0	2	0	gorilla lineage (<9 Mya)	UTP14C,ALG11,UTP14A
(unnamed)	0	2	0	gorilla lineage (<9 Mya)	
SDR39U1	0	2	0	gorilla lineage (<9 Mya)	SDR39U1,KHNYN
(unnamed)	0	2	2	ancestral, contracted in chimp (>17 Mya)	
(unnamed)	0	2	0	gorilla lineage (<9 Mya)	
RPL10L	0	2	0	gorilla lineage (<9 Mya)	RPL10L,RPL10
IFI27L1	0	2	2	ancestral, contracted in chimp (>17 Mya)	IFI27L1,IFI27L2,IFI27
CKB	0	2	2	ancestral, contracted in chimp (>17 Mya)	CKB,CKM,KLC3
(unnamed)	0	2	0	gorilla lineage (<9 Mya)	
(unnamed)	0	2	0	gorilla lineage (<9 Mya)	
TUBGCP5	0	2	0	gorilla lineage (<9 Mya)	TUBGCP5
(unnamed)	0	2	0	gorilla lineage (<9 Mya)	
HERC2	0	2	0	gorilla lineage (<9 Mya)	HERC2
HERC2	0	2	0	gorilla lineage (<9 Mya)	HERC2
LDHAL6B	0	2	0	gorilla lineage (<9 Mya)	LDHAL6B,MYO1E,MYO1F
SNAPC5	0	2	2	ancestral, contracted in chimp (>17 Mya)	SNAPC5,MAP2K1,MAP2K2
BTBD1	0	2	0	gorilla lineage (<9 Mya)	BTBD1,BTBD2
TARS3	0	2	0	gorilla lineage (<9 Mya)	TARS3,TARS1
CHMP1B	0	2	0	gorilla lineage (<9 Mya)	CHMP1B,GNAL,GNAS
ATP9B	0	2	0	gorilla lineage (<9 Mya)	ATP9B,ATP9A
ZNF75A	0	2	0	gorilla lineage (<9 Mya)	ZNF75A,ZNF75D
(unnamed)	0	2	0	gorilla lineage (<9 Mya)	
KDM8	0	2	0	gorilla lineage (<9 Mya)	KDM8
(unnamed)	0	2	0	gorilla lineage (<9 Mya)	
MAPK3	0	2	0	gorilla lineage (<9 Mya)	MAPK3,MAPK1
BFAR	0	2	0	gorilla lineage (<9 Mya)	BFAR
SGSM2	0	2	0	gorilla lineage (<9 Mya)	SGSM2,TSR1,SGSM1
CDH6	0	2	0	gorilla lineage (<9 Mya)	CDH6
SLC1A3	0	2	0	gorilla lineage (<9 Mya)	SLC1A3,SLC1A6
CPLANE1	0	2	0	gorilla lineage (<9 Mya)	CPLANE1
DMRTC2	0	2	0	gorilla lineage (<9 Mya)	DMRTC2,LYPD4
ERCC1	0	2	0	gorilla lineage (<9 Mya)	ERCC1,POLR1G
RFPL3	0	2	0	gorilla lineage (<9 Mya)	RFPL3
SH3KBP1	0	2	0	gorilla lineage (<9 Mya)	SH3KBP1
TMEM230	0	2	0	gorilla lineage (<9 Mya)	TMEM230
NAA20	0	2	0	gorilla lineage (<9 Mya)	NAA20,CFAP61,CRNKL1
CBR1	0	2	0	gorilla lineage (<9 Mya)	CBR1,CBR3
CD99	0	2	0	gorilla lineage (<9 Mya)	CD99
TMSB4X	0	2	2	ancestral, contracted in chimp (>17 Mya)	TMSB4X
SCML1	0	2	0	gorilla lineage (<9 Mya)	SCML1,SCML2
ZFX	0	2	0	gorilla lineage (<9 Mya)	ZFX,ZFY
USP9X	0	2	2	ancestral, contracted in chimp (>17 Mya)	USP9X,USP9Y
SLC9A7	0	2	0	gorilla lineage (<9 Mya)	SLC9A7,CHST7,SLC9A6
(unnamed)	0	2	0	gorilla lineage (<9 Mya)	
KDM5C	0	2	0	gorilla lineage (<9 Mya)	KDM5C,KDM5D
GPRASP2	0	2	0	gorilla lineage (<9 Mya)	GPRASP2,GPRASP1
TCEAL8	0	2	2	ancestral, contracted in chimp (>17 Mya)	TCEAL8,TCEAL7
RPL39	0	2	2	ancestral, contracted in chimp (>17 Mya)	RPL39,RPL39L
MAGEC1	0	2	2	ancestral, contracted in chimp (>17 Mya)	MAGEC1
EOLA2	0	2	2	ancestral, contracted in chimp (>17 Mya)	EOLA2,EOLA1,HSFX3
TMEM185A	0	2	0	gorilla lineage (<9 Mya)	TMEM185A
IKBKG	0	2	0	gorilla lineage (<9 Mya)	IKBKG,G6PD
CRBN	0	2	0	gorilla lineage (<9 Mya)	CRBN,TRNT1
RAF1	0	2	0	gorilla lineage (<9 Mya)	RAF1,MKRN2
NKIRAS1	0	2	0	gorilla lineage (<9 Mya)	NKIRAS1,UBE2E1,RPL15
LIMD1	0	2	0	gorilla lineage (<9 Mya)	LIMD1
GGTLC2	0	2	0	gorilla lineage (<9 Mya)	GGTLC2,ZNF280A,ZNF280B,RGL4
LIMK2	0	2	0	gorilla lineage (<9 Mya)	LIMK2,PIK3IP1
APOBEC3C	0	2	0	gorilla lineage (<9 Mya)	APOBEC3C,APOBEC3F
NCAPH2	0	2	0	gorilla lineage (<9 Mya)	NCAPH2
ZNF669	0	0	2	orangutan lineage (<17 Mya)	ZNF669
ARID4B	0	0	2	orangutan lineage (<17 Mya)	ARID4B,GGPS1,ARID4A
EPHX1	0	0	2	orangutan lineage (<17 Mya)	EPHX1,TMEM63A
GARIN4	0	0	2	orangutan lineage (<17 Mya)	GARIN4,GARIN3
PLXNA2	0	0	2	orangutan lineage (<17 Mya)	PLXNA2,PLXNA1
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
RPS27	0	0	2	orangutan lineage (<17 Mya)	RPS27,RPS27L
PIP5K1A	0	0	2	orangutan lineage (<17 Mya)	PIP5K1A,PABIR1,PIP5K1B
RPL21	0	0	2	orangutan lineage (<17 Mya)	RPL21
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
DPYD	0	0	2	orangutan lineage (<17 Mya)	DPYD,SVIP,CCDC179
PIK3R3	0	0	2	orangutan lineage (<17 Mya)	PIK3R3,P3R3URF,PIK3R1
MYCBP	0	0	2	orangutan lineage (<17 Mya)	MYCBP,GJA9
MAGT1	0	0	2	orangutan lineage (<17 Mya)	MAGT1
AGO3	0	0	2	orangutan lineage (<17 Mya)	AGO3,AGO2
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
CLCNKB	0	0	2	orangutan lineage (<17 Mya)	CLCNKB
ATAD3B	0	0	2	orangutan lineage (<17 Mya)	ATAD3B
STX18	0	0	2	orangutan lineage (<17 Mya)	STX18,EFCAB5
LCORL	0	0	2	orangutan lineage (<17 Mya)	LCORL,NCAPG
MED28	0	0	2	orangutan lineage (<17 Mya)	MED28
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
PAICS	0	0	2	orangutan lineage (<17 Mya)	PAICS
PAQR3	0	0	2	orangutan lineage (<17 Mya)	PAQR3,BMP2K
SGMS2	0	0	2	orangutan lineage (<17 Mya)	SGMS2,HADH
DLG2	0	0	2	orangutan lineage (<17 Mya)	DLG2
DCHS2	0	0	2	orangutan lineage (<17 Mya)	DCHS2
TMEM144	0	0	2	orangutan lineage (<17 Mya)	TMEM144
SELENOP	0	0	2	orangutan lineage (<17 Mya)	SELENOP,CCDC152
HINT1	0	0	2	orangutan lineage (<17 Mya)	HINT1,LSM2,VARS1
CD14	0	0	2	orangutan lineage (<17 Mya)	CD14,TMCO6
NOP16	0	0	2	orangutan lineage (<17 Mya)	NOP16,HIGD2A,BBS4,HIGD2B
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
TRNAA-AGC	0	0	2	orangutan lineage (<17 Mya)	TRNAA-AGC,TRNAI-AAU
STK38	0	0	2	orangutan lineage (<17 Mya)	STK38,STK38L
DSE	0	0	2	orangutan lineage (<17 Mya)	DSE,RPS5
TCP10L	0	0	2	orangutan lineage (<17 Mya)	TCP10L
PMS2	0	0	2	orangutan lineage (<17 Mya)	PMS2
NPTX2	0	0	2	orangutan lineage (<17 Mya)	NPTX2,NPTX1
ARPC1A	0	0	2	orangutan lineage (<17 Mya)	ARPC1A,ARPC1B
ZSCAN25	0	0	2	orangutan lineage (<17 Mya)	ZSCAN25
TRIM50	0	0	2	orangutan lineage (<17 Mya)	TRIM50,FKBP6
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
BZW2	0	0	2	orangutan lineage (<17 Mya)	BZW2,BZW1
ASNS	0	0	2	orangutan lineage (<17 Mya)	ASNS
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
MRPS33	0	0	2	orangutan lineage (<17 Mya)	MRPS33
KMT2C	0	0	2	orangutan lineage (<17 Mya)	KMT2C
GALNTL5	0	0	2	orangutan lineage (<17 Mya)	GALNTL5,GALNT11
DLGAP2	0	0	2	orangutan lineage (<17 Mya)	DLGAP2,DLGAP1
DLC1	0	0	2	orangutan lineage (<17 Mya)	DLC1,STARD13
ERLIN2	0	0	2	orangutan lineage (<17 Mya)	ERLIN2,ERLIN1
ADAM18	0	0	2	orangutan lineage (<17 Mya)	ADAM18
ZNF638	0	0	2	orangutan lineage (<17 Mya)	ZNF638
SLC52A2	0	0	2	orangutan lineage (<17 Mya)	SLC52A2,FBXL6,SLC52A1
CELF2	0	0	2	orangutan lineage (<17 Mya)	CELF2,CELF1
SFXN3	0	0	2	orangutan lineage (<17 Mya)	SFXN3,MRPL52
SORCS3	0	0	2	orangutan lineage (<17 Mya)	SORCS3
SHOC2	0	0	2	orangutan lineage (<17 Mya)	SHOC2,RPL13A
FAM24B	0	0	2	orangutan lineage (<17 Mya)	FAM24B,FAM24A
NAP1L4	0	0	2	orangutan lineage (<17 Mya)	NAP1L4,NAP1L1
NRXN2	0	0	2	orangutan lineage (<17 Mya)	NRXN2,NRXN1
B3GAT3	0	0	2	orangutan lineage (<17 Mya)	B3GAT3,TRIM59
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
CADM1	0	0	2	orangutan lineage (<17 Mya)	CADM1
YBX3	0	0	2	orangutan lineage (<17 Mya)	YBX3
SMIM10L1	0	0	2	orangutan lineage (<17 Mya)	SMIM10L1
RECQL	0	0	2	orangutan lineage (<17 Mya)	RECQL,PYROXD1
FAIM2	0	0	2	orangutan lineage (<17 Mya)	FAIM2,TMBIM1,PNKD
ACVR1B	0	0	2	orangutan lineage (<17 Mya)	ACVR1B,TGFBR1
PCBP2	0	0	2	orangutan lineage (<17 Mya)	PCBP2,PCBP3
ORMDL2	0	0	2	orangutan lineage (<17 Mya)	ORMDL2,SARNP,ORMDL3
ZC3H10	0	0	2	orangutan lineage (<17 Mya)	ZC3H10
SHMT2	0	0	2	orangutan lineage (<17 Mya)	SHMT2,SMCR8,SHMT1
DYNLL1	0	0	2	orangutan lineage (<17 Mya)	DYNLL1,DYNLL2
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
SPOPL	0	0	2	orangutan lineage (<17 Mya)	SPOPL,SPOP
ZNF385B	0	0	2	orangutan lineage (<17 Mya)	ZNF385B,ZNF385D
NBEAL1	0	0	2	orangutan lineage (<17 Mya)	NBEAL1
ACSL3	0	0	2	orangutan lineage (<17 Mya)	ACSL3,ACSL4
CAB39	0	0	2	orangutan lineage (<17 Mya)	CAB39,CAB39L
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
GPAT2	0	0	2	orangutan lineage (<17 Mya)	GPAT2
MAP4K4	0	0	2	orangutan lineage (<17 Mya)	MAP4K4,TNIK
AUP1	0	0	2	orangutan lineage (<17 Mya)	AUP1,HTRA2,LOXL3
PAPOLG	0	0	2	orangutan lineage (<17 Mya)	PAPOLG,PAPOLA
KIF3C	0	0	2	orangutan lineage (<17 Mya)	KIF3C,KIF3B
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
TOPORS	0	0	2	orangutan lineage (<17 Mya)	TOPORS,SMIM27
RORB	0	0	2	orangutan lineage (<17 Mya)	RORB,RORA
UBQLN1	0	0	2	orangutan lineage (<17 Mya)	UBQLN1,UBQLN2
RFPL3	0	0	2	orangutan lineage (<17 Mya)	RFPL3
RPL12	0	0	2	orangutan lineage (<17 Mya)	RPL12,CHRM5,AVEN
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
MIPEP	0	0	2	orangutan lineage (<17 Mya)	MIPEP
SUGT1	0	0	2	orangutan lineage (<17 Mya)	SUGT1
CUL4A	0	0	2	orangutan lineage (<17 Mya)	CUL4A,CUL4B
FLVCR2	0	0	2	orangutan lineage (<17 Mya)	FLVCR2
VASH1	0	0	2	orangutan lineage (<17 Mya)	VASH1
ATXN3	0	0	2	orangutan lineage (<17 Mya)	ATXN3,ATXN3L
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
WHAMM	0	0	2	orangutan lineage (<17 Mya)	WHAMM
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
ARID3B	0	0	2	orangutan lineage (<17 Mya)	ARID3B,ARID3A
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
PIEZO2	0	0	2	orangutan lineage (<17 Mya)	PIEZO2,MATCAP1,NOL3
CDH2	0	0	2	orangutan lineage (<17 Mya)	CDH2,CDH4
JMJD8	0	0	2	orangutan lineage (<17 Mya)	JMJD8,STUB1
NDUFB10	0	0	2	orangutan lineage (<17 Mya)	NDUFB10,RPL3L,RPL3
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
DYNC1LI2	0	0	2	orangutan lineage (<17 Mya)	DYNC1LI2,DYNC1LI1
MIS12	0	0	2	orangutan lineage (<17 Mya)	MIS12,DERL2,DERL3
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
NF1	0	0	2	orangutan lineage (<17 Mya)	NF1
KRT15	0	0	2	orangutan lineage (<17 Mya)	KRT15,KRT19
PSMC3IP	0	0	2	orangutan lineage (<17 Mya)	PSMC3IP,MLX
MAP3K14	0	0	2	orangutan lineage (<17 Mya)	MAP3K14,KIAA1143,KIF15
GGA3	0	0	2	orangutan lineage (<17 Mya)	GGA3,GGA1
MFSD11	0	0	2	orangutan lineage (<17 Mya)	MFSD11,SRSF2,METTL23
TRMT1	0	0	2	orangutan lineage (<17 Mya)	TRMT1
RAD54L2	0	0	2	orangutan lineage (<17 Mya)	RAD54L2
TBCB	0	0	2	orangutan lineage (<17 Mya)	TBCB,POLR2I,OVOL3
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
FAM209B	0	0	2	orangutan lineage (<17 Mya)	FAM209B
ASMTL	0	0	2	orangutan lineage (<17 Mya)	ASMTL
PCYT1B	0	0	2	orangutan lineage (<17 Mya)	PCYT1B,PCYT1A
USP9X	0	0	2	orangutan lineage (<17 Mya)	USP9X,USP9Y
PABPC1L2B	0	0	2	orangutan lineage (<17 Mya)	PABPC1L2B
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
EBLN2	0	0	2	orangutan lineage (<17 Mya)	EBLN2,PPP4R2
RPL29	0	0	2	orangutan lineage (<17 Mya)	RPL29
IQCF5	0	0	2	orangutan lineage (<17 Mya)	IQCF5,IQCF1
NCEH1	0	0	2	orangutan lineage (<17 Mya)	NCEH1
(unnamed)	0	0	2	orangutan lineage (<17 Mya)	
TST	0	0	2	orangutan lineage (<17 Mya)	TST,MPST
