gene_a	gene_b	core_recip	compara
ZNF549	ZNF256	0.181	paralog
ZNF568	ZNF77	0.189	not
ZNF251	ZNF177	0.131	not
ZNF721	ZNF267	0.142	not
ZNF682	ZNF888	0.145	not
ZNF766	OSBPL10	0.162	not
ZFP62	ZNF778	0.142	not
ZNF790	ZNF527	0.164	not
ZNF23	ZNF19	0.168	not
ZSCAN2	ZNF71	0.167	not
ZNF420	ZNF613	0.151	not
ZNF260	ZNF256	0.144	not
MINPP1	NDUFAF2	0.132	not
ZNF273	ZNF480	0.189	not
ZNF84	ZNF569	0.181	paralog
ZNF791	ZNF573	0.148	not
ZSCAN29	ZNF585B	0.155	not
ZNF273	ZNF28	0.165	not
ZNF879	ZNF33B	0.169	paralog
ZNF251	ZNF514	0.152	paralog
ZNF566	ZNF766	0.161	not
ZNF721	ZNF519	0.157	not
ZNF432	ZNF665	0.159	not
ZNF251	ZNF594	0.166	not
ZIK1	ZNF586	0.142	paralog
ZNF415	ZNF761	0.184	not
ZNF268	ZNF614	0.187	not
ZNF394	ZSCAN30	0.130	paralog
ZNF35	ZNF717	0.183	not
ZNF302	ZNF180	0.149	not
ZNF883	ZNF594	0.133	not
ZFP62	ZNF502	0.151	not
ZNF519	ZNF766	0.153	not
ZNF670	ZNF823	0.169	not
KLHL3	ORC4	0.153	not
ZFP28	ZNF132	0.146	paralog
ZNF28	ZNF415	0.136	paralog
ZNF879	ZNF528	0.168	paralog
ZNF397	ZNF529	0.158	not
ZFP37	ZNF260	0.146	not
ZNF263	ZNF329	0.135	not
ZNF195	ZFP28	0.148	paralog
ZNF416	ZNF586	0.142	not
SEM1	NCR3LG1	0.175	not
ZNF776	ZNF552	0.166	not
ZNF778	ZNF121	0.134	not
ZNF260	ZNF569	0.162	not
ZNF736	ZNF480	0.175	not
ZNF33B	ZNF30	0.150	paralog
ZIK1	ZNF134	0.188	paralog
ZSCAN9	ZNF397	0.162	paralog
ZNF266	ZNF30	0.163	not
ZFP37	ZNF667	0.149	not
ZNF594	ZNF256	0.167	not
ZSCAN31	ZNF135	0.179	not
TMEM38B	NDUFAF2	0.164	not
ZNF436	ZNF157	0.165	paralog
ZNF484	ZNF132	0.167	paralog
ZNF28	ZNF583	0.143	not
ZNF675	ZNF600	0.143	not
ZNF19	ZNF225	0.170	not
ZNF566	ZNF888	0.135	not
ZFP69B	ZNF184	0.162	not
ZNF141	ZNF790	0.154	paralog
ZNF268	ZKSCAN7	0.157	not
ZNF721	ZNF665	0.132	not
ZNF416	ZNF134	0.141	not
ZNF124	ZNF558	0.136	paralog
ZNF594	ZNF585B	0.141	not
DCAF16	NCR3LG1	0.152	not
ZNF79	ZNF135	0.152	not
ZNF519	ZNF888	0.164	not
ZNF429	ZNF808	0.142	not
ZNF879	ZNF502	0.143	paralog
ZNF112	ZNF334	0.183	paralog
ZNF727	ZNF486	0.164	paralog
ZNF594	ZNF808	0.188	not
ZNF487	ZFP1	0.198	not
ZNF287	ZNF23	0.151	not
ZNF79	ZNF484	0.163	not
ZNF394	ZSCAN29	0.171	not
ZNF418	ZNF157	0.135	not
ZNF571	ZNF836	0.184	paralog
ZNF841	ZNF611	0.171	paralog
ZIK1	ZNF671	0.199	not
ZFP62	ZKSCAN7	0.156	not
ZNF546	ZNF766	0.134	not
ZNF605	ZNF260	0.166	paralog
ZNF682	ZNF543	0.162	paralog
ZSCAN21	ZNF394	0.140	paralog
ZNF415	ZNF347	0.171	not
ZNF594	ZNF717	0.133	not
ZNF699	ZNF81	0.135	paralog
ZNF268	ZNF606	0.154	paralog
ZNF892	ZFP37	0.138	not
ZNF260	ZNF585A	0.146	paralog
ZNF782	ZNF560	0.130	not
ZNF354B	ZNF28	0.178	paralog
SEM1	COPS9	0.148	not
ZNF251	ZNF33B	0.130	paralog
TSPYL4	TSPYL1	0.164	paralog
ZNF883	ZNF674	0.138	not
ZNF519	ZNF600	0.137	paralog
ZNF429	ZNF841	0.150	paralog
ZNF594	ZNF841	0.139	not
CCR2	CCR5	0.150	paralog
ZFP2	ZNF891	0.178	not
ZNF91	ZNF468	0.155	not
ZNF665	ZNF418	0.187	not
ZNF879	ZNF484	0.155	paralog
ZNF266	ZNF585B	0.186	not
PIP4K2B	PIP4K2C	0.140	paralog
ZNF134	ZNF154	0.170	paralog
ZNF420	ZNF471	0.187	not
ZNF721	ZNF519	0.191	not
ZNF254	ZNF420	0.193	not
ZNF287	ZSCAN22	0.136	not
ZNF527	ZNF528	0.170	not
ZFP2	ZNF287	0.161	not
ZNF790	ZNF284	0.181	paralog
ZNF565	ZFP28	0.188	paralog
ZNF791	ZNF429	0.142	not
ZFP62	ZNF157	0.154	not
TXNL1	U2AF1L4	0.144	not
ZNF613	ZNF674	0.148	not
ZNF569	ZNF573	0.182	not
SAFB2	SAFB	0.173	paralog
ZNF311	ZNF665	0.144	not
DCAF16	UCHL1	0.154	not
NABP2	EPCIP	0.147	not
ZNF177	ZNF234	0.132	not
ZNF605	ZNF546	0.178	paralog
ZSCAN12	ZNF665	0.190	not
RAPH1	MCFD2	0.136	not
ZNF701	ZNF468	0.174	paralog
ZNF623	ZNF251	0.164	paralog
ZNF205	ZNF74	0.159	not
ZNF287	ZNF502	0.187	not
ZNF671	ZNF619	0.155	not
ZNF124	ZNF557	0.161	paralog
ZSCAN12	ZNF394	0.131	paralog
ZNF260	ZNF527	0.132	not
ZNF34	ZNF546	0.147	not
ZNF585B	ZNF432	0.157	paralog
ZFP3	ZNF28	0.152	paralog
ZFP37	ZNF304	0.154	not
ZNF304	ZNF256	0.147	paralog
ZNF10	ZNF571	0.138	not
ZNF468	ZNF674	0.144	not
ZNF721	ZNF568	0.157	not
ZNF841	ZNF583	0.190	not
ZNF304	ZNF329	0.157	not
ZNF184	ZNF264	0.197	not
SPC25	KLHL33	0.160	not
ZNF557	ZNF805	0.155	paralog
ZNF382	ZNF674	0.197	not
ZNF84	ZNF649	0.148	not
ZNF251	ZNF250	0.162	paralog
CGREF1	ZNF589	0.158	not
ZNF678	ZNF607	0.149	paralog
ZNF594	ZNF182	0.143	not
BTN2A2	BTN1A1	0.141	paralog
ZFP1	ZNF547	0.152	not
ZSCAN30	ZNF502	0.199	not
ZNF333	ZNF135	0.155	not
LAMTOR3	RPS26	0.135	not
OSBP	OSBP2	0.151	paralog
ZNF154	ZNF776	0.144	not
ZNF578	ZNF888	0.188	paralog
ZNF548	ZNF776	0.196	not
ZNF624	ZNF157	0.164	paralog
ZFP69B	ZNF514	0.167	not
ZNF721	ZNF28	0.142	not
ZNF699	ZNF181	0.175	not
ZFP69B	ZNF594	0.186	not
DCP1B	SPC25	0.156	not
ZNF529	ZNF420	0.147	not
ZNF184	ZNF600	0.191	not
ZNF551	ZNF586	0.140	paralog
ZNF268	ZFP28	0.187	paralog
ZNF568	ZNF540	0.159	paralog
ZNF354A	ZNF177	0.157	not
ZNF91	ZNF45	0.153	not
ZNF623	ZNF585A	0.152	paralog
ZNF674	ZNF717	0.162	not
ZNF669	ZNF699	0.187	not
ZNF33B	ZNF140	0.159	paralog
ZNF594	ZNF527	0.152	not
ZNF287	ZNF41	0.177	not
ZNF433	ZNF606	0.159	not
ZNF487	ZNF594	0.190	not
ZNF416	ZIK1	0.139	not
ZNF605	ZNF614	0.132	not
ZNF260	ZNF585B	0.190	paralog
ZNF426	ZNF546	0.157	not
ZNF134	ZNF671	0.134	not
ZNF124	ZNF382	0.190	not
ZNF83	ZFP28	0.161	paralog
GTF3A	MTIF3	0.198	not
ZNF527	ZNF551	0.174	not
METTL2B	CLN8	0.136	not
ZNF547	ZNF134	0.143	not
ZFP2	ZNF334	0.194	paralog
ZNF266	ZNF77	0.176	paralog
FADS1	FADS2	0.150	paralog
ZFP2	ZNF420	0.156	not
ZNF883	ZNF675	0.180	not
ZNF675	ZNF471	0.186	not
ZNF267	ZNF813	0.175	not
ZNF181	ZNF83	0.183	not
ZNF596	ZNF33B	0.138	not
ZNF354A	ZNF594	0.181	not
ZNF266	ZNF568	0.178	not
ZNF443	ZNF57	0.146	paralog
ZNF141	ZNF578	0.141	not
ZNF727	ZNF121	0.147	paralog
ZNF443	ZNF571	0.133	not
PJA2	PJA1	0.172	paralog
ZNF879	ZNF256	0.167	not
ZNF267	ZNF180	0.180	not
ZNF416	ZIK1	0.139	not
ZNF79	ZNF766	0.149	not
ZNF468	ZNF761	0.137	paralog
ZNF697	ZNF629	0.159	not
ZNF433	ZNF567	0.141	not
BLK	HCK	0.148	paralog
ZFP37	ZNF660	0.169	not
ZNF124	ZNF564	0.134	not
ZNF260	ZNF717	0.167	paralog
ZNF347	ZNF813	0.141	not
UBE2L3	YDJC	0.167	not
ZKSCAN4	ZNF222	0.182	not
ZNF879	ZNF221	0.189	paralog
ZNF189	ZNF30	0.157	paralog
ZNF721	ZNF723	0.154	not
ZNF251	ZNF544	0.152	paralog
ZNF727	ZNF506	0.132	paralog
ZNF594	ZNF585B	0.160	not
ZNF558	ZNF620	0.159	paralog
ZNF594	ZNF121	0.162	not
ZKSCAN3	ZSCAN21	0.180	paralog
VAV2	VAV1	0.158	paralog
ZNF519	ZNF471	0.136	paralog
ZNF195	ZNF347	0.196	not
ZNF721	ZNF836	0.178	not
ZNF16	ZNF334	0.150	paralog
ZNF429	ZNF528	0.178	paralog
ZNF600	OSBPL10	0.162	not
ZNF565	ZNF260	0.178	paralog
ZNF416	ZIK1	0.139	not
ZNF727	ZNF415	0.156	paralog
MEX3B	MEX3C	0.162	paralog
ZNF26	ZNF671	0.146	not
ZNF527	ZNF607	0.190	not
ZNF624	ZNF487	0.170	not
KRT7	TTBK2	0.185	not
ZNF268	ZNF189	0.151	paralog
ZNF879	ZNF79	0.131	not
ZNF560	ZNF433	0.172	not
ZNF480	ZNF182	0.192	not
ZNF568	ZNF573	0.171	paralog
ZNF594	ZNF547	0.138	not
ZNF268	ZNF674	0.139	not
ZNF287	ZNF197	0.145	not
ZNF605	ZNF606	0.176	paralog
ZNF883	ZNF611	0.133	paralog
ZNF594	ZNF717	0.134	not
ZNF416	ZNF418	0.146	not
ZNF416	ZNF134	0.141	not
PJA2	PJA1	0.192	paralog
ZNF829	ZNF568	0.165	paralog
ZNF23	ZNF569	0.150	not
ZNF487	ZNF33B	0.158	not
ZNF791	ZNF57	0.183	paralog
ZFP69B	ZNF665	0.163	not
ZNF727	ZNF91	0.172	not
ZNF254	ZNF420	0.199	not
ZNF585A	ZNF674	0.151	not
ZNF267	ZNF761	0.143	not
ZNF23	ZFP90	0.164	not
ZNF585A	ZNF180	0.156	not
ZFP62	ZNF607	0.140	not
ZNF573	ZNF780A	0.166	paralog
ZNF883	ZNF585B	0.197	paralog
ZFP3	ZNF502	0.171	paralog
ZNF766	OSBPL10	0.143	not
ZFP62	ZNF578	0.142	not
ZNF415	ZNF347	0.198	not
ZNF302	ZNF565	0.193	not
MAGEB2	MAGEB1	0.163	paralog
SEM1	KLHL33	0.132	not
ZNF273	ZNF91	0.158	not
ZNF16	ZNF605	0.179	paralog
RANBP6	PDCD5	0.174	not
ZNF91	ZNF665	0.169	paralog
ZNF19	ZNF234	0.162	not
ZNF302	ZNF41	0.178	not
ZSCAN30	ZNF197	0.131	not
ZNF721	ZNF415	0.150	not
ZNF91	ZNF546	0.148	not
ZNF33B	ZNF25	0.176	not
ZNF287	ZNF256	0.174	not
ZNF260	ZNF568	0.167	paralog
UCHL1	SEM1	0.166	not
ZFP37	ZNF554	0.169	paralog
ZNF429	ZNF91	0.171	not
ZNF529	ZNF331	0.152	not
ZNF594	ZNF91	0.153	paralog
ZNF519	OSBPL10	0.150	not
ZNF669	ZNF554	0.165	paralog
ZNF546	ZNF471	0.144	paralog
ZNF594	ZNF548	0.186	not
ZNF141	ZNF506	0.195	paralog
ZNF567	ZNF544	0.157	not
ZNF605	ZNF649	0.145	not
ZNF519	ZNF616	0.152	paralog
SDHAF4	HIGD1A	0.169	not
ZNF260	ZNF256	0.144	not
ZNF141	ZNF721	0.157	not
ZNF461	ZFP28	0.155	paralog
ZNF195	ZNF468	0.148	not
ZNF560	ZNF420	0.145	not
ZNF596	ZNF823	0.138	not
ZNF506	ZNF283	0.199	paralog
ZNF490	ZNF57	0.140	not
ZNF441	ZNF14	0.187	paralog
ZNF33B	ZNF10	0.171	not
ZFP62	ZNF251	0.152	not
ZNF354A	ZNF415	0.147	paralog
ZNF79	ZNF418	0.145	paralog
ZNF239	ZNF235	0.137	paralog
ZNF595	OSBPL10	0.133	not
ZFP2	ZNF594	0.156	not
ZNF888	ZNF813	0.180	paralog
ZNF600	ZNF28	0.167	paralog
ZNF184	ZNF660	0.163	not
ZNF573	ZNF606	0.164	paralog
ZNF233	ZNF229	0.130	not
DHFR	DHFR2	0.137	paralog
ZNF354B	ZNF879	0.165	paralog
ZNF595	ZNF616	0.150	paralog
ZNF2	ZFP90	0.164	not
ZNF565	ZNF527	0.200	not
CGREF1	HRH1	0.139	not
ZNF778	ZNF420	0.150	not
ZNF879	ZNF175	0.164	paralog
ZFP82	ZNF566	0.138	not
ZNF233	ZNF112	0.184	not
ZFP69B	ZNF135	0.196	not
ZNF782	ZNF699	0.154	paralog
ZNF141	ZNF527	0.196	not
ZNF616	ZNF347	0.136	not
ZNF440	ZNF77	0.152	paralog
ZNF680	ZNF519	0.194	not
ZNF140	ZFP37	0.188	not
MTHFD2	PRKAR2A	0.137	not
ZNF568	ZNF471	0.145	paralog
ZNF420	ZNF528	0.200	not
GGA3	GGA1	0.154	paralog
ZNF780A	ZNF35	0.163	not
ZNF304	ZNF256	0.147	paralog
ZNF836	ZNF415	0.138	paralog
ZNF300	ZNF879	0.154	paralog
ZNF573	ZNF582	0.184	not
RANBP6	NDUFAF2	0.152	not
ZNF568	ZNF660	0.131	not
ZNF879	ZNF569	0.131	not
ZNF766	ZNF480	0.160	not
ZNF841	ZNF888	0.142	not
ZNF684	ZNF699	0.147	not
ZNF487	ZNF135	0.191	not
ZNF605	ZNF594	0.144	not
ZNF304	ZNF416	0.167	not
ZNF573	ZNF619	0.167	not
ZNF766	ZNF28	0.139	not
ZNF230	ZNF284	0.139	not
ZNF189	ZFP3	0.149	paralog
ZNF283	ZNF841	0.160	paralog
ZNF140	ZNF415	0.142	paralog
ZNF695	ZNF267	0.154	paralog
XRCC2	LDHC	0.146	not
ZNF594	ZNF565	0.135	not
ZNF572	ZNF235	0.162	not
ZNF251	ZNF260	0.141	paralog
ZNF34	ZNF594	0.166	not
ZNF121	ZNF568	0.148	paralog
ZNF84	ZNF780B	0.167	not
ZNF30	ZNF888	0.151	not
ZNF780A	ZNF660	0.185	not
ZNF624	ZNF519	0.148	paralog
ZNF267	ZNF611	0.162	paralog
ZNF605	ZNF836	0.183	paralog
ZNF239	ZNF235	0.169	paralog
ZFP3	ZNF157	0.190	paralog
ZNF519	ZNF480	0.131	not
ZNF225	ZNF235	0.154	paralog
NOSTRIN	FGD3	0.160	not
ZNF782	ZNF790	0.131	paralog
ZNF184	ZNF616	0.179	not
ZSCAN20	ZKSCAN7	0.141	not
ZNF135	ZNF544	0.196	paralog
ZNF681	ZNF480	0.180	not
ZNF487	ZNF577	0.175	not
ZNF430	ZNF91	0.136	not
ZNF16	ZNF132	0.142	paralog
ZNF480	ZNF583	0.158	paralog
ZNF251	ZNF70	0.176	not
ZNF460	ZNF304	0.138	not
SEM1	NCALD	0.176	not
ZNF510	ZNF197	0.160	paralog
ZFP3	ZNF197	0.150	paralog
ZFP69B	ZNF501	0.188	not
ZNF585B	ZNF544	0.194	paralog
ZNF260	ZNF780B	0.166	paralog
ZNF611	ZNF28	0.165	paralog
ZNF41	ZNF660	0.142	not
MEX3B	MEX3C	0.158	paralog
ZNF578	OSBPL10	0.149	not
ZNF304	ZNF548	0.160	paralog
ZNF287	ZNF267	0.195	not
ZNF721	ZNF566	0.132	not
ZNF273	ZNF267	0.199	not
ZKSCAN4	ZNF394	0.141	paralog
ZNF792	ZNF585B	0.135	not
ZNF551	ZNF418	0.149	paralog
BRPF1	BRD1	0.186	paralog
ZNF585B	ZNF501	0.172	paralog
ZNF221	ZNF229	0.183	paralog
ZNF527	ZNF600	0.159	not
ZFP2	ZNF892	0.152	paralog
ZNF134	ZNF132	0.194	not
ZNF473	ZNF132	0.192	not
ZNF140	ZNF568	0.168	paralog
ZNF84	ZNF347	0.148	paralog
ZNF721	ZNF626	0.182	not
ZNF92	ZNF665	0.188	not
ZNF26	ZNF302	0.150	not
NFXL1	SPC25	0.132	not
ZNF33B	ZNF569	0.163	not
KLHL33	MMP24OS	0.147	not
ZNF879	ZKSCAN7	0.134	not
ZNF154	ZNF776	0.144	not
ZNF287	ZFP90	0.140	not
ZNF761	ZNF813	0.176	paralog
NR4A1	NR4A2	0.160	paralog
ZNF83	ZNF611	0.146	paralog
ZNF33B	ZFP90	0.145	not
ZNF251	ZFP90	0.151	not
GLB1L	GLB1	0.176	paralog
ZNF624	ZNF420	0.191	not
ZNF573	ZNF836	0.143	paralog
ZNF180	ZNF502	0.196	not
ZNF260	ZNF527	0.162	not
ZNF235	ZNF28	0.143	paralog
ZNF141	ZNF91	0.193	not
ZNF782	ZNF473	0.144	not
ZNF432	ZNF132	0.148	paralog
ZFP3	ZFP82	0.168	paralog
PDZD4	PDZRN3	0.132	paralog
ZNF397	ZNF157	0.165	not
ZNF460	ZNF550	0.150	not
ZNF141	ZNF91	0.151	not
ZNF30	ZNF283	0.141	paralog
ZNF268	ZFP37	0.133	not
ZNF181	ZNF569	0.188	paralog
ZNF780B	ZNF582	0.155	not
ZNF547	ZNF256	0.137	not
ZNF420	ZNF544	0.156	not
ZNF195	ZNF723	0.159	not
ZNF879	ZNF606	0.165	paralog
ZNF624	ZNF429	0.183	paralog
ZNF141	ZNF92	0.140	not
TSPYL4	TSPYL1	0.161	paralog
ZSCAN2	ZNF229	0.158	not
ZNF33B	ZNF883	0.154	paralog
ZFP37	ZNF502	0.180	not
SPC25	MMP24OS	0.196	not
ZNF83	ZNF468	0.180	not
ZNF28	ZNF813	0.158	not
ZNF568	ZNF28	0.152	paralog
ZNF154	ZNF132	0.177	not
ZNF699	ZNF565	0.200	paralog
ZFP62	ZNF157	0.154	not
ZNF578	ZNF28	0.159	not
ZNF397	ZNF232	0.169	paralog
UBQLN1	UBQLN2	0.143	paralog
SEM1	SPC25	0.139	not
TRMT61B	SPDYA	0.175	not
ZNF84	ZNF468	0.197	not
ZNF23	ZNF836	0.147	paralog
ZNF594	ZNF35	0.139	not
ZNF154	ZNF660	0.144	paralog
ZNF394	ZSCAN30	0.140	paralog
ZNF354B	ZNF546	0.181	paralog
ZNF184	ZNF571	0.184	not
ZNF721	ZNF468	0.130	not
ZNF892	ZNF35	0.150	not
ZNF283	ZNF665	0.130	not
ZNF267	ZNF254	0.194	paralog
ZFP90	ZNF583	0.145	not
ANO1	PRKAR2A	0.137	not
ZNF287	ZNF329	0.165	not
ZSCAN2	ZNF155	0.136	not
ZNF177	ZNF543	0.149	not
ZNF287	ZKSCAN7	0.186	paralog
TRIM21	TRIM6	0.162	paralog
ZNF594	ZNF660	0.179	not
ZNF177	ZNF573	0.150	not
ZNF461	ZNF527	0.181	not
ZNF260	ZNF468	0.157	not
ZNF195	ZNF519	0.164	paralog
ZNF112	ZNF229	0.154	paralog
ZNF778	ZNF426	0.187	not
ZNF260	ZNF717	0.181	paralog
ZNF416	ZNF256	0.172	not
ZNF527	ZKSCAN7	0.143	paralog
ZNF300	ZNF569	0.166	not
ZNF569	ZNF41	0.139	not
ZNF180	ZNF544	0.182	not
MAGEA12	MAGEB6B	0.166	paralog
ZNF879	ZNF616	0.136	paralog
ZNF888	ZNF415	0.181	not
ZKSCAN7	ZNF502	0.195	not
ZNF595	ZNF721	0.196	not
ZNF823	ZNF14	0.186	paralog
ZNF605	ZNF182	0.171	paralog
ZNF594	ZNF565	0.178	not
ZNF426	ZNF791	0.146	not
ZNF287	ZNF606	0.133	not
ZFP69B	ZNF264	0.132	paralog
ZNF605	ZNF26	0.165	paralog
ZNF695	ZFP2	0.153	paralog
ZNF135	ZNF70	0.187	not
ZNF124	ZNF426	0.178	not
ZSCAN30	ZNF263	0.141	paralog
ZNF91	ZNF888	0.179	not
ZNF721	ZNF813	0.137	not
ZNF721	ZNF682	0.160	not
ZFP69	ZNF665	0.153	not
ZNF736	ZNF420	0.169	not
ZNF567	ZNF614	0.144	not
ZNF92	ZNF28	0.195	not
ZNF546	ZNF415	0.186	paralog
ZFP62	ZNF699	0.176	not
ZNF3	ZNF77	0.154	not
ZNF284	ZNF502	0.170	paralog
ZNF519	ZNF41	0.163	paralog
ZNF441	ZNF136	0.184	not
ZNF16	ZNF30	0.184	paralog
MAGEA12	MAGEB6B	0.165	paralog
ZNF721	ZNF92	0.166	not
ZNF124	ZNF490	0.136	not
ZNF250	ZNF23	0.133	paralog
ZNF611	ZNF347	0.168	not
ZNF124	ZNF180	0.141	paralog
ZNF681	ZNF83	0.149	paralog
ZNF560	ZNF791	0.137	not
ZNF302	ZNF573	0.150	not
ZNF304	ZNF416	0.167	not
ZNF354B	ZNF585A	0.189	paralog
ZNF684	ZNF571	0.166	not
ZNF546	ZNF502	0.172	paralog
ZNF45	ZNF230	0.136	not
ZNF300	ZNF883	0.158	paralog
ZNF548	ZNF554	0.172	not
ZNF569	ZNF544	0.182	not
WDR64	SLC25A12	0.171	not
ZNF506	ZNF578	0.170	not
ZNF300	ZNF461	0.155	paralog
ZNF571	ZNF888	0.178	not
ZNF528	ZNF808	0.183	not
ZNF268	ZNF382	0.199	not
ZNF268	ZNF782	0.170	paralog
ZNF585B	ZNF600	0.136	paralog
ZNF836	ZNF888	0.167	not
ZNF91	ZNF813	0.155	not
ZNF721	ZNF546	0.150	not
ZFP2	ZNF585B	0.183	paralog
ZFP82	ZNF780A	0.136	paralog
ZFP2	ZNF121	0.150	paralog
ZNF121	ZNF565	0.165	paralog
ZFP62	ZSCAN2	0.132	not
ZNF669	ZNF607	0.136	not
ZNF394	ZNF23	0.140	not
METTL2B	CLN8	0.142	not
ZNF33B	ZNF429	0.142	paralog
ZNF879	ZNF177	0.143	not
ZNF594	ZNF283	0.131	not
ZNF3	ZNF544	0.187	paralog
ZNF585A	ZNF501	0.145	paralog
AKAP1	SERINC4	0.187	not
ZNF565	ZNF256	0.166	not
TFEC	CGREF1	0.144	not
ZNF571	ZNF540	0.130	paralog
ZNF195	ZNF420	0.142	not
ZNF669	ZNF440	0.194	paralog
ZFP69B	ZNF569	0.189	not
ZNF594	ZNF573	0.143	not
ZNF614	ZNF432	0.167	not
ZNF468	ZNF888	0.164	paralog
ZNF699	ZNF331	0.150	paralog
ZFP37	ZNF560	0.138	paralog
ZNF572	ZNF774	0.159	paralog
