dn_a	dn_b	contain_ab	contain_ba	n_exon_a	n_exon_b	n_cov_a	n_cov_b
DN_NC_073242.2_37386128_4	DN_NC_073244.2_27408454_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_27504818_5	0.000000	0.000000	4	5	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_27566430_5	0.000000	0.000000	4	5	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_27765726_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_27869273_3	0.000000	0.000000	4	3	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_27956158_2	0.000000	0.000000	4	2	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_28072858_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_28333451_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_28711447_4	0.000000	0.000000	4	5	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_29232445_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_29297022_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_29557605_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_29680825_2	0.000000	0.000000	4	2	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_29970261_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_30067652_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_30438340_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_64034715_7	0.000000	0.000000	4	7	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_64081943_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_64125568_5	0.000000	0.000000	4	5	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_64231369_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_64340366_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_64400145_5	0.000000	0.000000	4	5	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_64500861_5	0.000000	0.000000	4	5	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_64585864_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_64618758_7	0.000000	0.000000	4	7	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_64672255_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_64759228_5	0.000000	0.000000	4	5	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_64860608_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_64908457_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_65003440_7	0.000000	0.000000	4	7	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_65046428_2	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_65073171_5	0.000000	0.000000	4	5	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_65266359_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_65362909_5	0.000000	0.000000	4	5	0	0
DN_NC_073242.2_37386128_4	DN_NC_073244.2_65398487_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_37386128_4	DN_NC_073246.2_15789285_3	0.000000	0.000000	4	3	0	0
DN_NC_073242.2_37386128_4	DN_NC_086017.1_41849524_2	0.000000	0.000000	4	2	0	0
DN_NC_073242.2_37435648_13	DN_NC_073244.2_44006563_15	0.769231	0.800000	13	15	10	12
DN_NC_073242.2_37476471_6	DN_NC_086018.1_26719433_15	0.833333	0.333333	6	15	5	5
DN_NC_073242.2_3790652_3	DN_NC_073242.2_3794469_3	1.000000	1.000000	3	3	3	3
DN_NC_073242.2_4214750_6	DN_NC_073247.2_115190067_8	0.000000	0.000000	6	8	0	0
DN_NC_073242.2_4304426_7	DN_NC_073242.2_4305661_8	0.285714	0.125000	7	8	2	1
DN_NC_073242.2_5822452_9	DN_NC_073242.2_5827060_6	0.000000	0.333333	9	6	0	2
DN_NC_073242.2_6296327_3	DN_NC_073244.2_61016337_3	0.333333	0.000000	3	3	1	0
DN_NC_073242.2_65850805_2	DN_NC_073242.2_68751082_2	0.500000	1.000000	2	2	1	2
DN_NC_073242.2_66060664_2	DN_NC_073242.2_66832276_2	1.000000	1.000000	2	2	2	2
DN_NC_073242.2_66481481_2	DN_NC_073242.2_68108553_2	1.000000	1.000000	2	2	2	2
DN_NC_073242.2_66613619_4	DN_NC_073244.2_26240035_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_66613619_4	DN_NC_073244.2_26314241_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_66613619_4	DN_NC_073244.2_26470366_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_66613619_4	DN_NC_073244.2_26666712_5	0.000000	0.000000	4	5	0	0
DN_NC_073242.2_66613619_4	DN_NC_073244.2_26901109_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_66613619_4	DN_NC_073244.2_27051998_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_66613619_4	DN_NC_073244.2_27131194_2	0.000000	0.000000	4	2	0	0
DN_NC_073242.2_66613619_4	DN_NC_073244.2_27285351_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_66613619_4	DN_NC_073244.2_27408454_4	0.750000	0.500000	4	4	3	2
DN_NC_073242.2_66613619_4	DN_NC_073244.2_27504818_5	0.000000	0.000000	4	5	0	0
DN_NC_073242.2_66613619_4	DN_NC_073244.2_27626411_5	0.000000	0.000000	4	5	0	0
DN_NC_073242.2_66613619_4	DN_NC_073244.2_27765726_4	0.750000	1.000000	4	4	3	4
DN_NC_073242.2_66613619_4	DN_NC_073244.2_27869273_3	0.000000	0.000000	4	3	0	0
DN_NC_073242.2_66613619_4	DN_NC_073244.2_27956158_2	0.000000	0.000000	4	2	0	0
DN_NC_073242.2_66613619_4	DN_NC_073244.2_28072858_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_66613619_4	DN_NC_073244.2_28256975_5	0.000000	0.000000	4	5	0	0
DN_NC_073242.2_66613619_4	DN_NC_073244.2_28333451_4	0.750000	0.750000	4	4	3	3
DN_NC_073242.2_66613619_4	DN_NC_073244.2_28588105_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_66613619_4	DN_NC_073244.2_28711447_4	0.000000	0.000000	4	5	0	0
DN_NC_073242.2_66613619_4	DN_NC_073244.2_28820229_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_66613619_4	DN_NC_073244.2_29046961_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_66613619_4	DN_NC_073244.2_29232445_4	0.500000	1.000000	4	4	2	4
DN_NC_073242.2_66613619_4	DN_NC_073244.2_29297022_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_66613619_4	DN_NC_073244.2_29557605_4	0.750000	1.000000	4	4	3	4
DN_NC_073242.2_66613619_4	DN_NC_073244.2_29680825_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_66613619_4	DN_NC_073244.2_29970261_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_66613619_4	DN_NC_073244.2_30067652_4	0.750000	0.750000	4	4	3	3
DN_NC_073242.2_66613619_4	DN_NC_073244.2_30090650_6	0.000000	0.000000	4	6	0	0
DN_NC_073242.2_66613619_4	DN_NC_073244.2_30438340_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_66613619_4	DN_NC_073244.2_64081943_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_66613619_4	DN_NC_073244.2_64340366_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_66613619_4	DN_NC_073244.2_64585864_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_66613619_4	DN_NC_073244.2_64759228_5	0.000000	0.000000	4	5	0	0
DN_NC_073242.2_66613619_4	DN_NC_073244.2_65003440_7	0.000000	0.000000	4	7	0	0
DN_NC_073242.2_66613619_4	DN_NC_073244.2_65073171_5	0.000000	0.000000	4	5	0	0
DN_NC_073242.2_66613619_4	DN_NC_073244.2_65266359_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_66613619_4	DN_NC_073244.2_65293743_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_66613619_4	DN_NC_073244.2_65326089_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_66613619_4	DN_NC_073244.2_65398487_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_6668831_3	DN_NC_073242.2_6668959_13	0.333333	0.000000	3	13	1	0
DN_NC_073242.2_6758889_7	DN_NC_073244.2_68699723_3	0.000000	0.000000	7	3	0	0
DN_NC_073242.2_6758889_7	DN_NC_073244.2_70451371_2	0.000000	0.000000	7	2	0	0
DN_NC_073242.2_6758889_7	DN_NC_086018.1_17871581_2	0.000000	0.000000	7	2	0	0
DN_NC_073242.2_6953229_7	DN_NC_073247.2_147064204_6	0.571429	0.500000	7	6	4	3
DN_NC_073242.2_7013229_2	DN_NC_073246.2_32689693_4	0.000000	0.000000	2	4	0	0
DN_NC_073242.2_82507839_22	DN_NC_073242.2_82560306_10	0.045455	0.000000	22	10	1	0
DN_NC_073242.2_84722201_14	DN_NC_073243.2_110732778_15	0.000000	0.000000	14	15	0	0
DN_NC_073242.2_84833963_14	DN_NC_073242.2_84922514_14	1.000000	1.000000	14	14	14	14
DN_NC_073242.2_84922514_14	DN_NC_073242.2_96060106_12	0.000000	0.000000	14	12	0	0
DN_NC_073242.2_84922514_14	DN_NC_073242.2_96073882_12	0.000000	0.000000	14	12	0	0
DN_NC_073242.2_84922514_14	DN_NC_073242.2_96161607_12	0.000000	0.000000	14	12	0	0
DN_NC_073242.2_85715932_3	DN_NC_073242.2_85790824_3	0.000000	0.000000	3	3	0	0
DN_NC_073242.2_85735381_3	DN_NC_073242.2_85744192_2	0.000000	0.000000	3	2	0	0
DN_NC_073242.2_85735381_3	DN_NC_073242.2_85759116_3	0.000000	0.000000	3	3	0	0
DN_NC_073242.2_85735381_3	DN_NC_073242.2_85790824_3	0.000000	0.000000	3	3	0	0
DN_NC_073242.2_85735381_3	DN_NC_073242.2_85815514_3	0.000000	0.000000	3	3	0	0
DN_NC_073242.2_85744192_2	DN_NC_073242.2_85759116_3	0.000000	0.000000	2	3	0	0
DN_NC_073242.2_85744192_2	DN_NC_073242.2_85790824_3	0.000000	0.000000	2	3	0	0
DN_NC_073242.2_85744192_2	DN_NC_073242.2_85815514_3	0.000000	0.000000	2	3	0	0
DN_NC_073242.2_85759116_3	DN_NC_073242.2_85790824_3	0.000000	0.000000	3	3	0	0
DN_NC_073242.2_85759116_3	DN_NC_073242.2_85815514_3	0.000000	0.000000	3	3	0	0
DN_NC_073242.2_85790824_3	DN_NC_073242.2_85815514_3	0.000000	0.000000	3	3	0	0
DN_NC_073242.2_8725127_13	DN_NC_086017.1_141278779_5	0.076923	0.200000	13	5	1	1
DN_NC_073242.2_8737492_8	DN_NC_086017.1_136773097_2	0.250000	0.500000	8	2	2	1
DN_NC_073242.2_8737492_8	DN_NC_086017.1_141278779_5	0.250000	0.400000	8	5	2	2
DN_NC_073242.2_8737492_8	DN_NC_086017.1_85330170_7	0.875000	1.000000	8	7	7	7
DN_NC_073242.2_96060106_12	DN_NC_073242.2_96073882_12	0.916667	0.916667	12	12	11	11
DN_NC_073242.2_96060106_12	DN_NC_073242.2_96161607_12	0.916667	1.000000	12	12	11	12
DN_NC_073242.2_96073882_12	DN_NC_073242.2_96161607_12	0.916667	1.000000	12	12	11	12
DN_NC_073242.2_96607850_4	DN_NC_073243.2_111657543_4	0.000000	0.000000	4	4	0	0
DN_NC_073242.2_97202362_10	DN_NC_073242.2_97214082_10	0.000000	0.000000	10	10	0	0
DN_NC_073242.2_97493790_12	DN_NC_073242.2_97528976_5	0.083333	0.200000	12	5	1	1
DN_NC_073242.2_98958086_2	DN_NC_073242.2_98974496_9	0.000000	0.111111	2	9	0	1
DN_NC_073242.2_99181437_12	DN_NC_073242.2_99604879_12	0.916667	1.000000	12	12	11	12
DN_NC_073242.2_99745328_12	DN_NC_073242.2_99793055_12	0.833333	0.833333	12	12	10	10
DN_NC_073243.2_112081564_15	DN_NC_086017.1_207228653_16	0.866667	1.000000	15	16	13	16
DN_NC_073243.2_112081564_15	DN_NC_086017.1_207540432_15	0.666667	0.600000	15	15	10	9
DN_NC_073243.2_17433799_8	DN_NC_073243.2_17450998_15	0.000000	0.000000	8	15	0	0
DN_NC_073243.2_20204464_2	DN_NC_073244.2_47250467_5	0.000000	0.000000	2	5	0	0
DN_NC_073243.2_20204464_2	DN_NC_073244.2_47586219_5	0.000000	0.000000	2	5	0	0
DN_NC_073243.2_20204464_2	DN_NC_073244.2_47997304_5	0.000000	0.000000	2	5	0	0
DN_NC_073243.2_20204464_2	DN_NC_073244.2_48030811_4	0.000000	0.000000	2	4	0	0
DN_NC_073243.2_20204464_2	DN_NC_073244.2_48242798_5	0.000000	0.000000	2	5	0	0
DN_NC_073243.2_20204464_2	DN_NC_073244.2_48980018_5	0.000000	0.000000	2	5	0	0
DN_NC_073243.2_20204464_2	DN_NC_073244.2_49072464_4	0.000000	0.000000	2	4	0	0
DN_NC_073243.2_20204464_2	DN_NC_073244.2_49246931_6	0.000000	0.000000	2	6	0	0
DN_NC_073243.2_20204464_2	DN_NC_073244.2_51825388_5	0.000000	0.000000	2	5	0	0
DN_NC_073243.2_20204464_2	DN_NC_073244.2_55341363_7	0.000000	0.000000	2	7	0	0
DN_NC_073243.2_20204464_2	DN_NC_073244.2_65102393_4	0.000000	0.000000	2	4	0	0
DN_NC_073243.2_20204464_2	DN_NC_073244.2_68491976_5	0.000000	0.000000	2	5	0	0
DN_NC_073243.2_20204464_2	DN_NC_073244.2_68513423_5	0.000000	0.000000	2	5	0	0
DN_NC_073243.2_20232546_4	DN_NC_073244.2_70277256_8	0.000000	0.000000	4	8	0	0
DN_NC_073243.2_20232546_4	DN_NC_086017.1_54612772_3	0.000000	0.000000	4	3	0	0
DN_NC_073243.2_20322881_2	DN_NC_073244.2_59726455_2	0.000000	0.000000	2	2	0	0
DN_NC_073243.2_20322881_2	DN_NC_086017.1_54551513_4	0.000000	0.000000	2	4	0	0
DN_NC_073243.2_20324218_2	DN_NC_073244.2_15324693_6	0.000000	0.000000	2	6	0	0
DN_NC_073243.2_20324218_2	DN_NC_086017.1_54487757_3	0.000000	0.000000	2	3	0	0
DN_NC_073243.2_20324218_2	DN_NC_086017.1_54527845_6	0.000000	0.000000	2	6	0	0
DN_NC_073243.2_21779153_4	DN_NC_073243.2_21780781_4	0.250000	0.250000	4	4	1	1
DN_NC_073243.2_22365408_15	DN_NC_086017.1_195260184_15	0.000000	0.000000	15	15	0	0
DN_NC_073243.2_22727924_2	DN_NC_073243.2_22729136_7	0.500000	0.142857	2	7	1	1
DN_NC_073243.2_25668904_14	DN_NC_073243.2_25770609_26	0.928571	0.538462	14	26	13	14
DN_NC_073243.2_25668904_14	DN_NC_073245.2_47207807_14	0.000000	0.000000	14	13	0	0
DN_NC_073243.2_25770609_26	DN_NC_073245.2_47207807_14	0.000000	0.000000	26	13	0	0
DN_NC_073243.2_25770609_26	DN_NC_086017.1_119256163_19	0.000000	0.000000	26	19	0	0
DN_NC_073243.2_31614985_22	DN_NC_073244.2_25226014_19	0.000000	0.000000	22	19	0	0
DN_NC_073243.2_40339828_3	DN_NC_073247.2_26298821_5	0.000000	0.600000	3	5	0	3
DN_NC_073243.2_40875168_3	DN_NC_073247.2_89808941_7	0.000000	0.000000	3	7	0	0
DN_NC_073243.2_47785917_12	DN_NC_073243.2_47800408_20	0.083333	0.050000	12	20	1	1
DN_NC_073243.2_49045190_4	DN_NC_073245.2_35160176_6	0.000000	0.000000	4	6	0	0
DN_NC_073243.2_49045190_4	DN_NC_073247.2_105439613_2	0.000000	0.000000	4	2	0	0
DN_NC_073243.2_51178324_11	DN_NC_073244.2_16453836_16	0.000000	0.000000	11	16	0	0
DN_NC_073243.2_54697918_6	DN_NC_073243.2_54805899_27	0.166667	0.000000	6	27	1	0
DN_NC_073243.2_69046517_5	DN_NC_073243.2_69056468_9	0.000000	0.111111	5	9	0	1
DN_NC_073243.2_69046517_5	DN_NC_073244.2_43610901_6	0.000000	0.166667	5	6	0	1
DN_NC_073243.2_69046517_5	DN_NC_073247.2_147586730_5	0.000000	0.000000	5	5	0	0
DN_NC_073243.2_70014918_17	DN_NC_073244.2_43610901_6	0.000000	0.166667	17	6	0	1
DN_NC_073243.2_70014918_17	DN_NC_073247.2_147586730_5	0.000000	0.000000	17	5	0	0
DN_NC_073243.2_74160733_18	DN_NC_073243.2_79717303_18	0.222222	0.222222	18	18	4	4
DN_NC_073243.2_81969227_10	DN_NC_073244.2_21366814_9	0.000000	0.000000	10	9	0	0
DN_NC_073243.2_82594889_12	DN_NC_073243.2_82739824_8	0.333333	0.500000	12	8	4	4
DN_NC_073243.2_94988262_4	DN_NC_086017.1_185299820_2	0.000000	0.000000	3	2	0	0
DN_NC_073243.2_97368865_2	DN_NC_073243.2_97368870_3	0.500000	0.333333	2	3	1	1
DN_NC_073244.2_11377962_21	DN_NC_073244.2_11413820_21	0.047619	0.047619	21	21	1	1
DN_NC_073244.2_12909180_8	DN_NC_073244.2_14850343_10	0.625000	0.500000	8	10	5	5
DN_NC_073244.2_14850343_10	DN_NC_086017.1_50412575_3	0.000000	0.000000	10	5	0	0
DN_NC_073244.2_15172509_7	DN_NC_073244.2_68766684_2	0.000000	0.000000	7	2	0	0
DN_NC_073244.2_15324693_6	DN_NC_086017.1_54487757_3	0.000000	0.000000	6	3	0	0
DN_NC_073244.2_15324693_6	DN_NC_086017.1_54527845_6	0.000000	0.000000	6	6	0	0
DN_NC_073244.2_15357025_8	DN_NC_073244.2_15508499_10	0.000000	0.000000	8	10	0	0
DN_NC_073244.2_15357025_8	DN_NC_073244.2_15648295_6	0.000000	0.000000	8	6	0	0
DN_NC_073244.2_15357025_8	DN_NC_073244.2_48384768_7	0.000000	0.000000	8	7	0	0
DN_NC_073244.2_15357025_8	DN_NC_073244.2_49246931_6	0.000000	0.000000	8	6	0	0
DN_NC_073244.2_15453865_9	DN_NC_073244.2_15508499_10	0.000000	0.000000	9	10	0	0
DN_NC_073244.2_15453865_9	DN_NC_073244.2_15648295_6	0.000000	0.000000	9	6	0	0
DN_NC_073244.2_15453865_9	DN_NC_073244.2_45985550_6	0.000000	0.000000	9	6	0	0
DN_NC_073244.2_15453865_9	DN_NC_073244.2_47997304_5	0.000000	0.000000	9	5	0	0
DN_NC_073244.2_15453865_9	DN_NC_073244.2_48030811_4	0.000000	0.000000	9	4	0	0
DN_NC_073244.2_15453865_9	DN_NC_073244.2_48066692_6	0.000000	0.000000	9	6	0	0
DN_NC_073244.2_15453865_9	DN_NC_073244.2_48242798_5	0.000000	0.000000	9	5	0	0
DN_NC_073244.2_15453865_9	DN_NC_073244.2_49072464_4	0.000000	0.000000	9	4	0	0
DN_NC_073244.2_15453865_9	DN_NC_073244.2_49246931_6	0.000000	0.000000	9	6	0	0
DN_NC_073244.2_15453865_9	DN_NC_073244.2_51749194_6	0.000000	0.000000	9	6	0	0
DN_NC_073244.2_15453865_9	DN_NC_073244.2_55341363_7	0.000000	0.000000	9	7	0	0
DN_NC_073244.2_15508499_10	DN_NC_073244.2_15648295_6	0.000000	0.000000	10	6	0	0
DN_NC_073244.2_15508499_10	DN_NC_073244.2_47997304_5	0.000000	0.000000	10	5	0	0
DN_NC_073244.2_15508499_10	DN_NC_073244.2_48242798_5	0.000000	0.000000	10	5	0	0
DN_NC_073244.2_15508499_10	DN_NC_073244.2_48384768_7	0.000000	0.000000	10	7	0	0
DN_NC_073244.2_15508499_10	DN_NC_073244.2_49072464_4	0.000000	0.000000	10	4	0	0
DN_NC_073244.2_15508499_10	DN_NC_073244.2_49176797_4	0.000000	0.000000	10	4	0	0
DN_NC_073244.2_15508499_10	DN_NC_073244.2_49246931_6	0.000000	0.000000	10	6	0	0
DN_NC_073244.2_15569240_8	DN_NC_073244.2_17678736_4	0.000000	0.000000	8	4	0	0
DN_NC_073244.2_15569240_8	DN_NC_073244.2_17831067_3	0.000000	0.000000	8	3	0	0
DN_NC_073244.2_15569240_8	DN_NC_073244.2_17960497_4	0.000000	0.000000	8	4	0	0
DN_NC_073244.2_15569240_8	DN_NC_073244.2_18047026_4	0.000000	0.000000	8	4	0	0
DN_NC_073244.2_15569240_8	DN_NC_073244.2_18096775_3	0.000000	0.000000	8	3	0	0
DN_NC_073244.2_15569240_8	DN_NC_073244.2_18307855_4	0.000000	0.000000	8	4	0	0
DN_NC_073244.2_15569240_8	DN_NC_073244.2_18649721_4	0.000000	0.000000	8	4	0	0
DN_NC_073244.2_15569240_8	DN_NC_073244.2_26156853_4	0.000000	0.000000	8	4	0	0
DN_NC_073244.2_15605841_4	DN_NC_086017.1_54612772_3	0.000000	0.000000	4	3	0	0
DN_NC_073244.2_15648295_6	DN_NC_073244.2_47997304_5	0.000000	0.000000	6	5	0	0
DN_NC_073244.2_15648295_6	DN_NC_073244.2_48030811_4	0.000000	0.000000	6	4	0	0
DN_NC_073244.2_15648295_6	DN_NC_073244.2_48066692_6	0.000000	0.000000	6	6	0	0
DN_NC_073244.2_15648295_6	DN_NC_073244.2_48242798_5	0.000000	0.000000	6	5	0	0
DN_NC_073244.2_15648295_6	DN_NC_073244.2_49072464_4	0.000000	0.000000	6	4	0	0
DN_NC_073244.2_15648295_6	DN_NC_073244.2_55341363_7	0.000000	0.000000	6	7	0	0
DN_NC_073244.2_16606086_12	DN_NC_073244.2_22635247_12	0.000000	0.000000	12	12	0	0
DN_NC_073244.2_17541226_2	DN_NC_073244.2_24302535_5	0.000000	0.800000	2	5	0	4
DN_NC_073244.2_17635782_4	DN_NC_073244.2_17678736_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17635782_4	DN_NC_073244.2_17751584_2	0.000000	0.000000	4	2	0	0
DN_NC_073244.2_17635782_4	DN_NC_073244.2_17831067_3	0.000000	0.000000	4	3	0	0
DN_NC_073244.2_17635782_4	DN_NC_073244.2_17846610_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17635782_4	DN_NC_073244.2_17876785_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17635782_4	DN_NC_073244.2_17922158_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17635782_4	DN_NC_073244.2_17960497_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17635782_4	DN_NC_073244.2_18045307_2	0.000000	0.000000	4	2	0	0
DN_NC_073244.2_17635782_4	DN_NC_073244.2_18047026_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17635782_4	DN_NC_073244.2_18096775_3	0.000000	0.000000	4	3	0	0
DN_NC_073244.2_17635782_4	DN_NC_073244.2_18201516_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17635782_4	DN_NC_073244.2_18232282_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17635782_4	DN_NC_073244.2_18356684_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17635782_4	DN_NC_073244.2_18385030_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17635782_4	DN_NC_073244.2_18426035_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17635782_4	DN_NC_073244.2_18470484_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17635782_4	DN_NC_073244.2_18564507_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17635782_4	DN_NC_073244.2_18649721_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17635782_4	DN_NC_073244.2_26156853_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17635782_4	DN_NC_073244.2_8680135_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17635782_4	DN_NC_073244.2_8711681_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17678736_4	DN_NC_073244.2_17751584_2	0.000000	0.000000	4	2	0	0
DN_NC_073244.2_17678736_4	DN_NC_073244.2_17797611_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17678736_4	DN_NC_073244.2_17831067_3	0.000000	0.000000	4	3	0	0
DN_NC_073244.2_17678736_4	DN_NC_073244.2_17846610_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17678736_4	DN_NC_073244.2_17876785_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17678736_4	DN_NC_073244.2_17922158_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17678736_4	DN_NC_073244.2_17960497_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17678736_4	DN_NC_073244.2_17994654_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17678736_4	DN_NC_073244.2_18045307_2	0.000000	0.000000	4	2	0	0
DN_NC_073244.2_17678736_4	DN_NC_073244.2_18047026_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17678736_4	DN_NC_073244.2_18096775_3	0.000000	0.000000	4	3	0	0
DN_NC_073244.2_17678736_4	DN_NC_073244.2_18201516_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17678736_4	DN_NC_073244.2_18232282_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17678736_4	DN_NC_073244.2_18307855_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17678736_4	DN_NC_073244.2_18356684_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17678736_4	DN_NC_073244.2_18385030_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17678736_4	DN_NC_073244.2_18426035_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17678736_4	DN_NC_073244.2_18470484_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17678736_4	DN_NC_073244.2_18564507_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17678736_4	DN_NC_073244.2_18614963_5	0.000000	0.000000	4	5	0	0
DN_NC_073244.2_17678736_4	DN_NC_073244.2_26156853_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17678736_4	DN_NC_073244.2_8619131_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17678736_4	DN_NC_073244.2_8680135_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17700597_4	DN_NC_073244.2_18124175_2	0.000000	0.000000	4	2	0	0
DN_NC_073244.2_17700597_4	DN_NC_073244.2_8711681_4	0.000000	0.000000	4	4	0	0
DN_NC_073244.2_17751584_2	DN_NC_073244.2_17797611_4	0.000000	0.000000	2	4	0	0
DN_NC_073244.2_17751584_2	DN_NC_073244.2_17831067_3	0.000000	0.000000	2	3	0	0
DN_NC_073244.2_17751584_2	DN_NC_073244.2_17846610_4	0.000000	0.000000	2	4	0	0
DN_NC_073244.2_17751584_2	DN_NC_073244.2_17876785_4	0.000000	0.000000	2	4	0	0
DN_NC_073244.2_17751584_2	DN_NC_073244.2_17922158_4	0.000000	0.000000	2	4	0	0
DN_NC_073244.2_17751584_2	DN_NC_073244.2_17960497_4	0.000000	0.000000	2	4	0	0
DN_NC_073244.2_17751584_2	DN_NC_073244.2_17994654_4	0.000000	0.000000	2	4	0	0
