gene	chrom	n_snp	n_tv	phase_qual	donor	acceptor	psi0	psi1	dPSI	q	multi_snp_only
LOC129523505	NC_086017.1	10	2	1.0	9794499	9796766	0.442	0.819	0.377	1.926e-06	0
ADAL	NC_073240.2	5	1	0.99	44141767	44144500	0.556	0.18	0.376	2.422e-16	0
MEAK7	NC_073242.2	27	10	1.0	115005671	115007396	0.025	0.4	0.375	3.196e-12	0
LOC129525330	NC_073224.2	25	8	0.9	125627361	125629145	0.625	0.25	0.375	1.563e-02	0
ENOX1	NC_073238.2	2	0	1.0	57760196	57908958	0.0	0.375	0.375	1.904e-02	0
ZNF578	NC_073244.2	6	0	0.55	64485805	64488003	0.0	0.375	0.375	2.222e-02	0
PCNT	NC_073246.2	23	6	0.99	48238922	48259735	0.545	0.171	0.374	2.991e-02	1
TMA16	NC_073227.2	3	0	0.99	184508656	184515574	0.0	0.373	0.373	5.953e-12	0
SLC25A18	NC_086018.1	8	3	1.0	15602948	15603107	0.0	0.37	0.370	1.842e-02	0
LCMT2	NC_073240.2	2	1	1.0	44141767	44143100	0.547	0.178	0.369	1.098e-12	0
ZNF28	NC_073244.2	3	1	1.0	64769774	64771903	0.092	0.462	0.369	3.586e-09	0
HELQ	NC_073227.2	7	3	0.84	103744314	103745635	0.0	0.366	0.366	2.355e-04	0
FPGT	NC_073224.2	7	2	0.99	165755492	165756782	0.97	0.608	0.362	1.217e-11	0
TTLL5	NC_073239.2	3	0	0.99	92764295	92814311	0.12	0.48	0.360	1.269e-02	0
MICAL2	NC_073233.2	20	4	0.91	18681259	18687607	0.14	0.5	0.360	1.805e-02	1
DCT	NC_073238.2	7	2	0.87	109244601	109280808	0.358	0.0	0.358	1.022e-04	0
ANKZF1	NC_073235.2	10	0	1.0	121929636	121929917	0.905	0.548	0.357	4.018e-04	0
TDRD1	NC_073232.2	21	4	0.97	126480987	126485306	0.008	0.364	0.356	2.687e-11	0
LOC109023154	NC_073239.2	40	18	0.89	123339169	123378127	0.0	0.356	0.356	2.409e-10	0
LOC109026610	NC_073227.2	7	2	0.96	8706504	8712006	0.569	0.213	0.356	2.954e-02	1
SLC16A3	NC_073228.2	3	0	1.0	9758774	9762923	0.025	0.381	0.356	3.328e-02	0
CAST	NC_073228.2	17	3	0.91	100901044	100901526	0.644	0.999	0.355	6.624e-92	0
CAST	NC_073228.2	17	3	0.91	100900378	100901005	0.644	0.999	0.355	1.647e-91	0
MTIF3	NC_073238.2	6	2	1.0	41768387	41771563	0.042	0.397	0.355	3.255e-05	0
CFAP410	NC_073246.2	22	5	1.0	46166066	46166989	0.05	0.405	0.355	1.656e-02	0
LOC129523505	NC_086017.1	10	2	1.0	9794499	9795028	0.5	0.147	0.353	4.911e-06	0
CAST	NC_073228.2	17	3	0.91	100900378	100901526	0.352	0.0	0.352	2.958e-92	0
TDRD1	NC_073232.2	21	4	0.97	126485465	126489396	0.037	0.389	0.352	2.947e-09	0
FAH	NC_073240.2	5	1	1.0	81564842	81565025	0.745	0.393	0.352	1.840e-03	0
LOC101143406	NC_073232.2	9	1	0.99	68629593	68630605	0.35	0.0	0.350	2.622e-05	0
LOC115932735	NC_073224.2	9	1	1.0	124327104	124334947	0.356	0.01	0.346	5.007e-10	0
ERAP1	NC_073228.2	16	4	0.86	100900378	100901005	0.655	1.0	0.345	9.873e-74	0
MME	NC_086017.1	8	1	0.98	166354125	166356834	0.012	0.357	0.345	1.476e-02	0
SLC9A8	NC_073245.2	2	0	0.99	62108504	62114260	0.107	0.452	0.344	3.123e-02	1
ERAP1	NC_073228.2	16	4	0.86	100901044	100901526	0.657	1.0	0.343	1.798e-73	0
ERAP1	NC_073228.2	16	4	0.86	100900378	100901526	0.342	0.0	0.342	4.781e-73	0
ZNF28	NC_073244.2	3	1	1.0	64772362	64776617	0.078	0.419	0.341	2.845e-08	0
LOC129523505	NC_086017.1	10	2	1.0	9795255	9796766	0.457	0.117	0.340	6.853e-06	0
LOC129532042	NC_073224.2	9	2	0.98	15905225	15905338	0.66	1.0	0.340	1.979e-03	1
TTLL5	NC_073239.2	3	0	0.99	92744979	92764212	0.16	0.5	0.340	2.417e-02	0
HNRNPK	NC_073237.2	1	1	0.98	80173146	80173552	0.663	1.0	0.337	1.268e-08	0
RPGRIP1L	NC_073242.2	2	0	0.99	82736978	82737825	0.337	0.0	0.337	2.838e-06	0
LOC129525330	NC_073224.2	25	8	0.9	125610409	125611770	0.531	0.195	0.336	1.381e-02	1
CALD1	NC_073230.2	3	1	0.99	144068740	144071685	0.982	0.648	0.334	8.816e-88	0
PFKP	NC_073232.2	4	1	0.99	12062945	12072757	0.329	0.663	0.334	3.543e-05	0
ZNF623	NC_073231.2	8	0	0.99	149487299	149500709	0.123	0.457	0.334	2.064e-02	0
TDRD1	NC_073232.2	21	4	0.97	126480987	126489396	0.811	0.477	0.333	5.957e-05	0
ZNF888	NC_073244.2	9	5	0.98	64876631	64879055	0.333	0.0	0.333	1.764e-03	1
LOC129526379	NC_073238.2	19	6	0.99	24465890	24466309	0.0	0.333	0.333	1.046e-02	0
BPGM	NC_073230.2	1	0	0.99	143743200	143757417	0.522	0.852	0.330	2.569e-03	0
ORMDL1	NC_073235.2	10	4	0.99	92227347	92227758	0.374	0.703	0.329	8.002e-20	0
SLC35G1	NC_073232.2	5	3	1.0	106170038	106174409	0.111	0.44	0.329	7.760e-03	0
ZNF701	NC_073244.2	7	3	0.98	64543515	64547260	0.424	0.096	0.328	4.888e-06	0
ZNF626	NC_073244.2	29	9	0.85	27142117	27154083	0.0	0.328	0.328	3.394e-03	0
LOC129525330	NC_073224.2	25	8	0.9	125612518	125613572	0.531	0.203	0.328	1.585e-02	1
LOC129525330	NC_073224.2	25	8	0.9	125611982	125612445	0.531	0.203	0.328	1.585e-02	1
TRMT10A	NC_073227.2	3	0	0.98	119872338	119876869	0.658	0.985	0.327	1.488e-05	0
MEAK7	NC_073242.2	27	10	1.0	115005651	115007396	0.626	0.3	0.326	1.342e-04	0
LOC101144919	NC_073239.2	4	0	1.0	32633871	32633970	0.951	0.625	0.326	9.819e-03	1
C5H6orf89	NC_073229.2	2	1	0.99	54645921	54654398	0.007	0.331	0.324	2.207e-26	0
CDPF1	NC_086018.1	29	10	0.99	44257509	44258613	0.0	0.324	0.324	1.248e-03	0
CDPF1	NC_086018.1	29	10	0.99	44257509	44259495	1.0	0.676	0.324	1.962e-03	0
TNNI3K	NC_073224.2	19	4	0.98	165755492	165756752	0.0	0.323	0.323	9.990e-07	0
SLC9A8	NC_073245.2	2	0	0.99	62114404	62123559	0.0	0.323	0.323	1.317e-03	0
ADGRG1	NC_073242.2	16	3	1.0	86764018	86785349	0.341	0.019	0.322	4.898e-66	0
ZNF254	NC_073244.2	3	1	0.99	30457282	30457763	0.552	0.873	0.321	3.031e-03	0
TUBGCP4	NC_073240.2	2	1	1.0	44182213	44187105	0.07	0.389	0.319	4.902e-02	1
CFAP70	NC_073232.2	1	0	0.99	42449077	42461948	0.145	0.463	0.318	1.097e-02	0
ZNF623	NC_073231.2	8	0	0.99	149487569	149500709	0.86	0.542	0.318	3.145e-02	0
DCLRE1A	NC_073232.2	3	2	0.99	126152074	126152603	0.316	0.0	0.316	2.335e-06	0
BPGM	NC_073230.2	1	0	0.99	143754636	143757417	0.396	0.079	0.316	8.256e-04	0
NLRX1	NC_073233.2	6	1	1.0	127112111	127114416	0.297	0.612	0.316	2.181e-03	0
FHL5	NC_073229.2	6	0	1.0	120703270	120740849	0.357	0.043	0.315	6.688e-12	0
HP1BP3	NC_073224.2	7	1	1.0	219141572	219143328	0.365	0.05	0.315	2.364e-02	1
LOC129525330	NC_073224.2	25	8	0.9	125606219	125607259	0.531	0.218	0.313	3.193e-02	1
LOC129525330	NC_073224.2	25	8	0.9	125608415	125610199	0.531	0.218	0.313	3.193e-02	1
LOC129525330	NC_073224.2	25	8	0.9	125607474	125608309	0.531	0.218	0.313	3.193e-02	1
LOC134756922	NC_073224.2	19	7	0.97	117263359	117264053	0.636	0.948	0.312	9.813e-09	1
MYH10	NC_073243.2	6	1	0.97	23775721	23775869	0.189	0.5	0.311	1.075e-04	0
RALGDS	NC_073237.2	2	0	0.99	129478102	129479244	0.689	1.0	0.311	3.878e-03	1
LOC101144919	NC_073239.2	4	0	1.0	32632589	32633385	0.967	0.656	0.311	8.612e-03	1
LOC115930576	NC_073224.2	35	15	0.99	218456905	218464589	0.31	0.0	0.310	8.569e-16	0
CENPK	NC_073243.2	6	1	1.0	44670957	44678779	0.309	0.0	0.309	5.101e-04	0
ZNF528	NC_073244.2	4	0	0.99	64368773	64369322	0.308	0.0	0.308	9.487e-03	0
TAF8	NC_073229.2	3	1	1.0	59866415	59866708	0.025	0.333	0.308	3.843e-02	0
PFKP	NC_073232.2	4	1	0.99	12061769	12062792	0.357	0.663	0.306	2.666e-04	0
LOC134756603	NC_073234.2	6	0	0.79	95291819	95292105	0.0	0.306	0.306	1.393e-02	0
LOC129526957	NC_073236.2	1	0	1.0	21340352	21341860	0.018	0.321	0.304	5.858e-06	1
LOC129532042	NC_073224.2	9	2	0.98	15907779	15909152	0.302	0.0	0.302	3.744e-03	0
ADGRG1	NC_073242.2	16	3	1.0	86763992	86785349	0.001	0.302	0.301	4.095e-74	0
LOC129532042	NC_073224.2	9	2	0.98	15904775	15905088	0.7	1.0	0.300	7.834e-03	1
