gene	chrom	start	end	strand	n_introns	K	n_chain_reads	primary_at_gene	primary_frac	n_secondary	n_sib_chain_match	n_seq_favors_sibling	nm_rate_gene	nm_rate_primary	dom_sibling	dom_sibling_n	klass
gene-BAIAP2L1	NC_073230.2	90440494	90551784	+	15	5	203	203	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-PARP11	NC_073234.2	19437628	19502104	-	12	4	203	203	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-CEP83	NC_073234.2	109717139	109881711	-	26	8	203	203	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-PSPC1	NC_073238.2	33954927	34085034	-	23	8	200	200	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-HYCC2	NC_073235.2	103593544	103688979	-	18	6	199	199	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-TDP1	NC_073239.2	106897080	106987900	+	19	7	194	194	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-KANSL1	NC_073228.2	46459000	46653577	-	24	8	194	194	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-EOLA1	NC_073247.2	161158677	161169413	+	10	4	193	94	0.487	99	99	99	0.0015	0.0008	gene-EOLA2	99	primary_sufficient
gene-EOLA2	NC_073247.2	161600461	161615356	-	10	4	193	99	0.513	94	91	94	0.002	0.0014	gene-EOLA1	91	primary_sufficient
gene-DAZ1	NC_073248.2	42783133	42859657	-	35	8	193	186	0.964	7	7	7	0.0054	0.0054	gene-LOC129530216	7	primary_sufficient
gene-PLD5	NC_073224.2	12977452	13422012	+	14	5	192	192	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129534588	NC_073224.2	15791575	15802484	+	22	8	192	34	0.177	158	55	158	0.0089	0.0017	gene-LOC129529234	60	secondary_dependent_identifiable
gene-ZNF569	NC_073244.2	48919828	48979766	-	13	5	191	190	0.995	1	0	1	0.0558	0.047	gene-LOC101127631	1	primary_sufficient
gene-USP32	NC_073228.2	31585137	31828758	+	39	8	191	191	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LIMS1	NC_073236.2	46432666	46585602	+	18	6	189	173	0.915	16	15	16	0.0162	0.0042	gene-LOC101146691	15	primary_sufficient
gene-ITCH	NC_073245.2	46581151	46723467	+	31	8	188	188	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-CLCN4	NC_073247.2	20623634	20705883	+	12	4	187	187	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-PLEKHG1	NC_073229.2	174769064	175012805	+	19	7	186	186	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-KLHDC8A	NC_073224.2	51395383	51416440	+	7	3	186	186	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-DENND4A	NC_073240.2	66431727	66566018	-	38	8	182	182	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-POC1B	NC_073234.2	104743506	104915100	-	19	7	181	181	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-POLA1	NC_073247.2	35198082	35495889	+	39	8	180	180	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-STOX1	NC_073232.2	46856890	46924877	-	7	3	180	180	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-FER	NC_073228.2	112549691	112998187	+	28	8	177	177	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101125737	NC_073224.2	117294168	117322399	-	26	8	177	47	0.266	130	108	124	0.0318	0.0101	gene-LOC101135585	37	primary_sufficient
gene-RPL9	NC_073227.2	47476683	47481868	-	9	3	175	166	0.949	9	0	9	0.0	0.0	gene-LOC101138942	9	primary_sufficient
gene-C19H5orf34	NC_073243.2	68392256	68420749	+	15	5	174	174	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC115935014	NC_073229.2	50128300	50314162	-	8	3	171	153	0.895	18	18	18	0.0509	0.0195	gene-LOC101132303	18	primary_sufficient
gene-SYTL3	NC_073229.2	182876179	182998380	+	29	8	171	171	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-TIMM23	NC_073232.2	69325946	69360118	-	9	3	170	166	0.976	4	4	4	0.0423	0.0126	gene-TIMM23B	4	primary_sufficient
gene-LOC101123934	NC_073234.2	23565471	23582619	-	9	3	170	156	0.918	14	13	14	0.0321	0.0015	gene-SLC2A14	13	primary_sufficient
gene-RGPD8	NC_073236.2	49989276	50034369	-	25	8	168	50	0.298	118	114	118	0.0322	0.0011	gene-LOC109025447	48	primary_sufficient
gene-TXNDC11	NC_073242.2	15316068	15380290	-	15	5	167	156	0.934	11	3	10	0.0087	0.0033	gene-LOC134757469	7	primary_sufficient
gene-DHX40	NC_073228.2	32452794	32498126	-	18	6	167	139	0.832	28	27	27	0.0054	0.0006	gene-LOC101126037	27	primary_sufficient
gene-LOC101146541	NC_073247.2	62249484	62257746	-	16	6	164	76	0.463	88	88	87	0.0008	0.0008	gene-LOC101144987	88	primary_sufficient
gene-LOC101144987	NC_073247.2	62360254	62368514	+	16	6	164	89	0.543	75	75	75	0.0008	0.0008	gene-LOC101146541	75	primary_sufficient
gene-LOC129531693	NC_073236.2	47732232	47772175	+	14	5	164	161	0.982	3	3	3	0.0101	0.0005	gene-LOC101137060	3	primary_sufficient
gene-GTF2F2	NC_073238.2	59396845	59563494	+	7	3	161	161	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-GMDS	NC_073229.2	19242195	19865378	-	12	4	160	160	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101130854	NC_073242.2	15910974	16101041	+	36	8	159	120	0.755	39	38	38	0.0268	0.0048	gene-LOC115932992	14	primary_sufficient
gene-DROSHA	NC_073243.2	76998340	77133766	-	40	8	159	159	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-CEP170	NC_073224.2	12213145	12341570	+	31	8	159	158	0.994	1	0	1	0.0169	0.0026	gene-LOC129531985	1	primary_sufficient
gene-LOC115933275	NC_073224.2	223066509	223078505	-	10	4	158	0	0.0	158	12	153	0.0159	0.0125	gene-LOC134757817	82	secondary_dependent_identifiable
gene-ASMTL	NC_073247.2	10819599	10877559	-	14	5	158	156	0.987	2	0	1	0.017	0.0202	gene-SNTB2	1	primary_sufficient
gene-ANK2	NC_073227.2	133086961	133765725	+	68	8	157	157	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-MTHFD1L	NC_073229.2	175034393	175270882	+	33	8	153	153	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-CPLANE1	NC_073243.2	82476590	82620220	-	57	8	152	134	0.882	18	18	17	0.0013	0.0004	gene-LOC115933270	18	primary_sufficient
gene-LRCH1	NC_073238.2	60957341	61155404	+	21	7	151	151	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101124545	NC_073238.2	59682432	59777634	+	32	8	148	93	0.628	55	45	54	0.0102	0.0065	gene-LOC129526151	47	primary_sufficient
gene-LOC101139703	NC_073237.2	17676719	17729191	+	16	6	143	88	0.615	55	28	51	0.0136	0.0016	gene-LOC129526951	28	primary_sufficient
gene-DZIP1	NC_073238.2	110309861	110373765	-	24	8	143	143	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-FAHD2B	NC_073236.2	34981697	34995125	-	14	5	141	65	0.461	76	76	76	0.0236	0.0079	gene-LOC101146690	76	primary_sufficient
gene-LOC115933429	NC_073240.2	20708868	20725685	-	4	2	137	45	0.328	92	82	92	0.0017	0.0004	gene-MPHOSPH8	82	primary_sufficient
gene-GPN3	NC_073234.2	125865992	125882295	-	10	4	137	137	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-DAP3	NC_073224.2	101094526	101228338	-	20	7	137	137	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129526951	NC_073238.2	22049861	22095731	+	13	5	136	49	0.36	87	80	84	0.0149	0.0014	gene-LOC101139703	81	primary_sufficient
gene-MPHOSPH8	NC_073238.2	33904121	33978020	+	19	7	135	135	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101135168	NC_073228.2	45710795	45743226	-	14	5	134	115	0.858	19	16	18	0.0081	0.0037	gene-LOC115934626	8	primary_sufficient
gene-LOC134757318	NC_073224.2	124326979	124347825	-	9	3	134	133	0.993	1	0	1	0.028	0.0067	NC_073224.2:intergenic	1	primary_sufficient
gene-LOC101131561	NC_073242.2	28664821	28786661	+	41	8	133	98	0.737	35	10	35	0.0155	0.0016	NC_073242.2:intergenic	11	primary_sufficient
gene-LOC101149786	NC_073224.2	124743080	124904018	-	35	8	132	132	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129526395	NC_073238.2	24693680	24739562	+	17	6	131	45	0.344	86	42	86	0.0074	0.0021	NC_073240.2:intergenic	37	primary_sufficient
gene-TJP1	NC_073240.2	30709725	30979740	-	38	8	130	130	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-RNF157	NC_073228.2	15732989	15831334	+	24	8	130	130	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129523567	NC_073237.2	23553516	23573994	+	7	3	126	44	0.349	82	77	82	0.0141	0.0036	gene-LOC101145348	77	primary_sufficient
gene-LOC101145348	NC_073237.2	30220076	30240444	-	7	3	126	82	0.651	44	42	44	0.0135	0.005	gene-LOC129523567	43	primary_sufficient
gene-LOC101145825	NC_086018.1	40574326	40581821	-	7	3	126	63	0.5	63	39	63	0.03	0.0067	gene-LOC115931919	39	primary_sufficient
gene-CLEC16A	NC_073242.2	14584795	14822155	+	32	8	121	121	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-GRM8	NC_073230.2	135511837	136336075	-	14	5	121	121	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101148313	NC_073229.2	136502876	136506910	+	2	2	117	59	0.504	58	57	58	0.0037	0.0031	gene-LOC115935025	57	primary_sufficient
gene-LOC115935025	NC_073229.2	136550592	136554623	+	2	2	117	58	0.496	59	59	59	0.0031	0.0031	gene-LOC101148313	59	primary_sufficient
gene-LOC101123970	NC_073242.2	27178722	27222516	-	9	3	117	95	0.812	22	22	21	0.002	0.001	gene-LOC129527614	22	primary_sufficient
gene-SORT1	NC_073224.2	130686196	130774380	+	22	8	117	117	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC109023386	NC_073240.2	23443211	23492751	-	32	8	116	63	0.543	53	50	53	0.0062	0.0031	gene-LOC115930830	50	primary_sufficient
gene-LOC101144919	NC_073239.2	32630524	32646334	-	11	4	116	90	0.776	26	23	26	0.0239	0.0016	gene-LOC115930536	23	primary_sufficient
gene-LOC115930830	NC_073240.2	31265530	31315032	-	29	8	114	55	0.482	59	57	58	0.0074	0.0026	gene-LOC109023386	57	primary_sufficient
gene-FBXO25	NC_073231.2	4778260	4883101	+	17	6	112	112	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-GCC2	NC_073236.2	46345355	46407645	+	25	8	112	112	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-AKAP3	NC_073234.2	20261498	20295591	-	10	4	112	112	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC115935376	NC_073230.2	47122629	47151105	+	8	3	109	96	0.881	13	5	13	0.0221	0.0021	gene-LOC101129811	5	primary_sufficient
gene-LOC129530241	NC_073248.2	19694606	19708531	-	15	5	108	45	0.417	63	60	63	0.0109	0.0009	gene-LOC129530240	13	primary_sufficient
gene-AMPD3	NC_073233.2	16756398	16897602	+	20	7	108	108	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-SYCP1	NC_073224.2	119257427	119395306	+	33	8	106	106	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-ROCK2	NC_073236.2	128573178	128740677	+	34	8	105	105	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-N6AMT1	NC_073246.2	30485293	30793074	-	14	5	105	105	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-METTL2A	NC_073228.2	29621091	29646183	-	8	3	105	66	0.629	39	3	39	0.0277	0.0036	NC_073230.2:intergenic	36	primary_sufficient
gene-UTY	NC_073248.2	30649669	30895118	+	40	8	103	103	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101151290	NC_073228.2	45974506	46045585	+	12	4	102	46	0.451	56	9	56	0.0209	0.001	NC_073228.2:intergenic	47	primary_sufficient
gene-PRIM2	NC_073229.2	75011896	75436608	+	22	8	102	95	0.931	7	0	7	0.0232	0.0011	NC_073229.2:intergenic	7	primary_sufficient
gene-PDE8B	NC_073243.2	34257880	34505876	-	28	8	101	101	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101142783	NC_073237.2	29398876	29524301	-	33	8	100	46	0.46	54	42	54	0.0219	0.0022	gene-ANKRD18B	26	primary_sufficient
gene-PRKG1	NC_073232.2	63370052	64783786	-	20	7	100	100	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101130871	NC_073228.2	179898453	179943178	+	40	8	99	40	0.404	59	49	59	0.0298	0.0062	gene-LOC115933189	31	primary_sufficient
gene-LOC115933189	NC_073228.2	182513644	182573435	-	44	8	99	44	0.444	55	48	51	0.0076	0.003	gene-LOC101130871	30	primary_sufficient
gene-LOC129531985	NC_073224.2	28878203	28927987	-	10	4	98	4	0.041	94	29	93	0.0186	0.0031	gene-LOC134758682	62	secondary_dependent_identifiable
gene-PLEKHM1	NC_073228.2	46778720	46833609	+	15	5	96	21	0.219	75	31	70	0.02	0.0013	NC_073228.2:intergenic	44	secondary_dependent_identifiable
gene-MRAS	NC_086017.1	149518167	149576842	+	13	5	95	95	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-NBEA	NC_073238.2	49249575	49973072	+	62	8	95	95	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101124243	NC_073224.2	6826725	6852932	+	12	4	93	54	0.581	39	38	39	0.0226	0.0044	gene-NOM1	38	primary_sufficient
gene-RPL11	NC_073224.2	216139208	216144121	-	7	3	93	63	0.677	30	1	28	0.0	0.0	gene-LOC109023480	19	primary_sufficient
gene-ARL17A	NC_073228.2	45686797	45738962	+	6	2	92	92	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-MAP3K13	NC_086017.1	196389042	196587268	+	18	6	91	91	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-ANKRD18B	NC_073237.2	31481778	31537202	+	23	8	91	50	0.549	41	37	41	0.0219	0.002	gene-LOC101142783	24	primary_sufficient
gene-OCLN	NC_073243.2	40688161	40752607	-	11	4	89	89	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-GRID2	NC_073227.2	112617699	114073589	+	15	5	89	89	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-MCTP2	NC_073240.2	95439037	95701845	+	25	8	89	89	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-TMEM131	NC_073236.2	35558861	35795699	-	43	8	88	88	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101129998	NC_073242.2	104264088	104292842	+	19	7	88	15	0.17	73	22	73	0.016	0.0009	gene-LOC129527692	17	secondary_dependent_identifiable
gene-KYAT3	NC_073224.2	150982240	151054464	+	18	6	88	88	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-ZNF506	NC_073244.2	26240040	26271164	-	4	2	88	88	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-ANKH	NC_073243.2	97161507	97322980	+	11	4	86	86	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101146547	NC_073247.2	131863973	131869463	+	3	2	85	35	0.412	50	40	50	0.0003	0.0003	gene-LOC115932259	40	primary_sufficient
gene-LOC115932259	NC_073247.2	131775950	131781434	-	3	2	85	50	0.588	35	34	33	0.0	0.0	gene-LOC101146547	34	primary_sufficient
gene-CDIN1	NC_073240.2	37279351	37510275	+	14	5	85	85	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-RSPO2	NC_073231.2	113702246	113887052	-	7	3	85	85	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101143875	NC_073237.2	23692563	23921564	+	26	8	83	72	0.867	11	11	11	0.022	0.0068	gene-LOC115933307	11	primary_sufficient
gene-LARP1B	NC_073227.2	148254515	148456749	+	44	8	83	83	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-ECHDC2	NC_073224.2	187055039	187081187	+	22	8	83	83	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-CUX1	NC_073230.2	86399646	86866505	-	37	8	82	81	0.988	1	0	1	0.0085	0.0077	gene-LOC101145093	1	primary_sufficient
gene-ZNF589	NC_086017.1	58115088	58146086	+	4	2	81	81	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101138066	NC_073240.2	86386260	86469536	-	16	6	81	72	0.889	9	0	0	0.0108	0.0226	NC_073240.2:intergenic	9	primary_sufficient
gene-SRP19	NC_073228.2	116702476	116736918	+	6	2	81	81	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-SLC27A4	NC_073237.2	124724656	124744816	+	15	5	80	80	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC115933254	NC_073236.2	32841301	32986386	-	21	7	79	24	0.304	55	48	55	0.0224	0.0017	gene-LOC101142783	35	primary_sufficient
gene-LOC129526957	NC_073236.2	21263927	21341878	-	11	4	79	59	0.747	20	10	20	0.0018	0.0018	gene-LOC134757216	15	primary_sufficient
gene-GPALPP1	NC_073238.2	59258432	59307467	+	8	3	79	79	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129530020	NC_073247.2	161266102	161270121	-	2	2	78	7	0.09	71	71	26	0.0035	0.003	gene-TMEM185A	71	secondary_dependent_identifiable
gene-PLPP1	NC_073243.2	54697878	54808132	+	7	3	78	78	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-MNAT1	NC_073239.2	77669707	77905983	+	9	3	78	78	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC115932699	NC_073242.2	32297418	32405819	+	37	8	78	70	0.897	8	7	6	0.0005	0.0005	gene-PARN	7	primary_sufficient
gene-IL1RAPL2	NC_073247.2	116340171	117567556	+	10	4	77	77	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-NBDY	NC_073247.2	66817817	66965161	+	2	2	77	77	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-CMAH	NC_073229.2	42764829	43139036	-	24	8	76	76	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC115932992	NC_073242.2	16363704	16543366	-	40	8	76	51	0.671	25	23	19	0.0192	0.0067	gene-NPIPB11	14	primary_sufficient
gene-LOC129531501	NC_073238.2	8045741	8059192	+	9	3	76	58	0.763	18	7	18	0.0146	0.0061	NC_073241.2:intergenic	7	primary_sufficient
gene-LOC101124084	NC_073228.2	81588962	81617053	+	5	2	75	60	0.8	15	13	15	0.0265	0.0041	gene-ZNF286A	13	primary_sufficient
gene-SIMC1	NC_073228.2	180020693	180124164	+	13	5	74	74	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-ZNF875	NC_073244.2	48565774	48613365	+	18	6	74	74	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-ARMC2	NC_073229.2	133017454	133158142	+	30	8	73	73	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC115934626	NC_073228.2	45894750	45957791	+	17	6	72	25	0.347	47	45	47	0.0087	0.0027	gene-LOC101135168	38	primary_sufficient
gene-EIF4E3	NC_086017.1	81564078	81612450	-	8	3	72	72	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-NOM1	NC_073230.2	165840210	165863623	+	11	4	72	39	0.542	33	33	33	0.0232	0.0042	gene-LOC101124243	33	primary_sufficient
gene-LOC115931040	NC_073240.2	16216758	16255074	-	12	4	71	8	0.113	63	10	62	0.0114	0.0011	NC_073236.2:intergenic	53	secondary_dependent_identifiable
gene-LOC101142918	NC_073232.2	92223706	92248362	+	11	4	70	31	0.443	39	2	39	0.0064	0.0047	gene-LOC115936005	29	primary_sufficient
gene-LOC129533810	NC_073228.2	54614921	54737782	+	17	6	69	25	0.362	44	33	44	0.0541	0.0075	gene-LOC115933340	28	primary_sufficient
gene-DHRSX	NC_073247.2	11461581	11756412	-	9	3	68	68	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-TIMM23B	NC_073232.2	65905863	65938282	-	7	3	68	64	0.941	4	4	4	0.0375	0.0066	gene-TIMM23	4	primary_sufficient
gene-LOC115933170	NC_073243.2	79732227	79790087	+	14	5	68	63	0.926	5	5	5	0.0082	0.001	gene-LOC115933270	5	primary_sufficient
gene-LOC101135843	NC_086018.1	22406148	22425872	-	12	4	67	19	0.284	48	37	48	0.0111	0.0009	gene-LOC115932815	25	primary_sufficient
gene-LOC129527696	NC_073242.2	99251817	99258534	-	11	4	67	24	0.358	43	31	43	0.0254	0.0014	gene-LOC129527723	10	primary_sufficient
gene-LOC101126300	NC_073230.2	53544903	53590154	-	12	4	67	67	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-NPIPB11	NC_073242.2	31337557	31462161	+	35	8	66	18	0.273	48	46	48	0.0294	0.0047	gene-LOC115932992	27	primary_sufficient
gene-GON4L	NC_073224.2	100973040	101083337	+	49	8	66	66	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-ATP7A	NC_073247.2	89592411	89730859	+	25	8	65	65	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-ZNF286A	NC_073243.2	30956739	30992080	+	9	3	65	22	0.338	43	28	43	0.0214	0.0066	gene-LOC101124084	33	primary_sufficient
gene-LOC129529978	NC_073247.2	164397067	164401096	+	5	2	65	29	0.446	36	31	36	0.0006	0.0006	gene-LOC129529983	31	primary_sufficient
gene-LOC129529983	NC_073247.2	164426196	164430223	-	5	2	65	36	0.554	29	25	29	0.0006	0.0006	gene-LOC129529978	25	primary_sufficient
gene-LOC101146405	NC_073230.2	86254780	86292192	-	24	8	65	55	0.846	10	0	6	0.0068	0.003	gene-LOC129534750	8	primary_sufficient
gene-LOC115933270	NC_073243.2	82739836	82872880	+	35	8	64	44	0.688	20	6	20	0.0091	0.0017	gene-LOC134757605	14	primary_sufficient
gene-LOC115931015	NC_073242.2	84833964	84870758	+	14	5	63	63	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101154628	NC_073229.2	86561261	87021944	-	29	8	62	55	0.887	7	0	7	0.0111	0.0074	NC_073229.2:intergenic	7	primary_sufficient
gene-ARB2A	NC_073228.2	97735756	98229193	-	22	8	61	61	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-FAM236B	NC_073247.2	84517975	84518862	-	3	2	61	26	0.426	35	34	35	0.0	0.0	gene-LOC115932941	34	primary_sufficient
gene-LOC115934575	NC_073228.2	83368451	83394317	-	9	3	61	38	0.623	23	2	23	0.0218	0.0026	NC_073228.2:intergenic	20	primary_sufficient
gene-LOC115932941	NC_073247.2	84678658	84679545	+	3	2	61	35	0.574	26	26	26	0.0	0.0	gene-FAM236B	26	primary_sufficient
gene-LOC101137455	NC_073228.2	182638384	182668328	-	14	5	61	45	0.738	16	13	15	0.0098	0.0067	gene-LOC115932824	8	primary_sufficient
gene-LOC115933167	NC_073230.2	51824946	51845196	-	5	2	61	45	0.738	16	9	16	0.0465	0.002	gene-LOC101130894	9	primary_sufficient
gene-LOC129530382	NC_073248.2	52311113	52349790	+	9	3	60	3	0.05	57	24	57	0.0141	0.0045	gene-LOC129526379	32	secondary_dependent_identifiable
gene-LOC101134978	NC_073224.2	101201911	101207457	-	20	7	60	46	0.767	14	1	14	0.0199	0.0022	gene-GON4L	13	primary_sufficient
gene-LOC115930831	NC_073240.2	29838297	29861545	+	6	2	60	49	0.817	11	8	11	0.0281	0.002	gene-LOC101137572	7	primary_sufficient
gene-LOC115931021	NC_073242.2	96100409	96114488	+	14	5	60	60	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC115932769	NC_073230.2	85351249	85509768	+	23	8	59	22	0.373	37	37	36	0.014	0.004	gene-AP3B1	37	primary_sufficient
gene-LOC134757007	NC_073224.2	117322320	117372948	-	10	4	59	49	0.831	10	9	10	0.2361	0.0215	gene-LOC115932984	6	primary_sufficient
gene-RAD9B	NC_073234.2	125916080	125963198	+	17	6	59	59	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101140864	NC_073238.2	29962938	29994156	+	11	4	58	9	0.155	49	2	47	0.0084	0.0017	NC_073238.2:intergenic	32	secondary_dependent_identifiable
gene-LOC129527231	NC_073238.2	32335834	32366824	+	11	4	58	8	0.138	50	2	49	0.0092	0.0019	NC_073238.2:intergenic	29	secondary_dependent_identifiable
gene-LOC115933340	NC_073228.2	54951501	55036825	+	11	4	58	44	0.759	14	4	13	0.1018	0.0099	NC_073228.2:intergenic	9	primary_sufficient
gene-LOC129523500	NC_073238.2	31332823	31353404	-	4	2	58	21	0.362	37	35	37	0.0103	0.001	gene-LOC109029477	35	primary_sufficient
gene-LOC115932794	NC_073228.2	78873182	78904934	-	5	2	58	51	0.879	7	0	7	0.0358	0.0083	NC_073228.2:intergenic	7	primary_sufficient
gene-KLHL1	NC_073238.2	84396708	84810387	-	11	4	57	57	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC115935867	NC_073237.2	31666682	31685089	+	4	2	57	55	0.965	2	1	2	0.0106	0.0062	NC_073236.2:intergenic	1	primary_sufficient
gene-LOC129533124	NC_073227.2	139457879	139639509	+	31	8	56	56	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101136772	NC_073232.2	69570991	69589050	-	6	2	56	56	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129527723	NC_073242.2	104785375	104844092	+	19	7	55	10	0.182	45	4	45	0.0068	0.0009	NC_073242.2:intergenic	16	secondary_dependent_identifiable
gene-NSUN7	NC_073227.2	48772682	48836339	+	13	5	55	55	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC115932815	NC_086018.1	22166021	22186683	+	11	4	55	25	0.455	30	16	30	0.0107	0.0012	gene-LOC101135843	15	primary_sufficient
gene-RABL2B	NC_086018.1	48818440	48832011	-	29	8	55	30	0.545	25	21	25	0.0139	0.0037	gene-LOC101142457	11	primary_sufficient
gene-AMACR	NC_073243.2	79611786	79635143	-	6	2	55	46	0.836	9	1	9	0.0168	0.004	NC_073238.2:intergenic	5	primary_sufficient
gene-PTPRD	NC_073237.2	53961890	56260457	+	56	8	55	55	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129533797	NC_073228.2	56531258	56556562	-	17	6	54	38	0.704	16	15	16	0.0094	0.0031	gene-LOC115934662	8	primary_sufficient
gene-LOC129526151	NC_073238.2	60757463	60839469	-	22	8	54	54	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101130894	NC_073230.2	86199379	86247837	-	11	4	53	45	0.849	8	0	8	0.003	0.0	gene-LOC101129811	5	primary_sufficient
gene-LOC134757302	NC_073240.2	22756290	22787358	-	11	4	52	1	0.019	51	2	50	0.0214	0.002	NC_073238.2:intergenic	31	secondary_dependent_identifiable
gene-AGAP5	NC_073232.2	42055287	42082512	+	11	4	52	32	0.615	20	14	20	0.027	0.0043	NC_073232.2:intergenic	6	primary_sufficient
gene-PPARG	NC_086017.1	22100408	22246507	+	14	5	52	52	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-CNTNAP3C	NC_073236.2	33287444	33439479	-	12	4	51	46	0.902	5	4	5	0.0224	0.0108	gene-LOC115933307	2	primary_sufficient
gene-TANC1	NC_073235.2	61469631	61733300	+	34	8	51	51	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-CLIC2	NC_073247.2	166902907	166994839	-	6	2	51	51	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-MTMR7	NC_073231.2	21473882	21593351	-	15	5	50	50	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-MAGEA9	NC_073247.2	161458542	161464324	+	9	3	50	20	0.4	30	30	30	0.0017	0.0017	gene-LOC129530018	30	primary_sufficient
