dna_family	n_copies	n_transcribed	n_well_expressed	genes
DFAM153	12	10	3	ISL1,ISL2,LHX1,LHX2,LHX3,LHX4,LHX5,LHX6,LHX8,LHX9,LMX1A,LMX1B
DFAM154	12	12	6	DNAH1,DNAH10,DNAH11,DNAH12,DNAH17,DNAH2,DNAH3,DNAH5,DNAH6,DNAH7,DNAH8,DNAH9
DFAM155	12	12	10	ACVR1,ACVR1B,ACVR1C,ACVR2A,ACVR2B,ACVRL1,AMHR2,BMPR1A,BMPR1B,LOC101139693,TGFBR1,TGFBR2
DFAM156	12	10	8	DUSP13A,DUSP13B,DUSP14,DUSP18,DUSP19,DUSP21,DUSP22,DUSP26,DUSP28,DUSP29,DUSP3,STYX
DFAM157	12	8	6	GNG10,GNG2,GNG3,GNG4,GNG5B,GNG7,GNG8,LOC109023336,LOC109027862,LOC109028453,LOC115935562,LOC115936218
DFAM158	12	6	3	LOC115936058,LOC129524559,LOC129524726,LOC129525035,LOC129525550,LOC129527151,LOC129527512,LOC129528280,LOC129534573,LOC134757253,LOC134757796,LOC134757970
DFAM159	11	4	0	LOC101140029,LOC101146227,LOC109023795,LOC109024093,LOC109025290,LOC109029139,LOC129525323,LOC129529164,LOC129532266,RPL39,RPL39L
DFAM160	11	5	5	LPAR1,LPAR2,LPAR3,MC2R,MC3R,MC4R,MC5R,S1PR1,S1PR2,S1PR3,S1PR4
DFAM161	11	8	5	AP1S1,AP1S3,AP2S1,AP3S1,AP3S2,AP4S1,LOC101146685,LOC115931023,LOC115931299,LOC129527971,LOC129533460
DFAM162	11	7	4	CAPN1,CAPN10,CAPN11,CAPN12,CAPN13,CAPN14,CAPN2,CAPN5,CAPN6,CAPN8,CAPN9
DFAM163	11	0	0	LOC129524600,LOC129524654,LOC129528441,LOC129528445,LOC129528460,LOC129528467,LOC129529380,LOC129530470,LOC129530544,LOC129530564,LOC134756446
DFAM164	11	8	6	LOC129529226,LOC129531982,LOC129532042,LOC129534588,LOC134758744,PLA2G4A,PLA2G4B,PLA2G4C,PLA2G4D,PLA2G4E,PLA2G4F
DFAM165	11	3	3	HNRNPCL1,LOC101147979,LOC101148340,LOC101148714,LOC115930071,LOC115932964,LOC129529411,LOC129533082,LOC134758529,RALY,RALYL
DFAM166	11	2	1	KMT5A,LOC101134637,LOC129526378,LOC129528161,LOC129529284,LOC129529286,LOC129529426,LOC129530289,LOC129530468,LOC129530502,LOC134756700
DFAM167	11	10	7	CLK1,CLK2,CLK3,CLK4,DYRK1A,DYRK1B,DYRK2,DYRK3,DYRK4,HIPK4,LOC101128723
DFAM168	11	10	7	LOC101128742,LOC101136583,LOC101148853,LOC101148972,LOC101150168,LOC115933728,LOC129526434,TUBA1C,TUBA3E,TUBA8,TUBAL3
DFAM169	11	11	9	KIF11,KIF17,KIF18A,KIF3A,KIF3B,KIF3C,KIF4A,KIF4B,KIF5A,KIF5B,KIF5C
DFAM170	11	5	2	LOC101123774,LOC101129492,LOC101129567,LOC101141087,LOC101152273,LOC101152815,LOC109026425,LOC109028007,LOC129525277,LOC129526900,RPL23A
DFAM171	11	6	5	LOC101126577,LOC101137478,LOC101142804,LOC101146120,LOC101151037,LOC101151121,LOC101153405,LOC109028360,LOC115931577,LOC129534058,RPS2
DFAM172	11	7	6	EEF1A1,EEF1A2,GSPT1,GSPT2,HBS1L,LOC101136757,LOC101142679,LOC109023808,LOC109027324,LOC109028379,TUFM
DFAM173	11	0	0	LOC101125991,LOC101127305,LOC101128279,LOC101128883,LOC101129227,LOC101130182,LOC134758420,PRR9,SPRR1B,SPRR2G,SPRR4
DFAM174	11	1	1	CT47C1,LOC101124756,LOC101125118,LOC115932226,LOC115932251,LOC115932289,LOC115932294,LOC115932301,LOC129529693,LOC129529694,LOC129529695
DFAM175	11	5	3	LOC101125376,LOC101129231,LOC101130806,LOC101133427,LOC101143702,LOC101147931,LOC101152497,LOC134757904,LOC134759033,RPL36A,RPL36AL
DFAM176	10	8	2	CLMP,CXADR,IGSF11,LOC101135203,LOC115933423,LOC129526137,LOC129527066,LOC129527232,LOC129527244,VSIG8
DFAM177	10	1	1	LOC129524018,LOC129525410,LOC129525453,LOC129525551,LOC129531557,LOC134757201,LOC134757204,LOC134759043,LOC134759140,LOC134759213
DFAM178	10	10	6	MYO19,MYO1A,MYO1B,MYO1C,MYO1D,MYO1E,MYO1F,MYO1G,MYO1H,MYO6
DFAM179	10	6	3	LOC101124837,LOC101131259,LOC101142541,LOC109024294,LOC109024295,LOC129524016,LOC129530270,TMSB10,TMSB15A,TMSB4X
DFAM180	10	1	1	LOC101131398,LOC101151347,LOC115932622,LOC115932623,LOC115932624,LOC115936205,LOC115936287,LOC134759324,SSU72,SSU72L6
DFAM181	10	1	0	LOC129524470,LOC129524659,LOC129524662,LOC129526471,LOC129528163,LOC129528196,LOC129528448,LOC129529385,LOC129530491,LOC134756947
DFAM182	10	6	4	LOC101129329,LOC101135754,LOC101145089,LOC109025964,LOC129526105,LOC134756755,TPM1,TPM2,TPM3,TPM4
DFAM183	10	6	4	ADH1B,ADH4,ADH5,ADH6,ADH7,LOC101125574,LOC101136823,LOC101142845,LOC129534179,LOC129534225
DFAM184	10	9	8	SEPTIN1,SEPTIN10,SEPTIN11,SEPTIN12,SEPTIN14,SEPTIN2,SEPTIN5,SEPTIN6,SEPTIN8,SEPTIN9
DFAM185	10	4	2	LOC129525975,TBX1,TBX10,TBX15,TBX18,TBX20,TBX22,TBX4,TBX5,TBX6
DFAM186	10	9	4	AGAP1,AGAP2,AGAP3,AGAP5,AGAP6,LOC101141934,LOC101143406,LOC101144261,LOC129525008,LOC129525050
DFAM187	10	4	2	LOC101133864,LOC101150435,LOC101152267,LOC109023937,LOC109026322,LOC115930210,LOC115931286,LOC129527576,RPL7,RPL7L1
DFAM188	10	3	1	CTSD,CTSE,LOC101127189,LOC101127800,LOC101132797,LOC101133169,LOC115936196,LOC115936305,PGC,REN
DFAM189	10	5	0	LOC101151897,LOC129527628,LOC129527629,PLA2G1B,PLA2G2A,PLA2G2C,PLA2G2D,PLA2G2E,PLA2G2F,PLA2G5
DFAM190	10	10	6	PLCB1,PLCB2,PLCB3,PLCB4,PLCD1,PLCD3,PLCD4,PLCL1,PLCL2,PLCZ1
DFAM191	10	8	4	CD69,CLEC1B,CLEC2A,CLEC2B,CLEC2D,CLEC7A,CLEC9A,KLRD1,KLRK1,LOC101129370
DFAM192	10	6	5	LOC101132402,LOC101136779,LOC101139358,LOC101141522,LOC115935322,LOC129528333,SUMO1,SUMO2,SUMO3,SUMO4
DFAM193	10	9	8	HSPA13,HSPA1A,HSPA1L,HSPA2,HSPA5,HSPA6,HSPA8,HSPA9,LOC101131586,LOC101152106
DFAM194	10	6	1	LIPC,LIPG,LIPH,LIPI,LOC101127304,LOC101131035,LPL,PLA1A,PNLIP,PNLIPRP3
DFAM195	10	6	5	HIGD1A,HIGD1B,HIGD1C,HIGD2A,HIGD2B,LOC101132615,LOC101134412,LOC101136214,LOC101152317,LOC109029167
DFAM196	10	10	7	KLHL13,KLHL14,KLHL15,KLHL22,KLHL26,KLHL31,KLHL32,KLHL34,KLHL36,KLHL9
DFAM197	10	8	6	LOC101123934,LOC109024736,SLC2A1,SLC2A11,SLC2A14,SLC2A2,SLC2A4,SLC2A5,SLC2A7,SLC2A9
DFAM198	10	9	6	COL11A1,COL11A2,COL1A1,COL1A2,COL24A1,COL2A1,COL3A1,COL5A1,COL5A2,COL5A3
DFAM199	10	9	8	DUSP1,DUSP10,DUSP2,DUSP4,DUSP5,DUSP6,DUSP7,DUSP9,LOC115933338,LOC134758532
DFAM200	10	6	5	FZD1,FZD10,FZD2,FZD3,FZD4,FZD5,FZD6,FZD7,FZD8,FZD9
DFAM201	10	2	0	LOC101127388,LOC101129304,LOC101129681,LOC101131842,LOC101141519,LOC101152773,LOC101153670,LOC109023623,LOC129523579,LOC129532385
DFAM202	10	10	10	LOC101136522,LOC101137607,LOC101139086,LOC101139701,LOC109024494,LOC109024495,LOC109024496,LOC109024497,LOC115931850,LOC129529257
DFAM203	10	4	3	LOC101136134,LOC101144284,LOC101144966,LOC101148834,LOC109024418,LOC115936029,LOC129529125,LOC134758341,LOC134759211,RPL12
DFAM204	10	0	0	LOC129524472,LOC129524656,LOC129524667,LOC129528228,LOC129528443,LOC129528463,LOC129529382,LOC129530304,LOC129530495,LOC129530569
DFAM205	10	1	1	LOC101133475,LOC101148734,MAS1,MAS1L,MRGPRD,MRGPRE,MRGPRF,MRGPRG,MRGPRX2,MRGPRX3
DFAM206	10	8	2	SCN10A,SCN11A,SCN1A,SCN2A,SCN3A,SCN4A,SCN5A,SCN7A,SCN8A,SCN9A
DFAM207	9	5	1	CLEC3A,CLEC3B,COLEC10,COLEC11,LOC101136905,LOC101141562,MBL2,SFTPA1,SFTPD
DFAM208	9	7	6	LOC101130652,LOC129527440,LOC129527821,MTM1,MTMR1,MTMR2,MTMR6,MTMR7,MTMR9
DFAM209	9	7	2	ALX1,ALX3,ALX4,HESX1,ISX,LOC101147858,PRRX1,PRRX2,SHOX2
DFAM210	9	7	5	SLC4A1,SLC4A10,SLC4A2,SLC4A3,SLC4A4,SLC4A5,SLC4A7,SLC4A8,SLC4A9
DFAM211	9	3	3	LOC101128796,LOC129529247,LOC129531977,LOC129532032,LOC129532055,LOC134758715,LOC134758759,MAPKBP1,WDR62
DFAM212	9	9	6	HECW1,HECW2,ITCH,NEDD4,NEDD4L,SMURF1,SMURF2,WWP1,WWP2
DFAM213	9	9	9	ACAD8,ACAD9,ACADL,ACADM,ACADS,ACADSB,ACADVL,GCDH,IVD
DFAM214	9	6	6	LOC101137976,LOC101147805,LOC115930074,SRSF10,SRSF12,SRSF2,SRSF3,SRSF7,SRSF8
DFAM215	9	8	4	LOC101125875,LOC101145215,ZBTB48,ZNF239,ZNF275,ZNF285,ZNF497,ZNF549,ZNF837
DFAM216	9	8	6	BTN1A1,BTN2A1,BTN2A2,BTN3A1,BTNL9,ERMAP,LOC101131099,LOC101145121,LOC101147830
DFAM217	9	7	5	SLC16A1,SLC16A11,SLC16A12,SLC16A13,SLC16A3,SLC16A5,SLC16A6,SLC16A7,SLC16A8
DFAM218	9	3	1	SLC17A1,SLC17A2,SLC17A3,SLC17A4,SLC17A5,SLC17A6,SLC17A7,SLC17A8,SLC17A9
DFAM219	9	6	6	LOC101130550,LOC115933773,SFN,YWHAB,YWHAE,YWHAG,YWHAH,YWHAQ,YWHAZ
DFAM220	9	9	6	ZFP14,ZFP30,ZFP82,ZNF345,ZNF485,ZNF566,ZNF573,ZNF780A,ZNF780B
DFAM221	9	3	0	LOC101140047,LOC101151343,LOC101153153,LOC109024635,LOC115930107,LOC115930166,LOC129523569,LOC129529923,SSX4
DFAM222	9	7	3	EEF2KMT,LOC101125415,LOC101128260,LOC101130354,LOC101133440,LOC101139163,LOC101152938,LOC115934341,LOC134756549
DFAM223	9	8	8	LOC109024670,LOC129530405,PSMA1,PSMA2,PSMA3,PSMA4,PSMA6,PSMA7,PSMA8
DFAM224	9	8	7	ATAD1,LOC101128863,LOC101145965,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6
DFAM225	9	8	4	CSNK1A1,CSNK1A1L,CSNK1D,CSNK1E,CSNK1G1,CSNK1G2,CSNK1G3,LOC101130599,LOC109025037
DFAM226	9	4	1	ADRA2A,ADRA2B,ADRA2C,ADRB1,ADRB3,DRD2,DRD3,DRD4,HTR7
DFAM227	9	7	5	ERG,ETS1,ETS2,ETV6,ETV7,FLI1,GABPA,LOC109027585,SPDEF
DFAM228	9	8	3	GRIA1,GRIA2,GRIA3,GRIA4,GRIK1,GRIK2,GRIK3,GRIK4,GRIK5
DFAM229	9	2	1	ABHD17A,ABHD17B,ABHD17C,LOC101125106,LOC109028905,LOC115932812,LOC115933037,LOC129530229,LOC129531439
DFAM230	9	3	1	LOC101123746,LOC115936187,LOC129534073,LOC129534074,LOC129534075,LOC129534219,ZC3H11A,ZC3H11B,ZC3H11C
DFAM231	9	4	1	ADAM29,LOC101124317,LOC101142362,LOC101154164,LOC101154539,LOC115931699,LOC115932819,LOC115933013,LOC134757320
DFAM232	9	5	3	HMGB1,HMGB2,HMGB3,HMGB4,LOC101125882,LOC101150009,LOC109025566,LOC115935782,LOC134757126
DFAM233	9	8	5	ENC1,KLHL23,KLHL24,KLHL25,KLHL29,KLHL30,KLHL35,KLHL38,KLHL6
DFAM234	9	7	4	LOC101147743,MOAP1,PNMA1,PNMA2,PNMA3,PNMA5,PNMA6A,PNMA6E,PNMA6F
DFAM235	9	4	3	EPB42,F13A1,TGM1,TGM2,TGM3,TGM4,TGM5,TGM6,TGM7
DFAM236	9	9	9	CCT2,CCT3,CCT4,CCT5,CCT6A,CCT6B,CCT7,LOC129526993,TCP1
DFAM237	9	9	0	CPA1,CPA2,CPA3,CPA4,CPA5,CPA6,CPB1,CPB2,CPO
DFAM238	9	5	3	IFITM1,IFITM2,IFITM5,LOC101128980,LOC101143671,LOC101150658,LOC101151759,LOC101152182,LOC109026657
DFAM239	9	0	0	LOC101126792,LOC101127159,LOC129526469,LOC129526568,LOC129526569,LOC129527191,LOC129527198,LOC129529391,LOC129529652
DFAM240	9	6	2	LOC101126658,LOC101132434,LOC101135843,LOC115931971,LOC115931972,LOC115932815,LOC115932925,LOC129529600,LOC129529618
DFAM241	9	4	2	LOC101125185,LOC101135885,LOC101137457,LOC101142361,LOC101143804,LOC101152626,LOC109023896,LOC109024079,RPL29
DFAM242	9	6	6	LOC101126442,LOC101127166,LOC101129521,LOC101137306,LOC101141368,LOC101146784,LOC115930192,LOC115935032,RPL17
DFAM243	9	5	1	LOC101136353,LOC115931212,LOC115931242,LOC129534585,LOC129534593,LOC129534707,LOC134757776,LOC134757815,SPTBN5
DFAM244	8	3	3	CRISP1,CRISP2,CRISP3,GLIPR1,GLIPR1L1,GLIPR1L2,PI15,R3HDML
DFAM245	8	4	0	LOC101139034,LOC101144253,LOC101150259,LOC109025440,LOC115930095,LOC115935779,LOC115935781,LOC129523482
DFAM246	8	6	3	LOC101131736,LOC134756410,MYOC,OLFM2,OLFM3,OLFM4,OLFML1,OLFML3
DFAM247	8	4	2	LOC101125960,LOC109024249,LOC109024637,LOC109026468,LOC109026973,LOC109029006,LOC129529182,RPL37
DFAM248	8	8	8	MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,MCM9
DFAM249	8	1	1	AWAT1,AWAT2,DGAT2,DGAT2L6,LOC101154599,MOGAT1,MOGAT2,MOGAT3
DFAM250	8	7	5	LOC101149662,LOC115935026,PIP4K2A,PIP4K2B,PIP4K2C,PIP5K1A,PIP5K1B,PIP5K1C
DFAM251	8	7	7	ILKAP,PPM1A,PPM1B,PPM1E,PPM1F,PPM1K,PPM1L,PPM1N
DFAM252	8	7	5	ARSA,ARSD,ARSF,ARSG,ARSH,ARSL,GALNS,STS
DFAM253	8	7	5	ANO1,ANO2,ANO3,ANO4,ANO5,ANO6,ANO7,ANO9
DFAM254	8	7	5	SLC7A10,SLC7A11,SLC7A13,SLC7A5,SLC7A6,SLC7A7,SLC7A8,SLC7A9
DFAM255	8	5	0	CCR1,CCR2,CCR3,CCR5,CCR8,CCRL2,CX3CR1,XCR1
DFAM256	8	6	4	GSTA4,LOC101148684,LOC101151677,LOC101152035,LOC101152643,LOC101153366,LOC109027180,LOC115934984
DFAM257	8	5	1	ANKRD22,LOC101149535,LOC109026167,LOC115930605,LOC115931858,LOC115933399,LOC115935974,OSTF1
DFAM258	8	6	1	LOC115931432,LOC129528748,LOC129532017,LOC134757481,LOC134759133,LOC134759134,LOC134759135,LOC134759136
DFAM259	8	4	2	LOC101134365,LOC101135462,LOC101137437,LOC101152176,LOC115935247,LOC129533589,LOC134756550,NPM1
DFAM260	8	8	7	CSF1R,FLT1,FLT3,FLT4,KDR,KIT,PDGFRA,PDGFRB
DFAM261	8	7	4	GPX1,GPX2,GPX3,GPX4,GPX5,GPX6,GPX7,GPX8
DFAM262	8	7	4	GRM1,GRM2,GRM3,GRM4,GRM5,GRM6,GRM7,GRM8
DFAM263	8	7	4	KCNH1,KCNH2,KCNH3,KCNH4,KCNH5,KCNH6,KCNH7,KCNH8
DFAM264	8	7	2	KCNK1,KCNK15,KCNK16,KCNK17,KCNK3,KCNK6,KCNK7,KCNK9
DFAM265	8	5	2	HMGN1,LOC101127181,LOC101127907,LOC101127980,LOC101140002,LOC101151349,LOC101154501,LOC129531710
DFAM266	8	3	2	LGALS3,LGALS4,LGALS8,LGALS9C,LOC101133154,LOC101138463,LOC101154187,LOC115932657
DFAM267	8	8	3	CPNE2,CPNE3,CPNE4,CPNE5,CPNE6,CPNE7,CPNE8,CPNE9
DFAM268	8	4	3	F12,HABP2,HGFAC,LOC115934282,LOC134756832,LOC134757059,PLAT,PLAU
DFAM269	8	7	3	ECE1,ECE2,ECEL1,KEL,LOC109025241,MME,MMEL1,PHEX
DFAM270	8	6	1	LOC101129545,LOC101134469,LOC101152321,LOC101153414,LOC109025311,LOC115934962,LOC129534194,LOC129534195
DFAM271	8	7	3	LOC101128237,LOC101133995,LOC101139685,LOC101140641,LOC101141395,LOC109027175,LOC129534457,MHC-DMB
DFAM272	8	8	7	DNAJA1,DNAJA2,DNAJA4,DNAJB1,DNAJB11,DNAJB13,DNAJB4,DNAJB5
DFAM273	8	3	2	ELOC,LOC101125987,LOC101139242,LOC101141508,LOC101148010,LOC101152199,LOC109025605,SKP1
DFAM274	8	8	5	ANPEP,ENPEP,ERAP1,ERAP2,LNPEP,LVRN,NPEPPS,TRHDE
DFAM275	8	5	3	HELT,HES1,HES3,HES4,HES7,HEY1,HEY2,HEYL
DFAM276	8	7	7	LOC101130728,LOC115932637,LOC129523520,LOC129529234,LOC129531983,LOC134756437,LOC134758712,LOC134758754
DFAM277	8	6	2	BDH1,DHRS9,HSD11B2,HSD17B2,LOC101153072,RDH16,RDH5,SDR9C7
DFAM278	8	7	3	SLC26A1,SLC26A2,SLC26A3,SLC26A4,SLC26A5,SLC26A6,SLC26A7,SLC26A9
DFAM279	8	6	2	SOX1,SOX11,SOX12,SOX15,SOX2,SOX3,SOX4,SRY
DFAM280	8	7	7	ADCY1,ADCY2,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY8
DFAM281	8	8	8	DHX15,DHX29,DHX30,DHX34,DHX36,DHX57,DHX9,YTHDC2
DFAM282	8	4	0	LALBA,LOC101129337,LYZ,LYZL2,LYZL4,LYZL6,SPACA3,SPACA5
DFAM283	8	6	3	LOC101131235,LOC101132303,LOC101133052,LOC101134815,LOC101137108,LOC101141025,LOC115935014,LOC134758703
DFAM284	8	4	3	LOC101124540,LOC101127632,LOC101136829,LOC101141118,LOC101147142,LOC101151317,LOC101152433,RPL31
DFAM285	8	8	6	PLXNA1,PLXNA2,PLXNA3,PLXNA4,PLXNB1,PLXNB2,PLXNB3,PLXND1
DFAM286	7	7	3	ABCA1,ABCA12,ABCA2,ABCA3,ABCA4,ABCA7,LOC101140873
DFAM287	7	7	6	ABCB10,ABCB6,ABCB7,ABCB8,ABCB9,TAP1,TAP2
DFAM288	7	1	1	IL1F10,IL1RN,IL36A,IL36B,IL36G,IL36RN,IL37
DFAM289	7	4	1	GOLGA6L7,LOC101137218,LOC101138059,LOC101153208,LOC115931294,LOC115933515,LOC134757625
DFAM290	7	4	2	LOC101132482,LOC101138040,LOC101139259,LOC101151356,LOC115935319,LOC129534630,SNRPG
DFAM291	7	4	2	LOC101128806,LOC101135508,LOC101153622,LOC109028893,LOC115933000,LOC129527639,RPL15
DFAM292	7	0	0	LOC129524260,LOC129527796,LOC129528259,LOC129528733,LOC129530539,LOC129532896,LOC129533142
DFAM293	7	1	1	LGALS1,LGALS2,LGALS7,LOC101130989,LOC101132676,LOC101133420,LOC101145213
DFAM294	7	1	0	LOC109024803,LOC115932905,LOC129524570,LOC129526400,LOC129526551,LOC129526554,LOC134757039
DFAM295	7	5	2	H1-1,H1-2,H1-3,H1-4,H1-5,H1-6,LOC109025096
DFAM296	7	7	7	LOC115932756,LOC115932954,LOC129523503,LOC129526389,LOC134756368,LOC134756753,LRPAP1
DFAM297	7	2	0	LOC109024460,LOC109024475,LOC109024875,LOC115931863,LOC115931864,LOC129529227,LOC129529329
DFAM298	7	7	6	MPP1,MPP2,MPP3,MPP4,MPP7,PALS1,PALS2
DFAM299	7	5	0	PAX2,PAX3,PAX4,PAX5,PAX6,PAX7,PAX8
DFAM300	7	6	2	SLC5A1,SLC5A10,SLC5A11,SLC5A2,SLC5A3,SLC5A4,SLC5A9
DFAM301	7	3	0	LOC129533564,SPINK1,SPINK13,SPINK14,SPINK7,SPINK8,SPINK9
DFAM302	7	6	4	STX11,STX19,STX1A,STX1B,STX2,STX3,STX4
DFAM303	7	5	4	LMOD1,LMOD2,LMOD3,TMOD1,TMOD2,TMOD3,TMOD4
DFAM304	7	4	2	ACSM1,ACSM2A,ACSM3,ACSM4,ACSM5,ACSM6,LOC101149481
DFAM305	7	5	1	ALOX12,ALOX12B,ALOX15,ALOX15B,ALOX5,ALOXE3,LOC101138809
DFAM306	7	6	5	ARVCF,CTNND1,CTNND2,PKP1,PKP2,PKP3,PKP4
DFAM307	7	7	3	CACNA1A,CACNA1B,CACNA1C,CACNA1D,CACNA1E,CACNA1F,CACNA1S
DFAM308	7	4	2	CD5L,CD6,LOC129524830,LOXL2,LOXL3,LOXL4,SSC4D
DFAM309	7	0	0	CD300A,CD300C,CD300E,CD300H,CD300LB,CD300LD,CD300LF
DFAM310	7	7	6	CHD1,CHD2,CHD3,CHD4,CHD5,SMARCA2,SMARCA4
DFAM311	7	7	3	CHST10,CHST11,CHST12,CHST13,CHST14,CHST8,CHST9
DFAM312	7	5	3	CHST1,CHST2,CHST3,CHST4,CHST5,CHST6,CHST7
DFAM313	7	6	3	SLC1A1,SLC1A2,SLC1A3,SLC1A4,SLC1A5,SLC1A6,SLC1A7
DFAM314	7	7	6	USP12,USP22,USP27X,USP3,USP46,USP50,USP51
DFAM315	7	4	2	AQP1,AQP2,AQP4,AQP5,AQP6,AQP8,MIP
DFAM316	7	6	4	CLIC1,CLIC2,CLIC3,CLIC4,CLIC5,LOC101153176,LOC109029052
DFAM317	7	4	3	LOC101124697,LOC101131774,LOC101142284,LOC101142418,LOC101146696,LOC101148971,LOC115930159
DFAM318	7	4	1	GLYAT,GLYATL3,LOC101125629,LOC101126357,LOC101126699,LOC101143657,LOC115930165
DFAM319	7	1	0	LOC101129469,LOC101142817,LOC109026093,LOC115930181,LOC115933483,LOC115935008,LOC115935586
DFAM320	7	5	0	MS4A12,MS4A15,MS4A2,MS4A3,MS4A4A,MS4A5,MS4A8
DFAM321	7	3	2	RNASE1,RNASE2,RNASE3,RNASE4,RNASE6,RNASE7,RNASE8
DFAM322	7	7	5	GBP2,GBP3,GBP4,GBP5,GBP6,GBP7,LOC101130426
DFAM323	7	7	6	KPNA1,KPNA2,KPNA3,KPNA4,KPNA5,KPNA6,KPNA7
DFAM324	7	7	7	LOC101128930,LOC101134686,STAT1,STAT2,STAT3,STAT4,STAT6
DFAM325	7	6	2	FMO1,FMO2,FMO3,FMO4,FMO5,LOC101129103,LOC134758497
DFAM326	7	4	1	LOC101139316,LOC101140030,LOC101140391,LOC115934969,RAET1E,ULBP1,ULBP3
DFAM327	7	7	6	AEBP1,CPE,CPM,CPN1,CPXM1,CPXM2,CPZ
DFAM328	7	0	0	GH1,LOC101125803,LOC101126399,LOC101126984,LOC115934631,LOC115934632,LOC134756429
DFAM329	7	6	6	GSTM1,GSTM2,GSTM3,GSTM4,GSTM5,GSTP1,LOC101138588
DFAM330	7	6	1	HS3ST1,HS3ST2,HS3ST3A1,HS3ST4,HS3ST5,HS3ST6,LOC101151182
DFAM331	7	6	5	ITGB1,ITGB2,ITGB3,ITGB5,ITGB6,ITGB7,ITGB8
DFAM332	7	5	3	LINGO1,LINGO2,LINGO3,LINGO4,LRRC4,LRRC4B,LRRC4C
DFAM333	7	1	1	LOC101131725,LOC101147225,LOC109025001,LOC115931637,LOC129530591,LOC134757034,SNRPE
DFAM334	7	2	1	CST3,CST5,CST8,LOC101147356,LOC101150231,LOC109023081,LOC115931737
DFAM335	7	5	1	LOC101127139,LOC101128488,LOC101146186,LOC115930131,LOC115933217,LOC115933283,LOC115933796
DFAM336	7	7	6	DECR1,DECR2,HSD17B10,LOC101141716,LOC101144919,LOC115930536,PECR
DFAM337	7	6	6	LDHA,LDHAL6A,LDHAL6B,LDHB,LDHC,LOC101148215,UEVLD
DFAM338	7	7	5	BMI1,LOC109029517,PCGF1,PCGF2,PCGF3,PCGF5,PCGF6
DFAM339	7	5	4	SP1,SP2,SP3,SP4,SP6,SP8,SP9
DFAM340	7	5	5	CNN1,CNN2,CNN3,LOC129524764,TAGLN,TAGLN2,TAGLN3
DFAM341	7	7	6	B4GALT1,B4GALT2,B4GALT3,B4GALT4,B4GALT5,B4GALT6,B4GALT7
DFAM342	7	7	7	COL18A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6
DFAM343	7	7	7	DHX16,DHX33,DHX35,DHX37,DHX38,DHX40,DHX8
DFAM344	7	5	3	GP5,LRRC1,LRRC15,LRRC24,LRRC40,NYX,TRIL
DFAM345	7	2	1	LOC101140422,LOC101144947,LOC109026515,LOC109027584,LOC115933990,TMA7,TMA7B
DFAM346	7	1	0	LOC109023367,LOC109023457,LOC115930774,LOC115930789,LOC129527019,LOC134756434,LOC134757308
DFAM347	7	4	4	LOC101134687,LOC109023584,LOC109027020,NEDD8,RPS27A,UBA52,UBB
DFAM348	7	6	1	P2RX1,P2RX2,P2RX3,P2RX4,P2RX5,P2RX6,P2RX7
DFAM349	7	6	5	LOC101142167,LOC129528882,PRMT1,PRMT2,PRMT3,PRMT6,PRMT8
DFAM350	7	4	2	LOC101123893,LOC101131021,LOC101133011,LOC101133456,LOC101147806,LOC109024144,RPL36
DFAM351	6	6	6	EDEM1,EDEM2,MAN1A1,MAN1A2,MAN1B1,MAN1C1
DFAM352	6	5	0	GHSR,MLNR,NMUR1,NMUR2,NTSR1,NTSR2
DFAM353	6	6	6	MYO10,MYO5A,MYO5B,MYO5C,MYO9A,MYO9B
DFAM354	6	6	6	LOC101129624,NME1,NME2,NME3,NME4,NME6
DFAM355	6	5	1	NTN1,NTN3,NTN4,NTN5,NTNG1,NTNG2
DFAM356	6	3	2	ATP1B1,ATP1B2,ATP1B3,ATP1B4,ATP4B,LOC101143506
DFAM357	6	6	3	CNTNAP1,CNTNAP2,CNTNAP4,CNTNAP5,LOC101143875,LOC115933307
DFAM358	6	3	1	LOC101132221,LOC101146886,LOC101148081,LOC101148812,LOC101149517,LOC109024512
DFAM359	6	0	0	LOC109024451,LOC109024452,LOC109029387,LOC115930426,LOC129526141,LOC134756400
DFAM360	6	0	0	FRG2C,LOC115932837,LOC115932854,LOC129530558,LOC129532824,LOC134758387
DFAM361	6	5	3	LOC101146405,LOC115932795,LOC115932918,LOC115935266,LOC115935415,RASAL1
DFAM362	6	4	1	LOC101147160,LOC115932867,LOC129533282,LOC129533340,LOC134757814,LOC134757816
DFAM363	6	5	1	LOC101139634,LOC101140864,LOC115933765,LOC129527231,LOC134757302,POTEA
DFAM364	6	4	3	LRRC10,LRRC10B,LRRC2,LRRC28,LRRC39,RSU1
DFAM365	6	6	5	MOB1A,MOB1B,MOB2,MOB3A,MOB3B,MOB3C
DFAM366	6	5	5	DNM1,DNM1L,DNM2,DNM3,MX1,MX2
DFAM367	6	6	3	SLC38A1,SLC38A2,SLC38A3,SLC38A4,SLC38A5,SLC38A6
DFAM368	6	6	3	SLC39A10,SLC39A12,SLC39A4,SLC39A5,SLC39A6,SLC39A7
