a	b	core_recip
DN_NC_073234.2_24962455_3	DN_NC_073234.2_24962552_2	0.6793
DN_NC_073227.2_8155721_4	DN_NC_086017.1_9337960_4	0.7391
DN_NC_073244.2_64306022_6	DN_NC_073244.2_65102393_4	0.3138
DN_NC_073244.2_29970261_4	DN_NC_073244.2_65102393_4	0.2861
DN_NC_073244.2_69514207_2	DN_NC_073244.2_69685698_2	0.1886
DN_NC_073234.2_127098102_13	DN_NC_073240.2_46246235_3	0.1381
DN_NC_073224.2_132947918_3	DN_NC_073234.2_121621201_3	0.1813
DN_NC_073244.2_17922158_4	DN_NC_073244.2_18201516_4	0.2229
DN_NC_073224.2_8222533_2	DN_NC_073224.2_8222533_5	0.1451
DN_NC_073241.2_65217755_7	DN_NC_073241.2_65217758_2	0.9114
DN_NC_073243.2_20324218_2	DN_NC_073244.2_51749194_6	0.1628
DN_NC_073237.2_89310571_5	DN_NC_073244.2_28256975_5	0.1836
DN_NC_073241.2_64520240_3	DN_NC_073247.2_57840463_5	0.1783
DN_NC_073231.2_150671293_2	DN_NC_073244.2_15324693_6	0.2115
DN_NC_073227.2_8705656_4	DN_NC_073230.2_74299233_4	0.2989
DN_NC_073227.2_204526898_2	DN_NC_073227.2_204528228_2	0.9028
DN_NC_073228.2_182909765_5	DN_NC_073244.2_64585864_4	0.2547
DN_NC_073232.2_101543079_10	DN_NC_073243.2_49045190_4	0.1342
DN_NC_073234.2_148537990_5	DN_NC_073237.2_89310571_5	0.2364
DN_NC_073233.2_84674058_2	DN_NC_073233.2_84674937_2	0.9495
DN_NC_073244.2_63542066_5	DN_NC_073244.2_70525717_3	0.1966
DN_NC_073224.2_8422960_4	DN_NC_073244.2_26314241_4	0.3298
DN_NC_073228.2_70530128_4	DN_NC_073228.2_78905136_3	0.2157
DN_NC_073228.2_83600319_6	DN_NC_073232.2_81033881_5	0.2302
DN_NC_073234.2_148537990_5	DN_NC_073247.2_57840463_5	0.2606
DN_NC_073244.2_69974453_2	DN_NC_073244.2_70009554_3	0.1672
DN_NC_073230.2_74126483_4	DN_NC_073244.2_64836827_4	0.145
DN_NC_073244.2_17751582_4	DN_NC_073244.2_17797611_4	0.1564
DN_NC_073244.2_64034715_7	DN_NC_073244.2_64836827_4	0.2199
DN_NC_073228.2_182994030_5	DN_NC_073244.2_15324693_6	0.1586
DN_NC_073224.2_219630924_4	DN_NC_073235.2_71373985_7	0.1463
DN_NC_073241.2_36126183_3	DN_NC_073244.2_28072858_4	0.2319
DN_NC_073244.2_28820229_4	DN_NC_073244.2_64724127_4	0.191
DN_NC_073238.2_125453242_2	DN_NC_073238.2_125453992_2	0.925
DN_NC_073237.2_109279481_4	DN_NC_073244.2_14850343_10	0.1421
DN_NC_073237.2_109279481_4	DN_NC_073244.2_48352926_4	0.3647
DN_NC_073228.2_83513581_6	DN_NC_073229.2_45784439_7	0.1312
DN_NC_073236.2_139618373_5	DN_NC_073236.2_139624268_6	0.8616
DN_NC_073244.2_28072858_4	DN_NC_073246.2_15789320_2	0.2533
DN_NC_073247.2_161458538_3	DN_NC_073247.2_163809311_4	0.3453
DN_NC_073241.2_36126198_2	DN_NC_073244.2_27765726_4	0.3643
DN_NC_073228.2_83600319_6	DN_NC_073244.2_63895938_6	0.1763
DN_NC_073239.2_14838701_6	DN_NC_073244.2_43610901_6	0.2625
DN_NC_073224.2_130406472_4	DN_NC_073237.2_97733433_3	0.1632
DN_NC_073244.2_64340366_4	DN_NC_073244.2_65470296_6	0.1713
DN_NC_073228.2_83600319_6	DN_NC_073244.2_70024584_5	0.1854
DN_NC_073244.2_55771764_5	DN_NC_073244.2_69821764_4	0.1424
DN_NC_073244.2_18045307_2	DN_NC_073244.2_18307855_4	0.2207
DN_NC_073228.2_83513581_6	DN_NC_086017.1_54457640_6	0.1314
DN_NC_073232.2_72820474_5	DN_NC_073232.2_81033881_5	0.4566
DN_NC_073242.2_105636398_4	DN_NC_073245.2_58728682_5	0.1331
DN_NC_073229.2_45067329_6	DN_NC_073244.2_48030811_4	0.3996
DN_NC_073247.2_163590486_3	DN_NC_073247.2_164407411_3	0.2573
DN_NC_073242.2_20304889_2	DN_NC_073242.2_20305262_2	0.9263
DN_NC_073227.2_49278079_9	DN_NC_073244.2_43610901_6	0.3683
DN_NC_073237.2_123801018_5	DN_NC_086017.1_54487757_3	0.2791
DN_NC_073228.2_154747841_5	DN_NC_073244.2_63961971_6	0.237
DN_NC_073228.2_184836166_3	DN_NC_073244.2_48242798_5	0.272
DN_NC_073224.2_8222533_5	DN_NC_073242.2_66613619_4	0.2277
DN_NC_073231.2_150777699_3	DN_NC_073247.2_56899135_7	0.2316
DN_NC_073239.2_33826105_11	DN_NC_073242.2_97493790_12	0.3957
DN_NC_073231.2_150568091_5	DN_NC_073232.2_81033881_5	0.2734
DN_NC_073237.2_124444588_2	DN_NC_073237.2_124444719_2	0.8405
DN_NC_073237.2_30220066_5	DN_NC_073244.2_49246931_6	0.1777
DN_NC_073230.2_74126483_4	DN_NC_073244.2_69422908_4	0.2001
DN_NC_073232.2_72820474_5	DN_NC_073244.2_63895938_6	0.1861
DN_NC_073228.2_32353583_2	DN_NC_073228.2_32353596_3	0.8161
DN_NC_073244.2_18307855_4	DN_NC_073244.2_18356684_4	0.4825
DN_NC_073229.2_44967262_5	DN_NC_073237.2_23553596_5	0.1336
DN_NC_073244.2_69422908_4	DN_NC_073244.2_70323040_7	0.1928
DN_NC_073224.2_123525276_5	DN_NC_073239.2_123449122_2	0.3486
DN_NC_073234.2_148620174_2	DN_NC_073244.2_48980018_5	0.2169
DN_NC_073244.2_48030384_3	DN_NC_073244.2_55341363_7	0.3222
DN_NC_073244.2_28072858_4	DN_NC_073244.2_28333451_4	0.2753
DN_NC_073236.2_32302189_6	DN_NC_073237.2_109279481_4	0.1665
DN_NC_073244.2_49101177_5	DN_NC_073244.2_65293743_4	0.1854
DN_NC_073248.2_34736504_6	DN_NC_073248.2_34819290_6	1.0
DN_NC_073240.2_44172340_2	DN_NC_073242.2_24889827_7	0.1776
DN_NC_073227.2_8633418_2	DN_NC_073230.2_74299233_4	0.4352
DN_NC_073238.2_78219344_2	DN_NC_073238.2_78219348_2	0.8406
DN_NC_073244.2_28711447_2	DN_NC_073244.2_30090650_6	0.2042
DN_NC_073236.2_125241687_3	DN_NC_073236.2_125269048_2	0.3591
DN_NC_073230.2_92132360_3	DN_NC_073240.2_23725358_9	0.1738
DN_NC_073244.2_27956158_2	DN_NC_073244.2_28588105_4	0.3079
DN_NC_073230.2_116851282_14	DN_NC_073236.2_30490104_2	0.2172
DN_NC_073244.2_47642985_5	DN_NC_073244.2_48384768_7	0.3807
DN_NC_073230.2_112158616_4	DN_NC_073230.2_86128587_5	0.333
DN_NC_073227.2_8633418_2	DN_NC_073244.2_48093173_7	0.4527
DN_NC_073244.2_55607411_6	DN_NC_073244.2_64724127_4	0.1372
DN_NC_073242.2_96073882_12	DN_NC_073242.2_96161607_12	0.9583
DN_NC_073244.2_48030384_3	DN_NC_073244.2_69422908_4	0.3166
DN_NC_073244.2_47739503_5	DN_NC_073244.2_51783968_5	0.1835
DN_NC_073224.2_8222533_5	DN_NC_073230.2_74637814_2	0.3193
DN_NC_073244.2_55341363_7	DN_NC_073244.2_65073171_5	0.2152
DN_NC_073244.2_27285351_4	DN_NC_073244.2_29680825_2	0.2911
DN_NC_073244.2_27051998_4	DN_NC_073244.2_64125568_5	0.1436
DN_NC_073228.2_182994030_5	DN_NC_073244.2_55626504_5	0.2025
DN_NC_073237.2_89473261_14	DN_NC_073247.2_64561534_19	0.2754
DN_NC_073230.2_74190289_5	DN_NC_073244.2_15453865_9	0.1451
DN_NC_073224.2_49705460_2	DN_NC_073224.2_49705478_2	0.8959
DN_NC_073244.2_47586219_5	DN_NC_073246.2_15789285_3	0.167
DN_NC_073230.2_74190289_5	DN_NC_073244.2_26314241_4	0.2263
DN_NC_073242.2_37386128_4	DN_NC_073244.2_29680825_2	0.3053
DN_NC_073237.2_22957046_5	DN_NC_073238.2_31858801_4	0.3751
DN_NC_073234.2_132545283_12	DN_NC_073234.2_132547091_2	0.7916
DN_NC_073230.2_88683937_6	DN_NC_073231.2_150777699_3	0.2148
DN_NC_073230.2_74126483_4	DN_NC_073244.2_45737704_5	0.1419
DN_NC_073244.2_55538420_4	DN_NC_073244.2_55618657_2	0.4108
DN_NC_073229.2_44967262_5	DN_NC_073229.2_45067329_6	0.2082
DN_NC_073244.2_27285351_4	DN_NC_073244.2_29680825_4	0.1907
DN_NC_073244.2_70556426_4	DN_NC_073244.2_70558480_2	0.369
DN_NC_073244.2_64231369_4	DN_NC_073244.2_64368633_7	0.1969
DN_NC_073244.2_48030384_3	DN_NC_073244.2_49246931_6	0.2125
DN_NC_073244.2_27408454_4	DN_NC_073244.2_64340366_4	0.2738
DN_NC_073236.2_32676987_2	DN_NC_073237.2_24562366_2	0.3444
DN_NC_073237.2_93275727_4	DN_NC_073244.2_8594978_5	0.1904
DN_NC_073242.2_37386128_4	DN_NC_073244.2_29680825_4	0.3053
DN_NC_073239.2_124648897_4	DN_NC_073240.2_103747497_4	0.8286
DN_NC_073244.2_64368633_7	DN_NC_086017.1_41849524_2	0.2325
DN_NC_073244.2_64231369_4	DN_NC_073244.2_64340366_4	0.3769
DN_NC_073224.2_136262916_11	DN_NC_073244.2_64860608_4	0.1698
DN_NC_073244.2_27408454_4	DN_NC_073244.2_65102393_4	0.3076
DN_NC_073244.2_48093173_7	DN_NC_073244.2_65362909_5	0.1586
DN_NC_073231.2_146359048_3	DN_NC_073231.2_146359459_2	0.8988
DN_NC_073244.2_64231369_4	DN_NC_073244.2_65102393_4	0.3441
DN_NC_073244.2_47831779_6	DN_NC_073244.2_64368633_7	0.1419
DN_NC_073235.2_71373985_7	DN_NC_073246.2_48588228_2	0.2449
DN_NC_073244.2_29297022_4	DN_NC_073244.2_64860608_4	0.2174
DN_NC_073232.2_72820474_5	DN_NC_073244.2_55341363_7	0.2564
DN_NC_073244.2_26240039_2	DN_NC_073244.2_29970261_4	0.4255
DN_NC_073229.2_21470970_2	DN_NC_073247.2_166062772_13	0.3945
DN_NC_073237.2_25172073_4	DN_NC_073237.2_25176692_9	0.6631
DN_NC_073242.2_100900995_5	DN_NC_073244.2_18232282_4	0.1439
DN_NC_073247.2_67140268_2	DN_NC_073247.2_67140268_4	0.7236
DN_NC_073244.2_29232445_4	DN_NC_073244.2_64368633_7	0.4197
DN_NC_073244.2_29557605_4	DN_NC_073244.2_64724127_4	0.2632
DN_NC_073228.2_154747841_5	DN_NC_073241.2_64520240_3	0.1329
DN_NC_073244.2_17922158_4	DN_NC_073244.2_18356684_4	0.2201
DN_NC_073244.2_64500861_5	DN_NC_073244.2_65073171_5	0.3002
DN_NC_073228.2_83513581_6	DN_NC_073241.2_36126183_3	0.1399
DN_NC_073244.2_51825388_5	DN_NC_073244.2_64034715_7	0.2048
DN_NC_073244.2_69514207_2	DN_NC_073244.2_69685713_2	0.1886
DN_NC_073231.2_150568091_5	DN_NC_073244.2_55341363_7	0.2249
DN_NC_073227.2_36265860_3	DN_NC_073234.2_121621201_3	0.1821
DN_NC_073244.2_69466443_4	DN_NC_073244.2_69601170_4	0.1401
DN_NC_073224.2_124234032_12	DN_NC_073224.2_223156764_8	0.1315
DN_NC_073237.2_24384479_2	DN_NC_073237.2_24384787_2	0.8685
DN_NC_073227.2_9009888_2	DN_NC_073244.2_29297022_4	0.1809
DN_NC_073244.2_64426370_6	DN_NC_073244.2_65362909_5	0.1632
DN_NC_073244.2_26666712_5	DN_NC_073244.2_27131194_2	0.369
DN_NC_073234.2_148682020_7	DN_NC_073244.2_69715659_3	0.1514
DN_NC_073234.2_45204849_7	DN_NC_073234.2_45208389_7	0.3428
DN_NC_073244.2_64585864_4	DN_NC_073244.2_65266359_4	0.3841
DN_NC_073244.2_65046428_4	DN_NC_073244.2_70077616_7	0.1675
DN_NC_073227.2_8155721_4	DN_NC_073239.2_124648897_4	0.8286
DN_NC_073241.2_36126183_3	DN_NC_073244.2_48384768_7	0.296
DN_NC_073227.2_21866694_4	DN_NC_073235.2_106111443_2	0.1591
DN_NC_086018.1_44045392_3	DN_NC_086018.1_44049622_3	0.1999
DN_NC_073238.2_23392840_7	DN_NC_073248.2_45277558_8	0.6584
DN_NC_073244.2_70544393_4	DN_NC_073244.2_70556426_4	0.2185
DN_NC_073244.2_55538420_4	DN_NC_073244.2_55678004_6	0.2641
DN_NC_073244.2_47706460_3	DN_NC_073244.2_48319142_5	0.2137
DN_NC_073236.2_23070420_5	DN_NC_073236.2_30205531_7	0.1553
DN_NC_073227.2_8907801_4	DN_NC_073230.2_74190289_5	0.1328
DN_NC_073227.2_8633416_4	DN_NC_073230.2_73977205_4	0.3801
DN_NC_073244.2_28333451_4	DN_NC_073246.2_15789285_3	0.2185
DN_NC_073228.2_157310163_16	DN_NC_073233.2_113496230_16	0.1448
DN_NC_073236.2_112287977_2	DN_NC_073236.2_112287995_2	0.7897
DN_NC_073227.2_9009655_3	DN_NC_073244.2_55678004_6	0.1819
DN_NC_073244.2_69601170_4	DN_NC_073244.2_69672458_4	0.2037
DN_NC_073238.2_33197456_2	DN_NC_073241.2_80636266_2	0.2102
DN_NC_073247.2_131468464_3	DN_NC_086017.1_198207851_3	0.4551
DN_NC_073246.2_2173988_2	DN_NC_086018.1_1713296_2	0.6071
DN_NC_073231.2_150568091_5	DN_NC_073244.2_69422908_4	0.2387
DN_NC_073237.2_109279481_4	DN_NC_073244.2_27626411_5	0.2314
DN_NC_073239.2_123333523_2	DN_NC_073239.2_123336059_3	0.1349
DN_NC_073244.2_64860608_4	DN_NC_073244.2_65073171_5	0.2384
DN_NC_073244.2_47997304_5	DN_NC_073244.2_68643423_8	0.275
DN_NC_073237.2_89465596_2	DN_NC_073244.2_27139185_2	0.1664
DN_NC_073230.2_88683937_6	DN_NC_073244.2_48352926_4	0.2165
DN_NC_073229.2_140139419_8	DN_NC_073244.2_43610901_6	0.1742
DN_NC_073227.2_8633418_2	DN_NC_073244.2_30438340_4	0.4315
DN_NC_073244.2_26901109_4	DN_NC_073244.2_27131194_2	0.3997
DN_NC_073242.2_6233163_3	DN_NC_073242.2_6233195_2	0.8779
DN_NC_073231.2_150777699_3	DN_NC_073231.2_150817007_4	0.2839
DN_NC_073230.2_64900495_2	DN_NC_073244.2_27956158_2	0.3005
DN_NC_073241.2_36126198_2	DN_NC_073244.2_45796040_6	0.1312
DN_NC_073233.2_9788172_5	DN_NC_073244.2_28711447_4	0.2625
DN_NC_073224.2_197128142_3	DN_NC_073244.2_50702615_6	0.1462
DN_NC_073237.2_109279481_4	DN_NC_086017.1_85766278_5	0.2815
DN_NC_086017.1_26083611_2	DN_NC_086017.1_26083611_3	0.9373
DN_NC_073227.2_8633416_4	DN_NC_073244.2_28072858_4	0.3189
DN_NC_073244.2_47642985_5	DN_NC_073244.2_64340366_4	0.1746
DN_NC_073246.2_48588228_2	DN_NC_073247.2_114234875_11	0.2767
DN_NC_073244.2_64908457_4	DN_NC_073244.2_65046428_4	0.3465
DN_NC_073230.2_73776646_4	DN_NC_073244.2_27051998_4	0.3678
DN_NC_073244.2_48030811_4	DN_NC_073244.2_68548768_5	0.1749
DN_NC_086017.1_152618662_2	DN_NC_086017.1_152627210_2	0.9843
DN_NC_073244.2_47642985_5	DN_NC_073244.2_65102393_4	0.2543
DN_NC_073244.2_27504818_5	DN_NC_073246.2_15789285_3	0.2067
DN_NC_073228.2_83600319_6	DN_NC_073237.2_109230975_4	0.246
DN_NC_073228.2_182994030_5	DN_NC_073244.2_70525717_3	0.1926
DN_NC_073244.2_27869273_3	DN_NC_073244.2_65362909_5	0.3291
DN_NC_073233.2_24803514_8	DN_NC_073233.2_24846978_8	0.4643
DN_NC_073241.2_36126183_3	DN_NC_073244.2_27408454_4	0.3032
DN_NC_073227.2_210893336_9	DN_NC_073239.2_44758266_8	0.2939
DN_NC_073244.2_27408454_4	DN_NC_073244.2_30067652_4	0.3717
DN_NC_073242.2_97765438_4	DN_NC_073244.2_47642985_5	0.1445
DN_NC_073244.2_48066692_6	DN_NC_073244.2_48242798_5	0.2619
DN_NC_073228.2_179980536_5	DN_NC_073235.2_83159862_3	0.2148
DN_NC_073224.2_8329397_4	DN_NC_073237.2_109279481_4	0.1469
DN_NC_073224.2_40627195_4	DN_NC_073244.2_64125568_5	0.193
DN_NC_073244.2_47997304_5	DN_NC_073244.2_65470296_6	0.2385
DN_NC_073244.2_48384768_7	DN_NC_073244.2_55341363_7	0.2848
DN_NC_073228.2_83513581_6	DN_NC_073244.2_70077616_7	0.1342
DN_NC_073244.2_18047026_4	DN_NC_073244.2_18470484_4	0.4252
DN_NC_073228.2_182994030_5	DN_NC_073234.2_148537990_5	0.1663
DN_NC_073228.2_9291784_6	DN_NC_073247.2_115190067_8	0.2845
DN_NC_073244.2_48030811_4	DN_NC_073244.2_49101177_5	0.2059
DN_NC_073244.2_69848694_2	DN_NC_073244.2_69923243_2	0.1431
DN_NC_073228.2_182864372_4	DN_NC_073244.2_27566430_5	0.4463
DN_NC_073231.2_150777699_3	DN_NC_073244.2_69514207_2	0.2281
DN_NC_073241.2_36126198_2	DN_NC_073244.2_48352926_4	0.17
DN_NC_073244.2_48583045_5	DN_NC_073245.2_35678363_2	0.282
DN_NC_073224.2_8422960_4	DN_NC_073244.2_27504818_5	0.3826
DN_NC_073237.2_79911856_2	DN_NC_086017.1_14101436_3	0.2172
DN_NC_073227.2_9009655_3	DN_NC_073244.2_29046961_4	0.2665
DN_NC_073230.2_74637722_4	DN_NC_073244.2_64908457_4	0.3876
DN_NC_073244.2_46013405_4	DN_NC_073244.2_69492904_4	0.1612
DN_NC_073244.2_69974453_2	DN_NC_073244.2_70323040_7	0.2351
DN_NC_073244.2_29680825_4	DN_NC_086017.1_41849524_2	0.2787
DN_NC_073246.2_35385743_2	DN_NC_073246.2_35387869_2	0.738
DN_NC_073231.2_150568091_5	DN_NC_073237.2_109230975_4	0.1655
DN_NC_073242.2_66613619_4	DN_NC_073244.2_29297022_4	0.2279
DN_NC_073244.2_29297022_4	DN_NC_073244.2_65293743_4	0.2891
DN_NC_073244.2_29232445_4	DN_NC_073244.2_30067652_4	0.1706
DN_NC_073234.2_52064465_4	DN_NC_073234.2_52151326_4	0.804
DN_NC_073244.2_27131194_2	DN_NC_073244.2_28256975_5	0.3987
DN_NC_073237.2_59443509_2	DN_NC_073237.2_59443509_3	0.1766
DN_NC_073228.2_182994030_5	DN_NC_073244.2_68611978_5	0.1809
DN_NC_073234.2_125738330_13	DN_NC_073242.2_29733807_20	0.4375
DN_NC_073231.2_149487156_2	DN_NC_073236.2_32240619_3	0.1661
DN_NC_073244.2_27408454_4	DN_NC_073244.2_65046428_4	0.3374
DN_NC_073244.2_55678004_6	DN_NC_073244.2_65073171_5	0.2061
DN_NC_073232.2_81134357_6	DN_NC_073237.2_109279481_4	0.1657
DN_NC_073244.2_48919547_6	DN_NC_086017.1_85766278_5	0.2336
DN_NC_073224.2_216467757_3	DN_NC_073244.2_48030811_4	0.1408
DN_NC_073230.2_161022909_27	DN_NC_073236.2_21263952_7	0.1887
DN_NC_073244.2_18356684_4	DN_NC_073244.2_18470484_4	0.2929
DN_NC_073228.2_182909765_5	DN_NC_073244.2_65266359_4	0.1502
DN_NC_073247.2_65342412_4	DN_NC_073247.2_66706466_2	0.2447
DN_NC_073242.2_37386128_4	DN_NC_073244.2_55835875_4	0.2654
DN_NC_073233.2_6759783_2	DN_NC_073233.2_6765591_2	0.2035
DN_NC_073244.2_49246931_6	DN_NC_073244.2_64759228_5	0.3044
DN_NC_073244.2_48242798_5	DN_NC_073244.2_49205215_5	0.1927
DN_NC_073244.2_48319142_5	DN_NC_073247.2_57761829_5	0.2028
DN_NC_073237.2_109230975_4	DN_NC_073244.2_51749194_6	0.2557
DN_NC_073241.2_36126183_3	DN_NC_073244.2_64368633_7	0.1512
DN_NC_073236.2_115828789_3	DN_NC_073244.2_27139185_2	0.2572
DN_NC_073244.2_64836827_4	DN_NC_073244.2_68643423_8	0.1436
DN_NC_073241.2_36126183_3	DN_NC_073244.2_64340366_4	0.2864
DN_NC_073228.2_182994030_5	DN_NC_073236.2_32278873_5	0.2312
DN_NC_073244.2_29232445_4	DN_NC_073244.2_65046428_4	0.3679
DN_NC_073229.2_21260621_3	DN_NC_073229.2_21332828_2	0.1974
DN_NC_073224.2_15783681_8	DN_NC_073224.2_19235747_8	0.9993
DN_NC_073233.2_23658380_14	DN_NC_073233.2_23713060_3	0.7958
DN_NC_073241.2_38821696_2	DN_NC_073241.2_38821699_3	0.1522
DN_NC_073244.2_48384768_7	DN_NC_073244.2_49246931_6	0.2894
DN_NC_073229.2_45067329_6	DN_NC_073244.2_29970261_4	0.3747
DN_NC_073230.2_74299233_4	DN_NC_073244.2_26314241_4	0.3258
DN_NC_073244.2_17922158_4	DN_NC_073244.2_17960497_4	0.2571
DN_NC_073244.2_69685698_2	DN_NC_073244.2_70042341_3	0.2698
DN_NC_073232.2_81134357_6	DN_NC_086017.1_85766278_5	0.1588
DN_NC_073229.2_45764485_6	DN_NC_073244.2_65102393_4	0.1649
DN_NC_073224.2_214075309_3	DN_NC_073224.2_214095871_7	0.7245
DN_NC_073234.2_148682020_7	DN_NC_086017.1_54527845_6	0.187
DN_NC_073227.2_17445647_6	DN_NC_086017.1_85330170_7	0.3743
DN_NC_073228.2_182864372_4	DN_NC_073244.2_51783968_5	0.158
DN_NC_073224.2_117494263_25	DN_NC_073224.2_125594338_29	0.3123
DN_NC_073242.2_100900995_5	DN_NC_073244.2_64004232_5	0.3493
DN_NC_073232.2_81033881_5	DN_NC_073244.2_48660338_4	0.3437
DN_NC_073237.2_23553596_5	DN_NC_073237.2_93275727_4	0.2176
DN_NC_073240.2_103747497_4	DN_NC_073244.2_70818649_5	0.1352
DN_NC_073242.2_20304734_2	DN_NC_073244.2_28133142_2	0.1352
DN_NC_073247.2_161251228_4	DN_NC_073247.2_164407414_2	0.3781
DN_NC_073244.2_69294668_4	DN_NC_073244.2_70042341_3	0.1717
DN_NC_073230.2_74637814_2	DN_NC_073244.2_68513423_5	0.3371
DN_NC_073245.2_28570767_2	DN_NC_073245.2_28570800_2	0.6606
DN_NC_086018.1_17871480_5	DN_NC_086018.1_17871581_2	0.8201
DN_NC_073244.2_47250467_5	DN_NC_073244.2_47586219_5	0.3242
DN_NC_073236.2_32240619_3	DN_NC_073244.2_64618758_7	0.1943
DN_NC_073228.2_182994030_5	DN_NC_073237.2_23553596_5	0.2259
DN_NC_073236.2_112799498_6	DN_NC_086018.1_45497764_2	0.1606
DN_NC_073244.2_69454247_3	DN_NC_073244.2_69454318_2	0.9021
DN_NC_073231.2_150568091_5	DN_NC_073244.2_15453865_9	0.2105
DN_NC_073244.2_18124175_2	DN_NC_073244.2_26156853_4	0.1545
DN_NC_073244.2_57986392_2	DN_NC_073244.2_57986416_3	0.5705
DN_NC_073229.2_45067329_6	DN_NC_073244.2_45985550_6	0.1902
DN_NC_073229.2_45959984_4	DN_NC_073229.2_45985816_6	0.1488
DN_NC_073244.2_30067652_4	DN_NC_073244.2_64340366_4	0.1678
DN_NC_073224.2_204820137_2	DN_NC_073228.2_64854515_2	0.1408
DN_NC_073228.2_83513581_6	DN_NC_073244.2_47997304_5	0.283
DN_NC_073228.2_154747841_5	DN_NC_073244.2_65293743_4	0.1724
DN_NC_073229.2_45067329_6	DN_NC_073241.2_64520244_2	0.1392
DN_NC_073230.2_88683937_6	DN_NC_073244.2_69466443_4	0.156
DN_NC_073244.2_47997304_5	DN_NC_073244.2_64125568_5	0.2383
DN_NC_073227.2_8633416_4	DN_NC_073244.2_48384768_7	0.2241
DN_NC_073244.2_65046428_4	DN_NC_086017.1_50382141_5	0.1853
DN_NC_073244.2_29297022_4	DN_NC_073244.2_64724127_4	0.2377
DN_NC_073230.2_168783006_4	DN_NC_073240.2_103747497_4	0.9737
DN_NC_073241.2_64520240_3	DN_NC_073244.2_49205215_5	0.2598
DN_NC_073236.2_129103377_13	DN_NC_073236.2_129129305_10	0.3828
DN_NC_073242.2_96607850_4	DN_NC_073243.2_111657543_4	0.2636
DN_NC_073228.2_144930560_2	DN_NC_073228.2_145022553_2	0.481
DN_NC_073240.2_21430216_23	DN_NC_073240.2_24008961_23	0.9977
DN_NC_073224.2_40627195_4	DN_NC_073242.2_66613619_4	0.1308
DN_NC_073230.2_74637814_2	DN_NC_073244.2_26470366_4	0.3721
DN_NC_073235.2_78597294_2	DN_NC_073235.2_78597313_2	0.6507
DN_NC_073244.2_55497464_5	DN_NC_073244.2_55835875_4	0.1581
DN_NC_073232.2_101543079_10	DN_NC_073246.2_48588228_2	0.1688
DN_NC_073229.2_56880803_3	DN_NC_073229.2_56887365_2	0.7092
DN_NC_073244.2_69974453_2	DN_NC_073244.2_69975553_3	0.8533
DN_NC_073244.2_48919547_6	DN_NC_073244.2_65046428_2	0.1807
DN_NC_073244.2_45796040_6	DN_NC_073244.2_49246931_6	0.1502
DN_NC_073224.2_8422960_4	DN_NC_073241.2_36126183_3	0.1493
DN_NC_073227.2_138626266_4	DN_NC_073242.2_7013229_2	0.1495
DN_NC_073244.2_27765726_4	DN_NC_073244.2_47586219_5	0.2358
DN_NC_073229.2_49412454_2	DN_NC_073239.2_81444992_2	0.4634
DN_NC_073237.2_123801018_5	DN_NC_073244.2_64400145_5	0.3661
DN_NC_073230.2_88683937_6	DN_NC_086017.1_85766278_5	0.2478
DN_NC_073229.2_37505661_2	DN_NC_073229.2_37506801_2	0.7611
DN_NC_073224.2_8422960_4	DN_NC_073227.2_8633416_4	0.3357
DN_NC_073244.2_27285351_4	DN_NC_073244.2_28431147_7	0.1422
DN_NC_073244.2_17960497_4	DN_NC_073244.2_18564507_4	0.2111
DN_NC_073244.2_17678736_4	DN_NC_073244.2_18045307_2	0.3119
DN_NC_073224.2_150712594_12	DN_NC_073224.2_150859518_11	0.2943
DN_NC_073229.2_44967262_5	DN_NC_073244.2_64908457_4	0.1427
DN_NC_073232.2_72618921_23	DN_NC_073238.2_29552503_8	0.1652
DN_NC_073229.2_194862622_5	DN_NC_073243.2_111186227_2	0.3288
DN_NC_073232.2_71892021_2	DN_NC_073244.2_55835875_4	0.1538
DN_NC_073231.2_150671310_5	DN_NC_073244.2_55678004_6	0.153
DN_NC_073247.2_164381237_2	DN_NC_073247.2_164442447_2	1.0
DN_NC_073233.2_132992860_18	DN_NC_086017.1_148168205_5	0.1461
DN_NC_073228.2_182994030_5	DN_NC_073229.2_45067329_6	0.3156
DN_NC_073244.2_27131194_2	DN_NC_073244.2_29232445_4	0.5449
DN_NC_073224.2_213462039_6	DN_NC_073228.2_49710333_4	0.1736
DN_NC_073241.2_36126183_3	DN_NC_073244.2_30067652_4	0.2728
DN_NC_073244.2_47706460_3	DN_NC_073245.2_58728682_5	0.1356
DN_NC_073244.2_26240039_2	DN_NC_073244.2_28072858_4	0.2997
DN_NC_073244.2_27131194_2	DN_NC_073244.2_28711447_4	0.3987
DN_NC_073228.2_79859997_3	DN_NC_073228.2_83368453_5	0.31
DN_NC_073237.2_109279481_4	DN_NC_073244.2_69343714_4	0.166
DN_NC_073224.2_199494304_6	DN_NC_073241.2_36126198_2	0.1512
DN_NC_073239.2_92439460_10	DN_NC_073239.2_92439477_2	0.6293
DN_NC_073244.2_55426973_9	DN_NC_073244.2_55899006_4	0.1941
DN_NC_073228.2_10434405_6	DN_NC_073230.2_12962256_6	0.5384
DN_NC_073241.2_36126198_2	DN_NC_073244.2_27626411_5	0.3144
DN_NC_086018.1_19935965_4	DN_NC_086018.1_21140998_4	0.3128
DN_NC_073224.2_40627195_4	DN_NC_073230.2_74637814_2	0.3845
