gene_a	gene_b	dn_a	dn_b	cls	in_dna_loose	n_exon_a	n_exon_b	n_exon_min	stratum	both_single	core_recip	aln_frac	contain_ab	contain_ba	recip_contain	fold
LOC115930830	LOC134757229	DN_NC_073240.2_24764672_4	DN_NC_073240.2_31271054_17	TP	1	4	17	4	multi	0	0.1357	0.1284	0.2500	0.1176	0.1176	1
LOC115931054	PDPR	DN_NC_073242.2_103773356_15	DN_NC_073242.2_99543624_18	genuine	0	15	18	15	multi	0	0.4692	0.4699	0.8667	0.7222	0.7222	1
LOC115931054	PSMD7	DN_NC_073242.2_103765562_7	DN_NC_073242.2_103773356_15	genuine	0	7	15	7	multi	0	0.5884	0.5884	0.1429	0.0000	0.0000	1
LOC115931067	LOC134757486	DN_NC_073242.2_3790652_3	DN_NC_073242.2_3794469_3	TP	1	3	3	3	multi	0	1.0000	1.0000	1.0000	1.0000	1.0000	3
LOC115931069	LOC129527586	DN_NC_073242.2_21122105_21	DN_NC_073242.2_21673693_21	TP	1	21	22	21	multi	0	0.3070	1.0346	1.0000	1.0000	1.0000	2
LOC115931069	SMG1	DN_NC_073242.2_18210354_26	DN_NC_073242.2_21673693_21	TP	1	26	22	22	multi	0	0.1792	0.9041	0.8846	0.9545	0.8846	2
LOC115931074	LOC129527053	DN_NC_073240.2_23219746_14	DN_NC_073242.2_37435648_13	TP	1	14	13	13	multi	0	0.2100	0.6941	0.9286	0.9231	0.9231	1
LOC115931074	RHPN2	DN_NC_073242.2_37435648_13	DN_NC_073244.2_44006563_15	TP	1	13	15	13	multi	0	0.5027	0.5697	0.7692	0.8000	0.7692	1
LOC115931432	LOC129525065	DN_NC_073232.2_8894424_4	DN_NC_073242.2_120770730_3	TP	1	4	3	3	multi	0	0.4165	0.9065	0.5000	0.6667	0.5000	0
LOC115931547	LOC129523842	DN_NC_073230.2_47332274_8	DN_NC_073244.2_63917963_3	genuine	0	8	3	3	multi	0	0.1486	0.0000	0.0000	0.0000	0.0000	1
LOC115931567	LOC115931568	DN_NC_073244.2_27566430_5	DN_NC_073244.2_28072858_4	truthbar	0	5	4	4	multi	0	0.5291	0.0000	0.0000	0.0000	0.0000	4
LOC115931567	LOC115931576	DN_NC_073244.2_27626411_5	DN_NC_073244.2_29046961_4	genuine	0	5	4	4	multi	0	0.3858	0.4198	0.4000	0.5000	0.4000	4
LOC115931567	LOC115931654	DN_NC_073244.2_27566430_5	DN_NC_073244.2_65266359_4	truthbar	0	5	4	4	multi	0	0.1696	0.0000	0.0000	0.0000	0.0000	4
LOC115931567	LOC115931857	DN_NC_073244.2_27566430_5	DN_NC_073246.2_15789285_3	genuine	0	5	3	3	multi	0	0.3116	0.0000	0.0000	0.0000	0.0000	4
LOC115931567	LOC129527827	DN_NC_073242.2_66613619_4	DN_NC_073244.2_27626411_5	genuine	0	4	5	4	multi	0	0.2382	0.0000	0.0000	0.0000	0.0000	4
LOC115931567	LOC129528947	DN_NC_073244.2_27408454_4	DN_NC_073244.2_27566430_5	genuine	0	4	5	4	multi	0	0.4915	0.6054	0.5000	0.6000	0.5000	4
LOC115931567	ZNF141	DN_NC_073227.2_8907801_4	DN_NC_073244.2_27626411_5	genuine	0	4	5	4	multi	0	0.2449	0.0000	0.0000	0.0000	0.0000	4
LOC115931567	ZNF195	DN_NC_073233.2_9788172_5	DN_NC_073244.2_27566430_5	genuine	0	5	5	5	multi	0	0.2700	0.0000	0.0000	0.0000	0.0000	4
LOC115931567	ZNF254	DN_NC_073244.2_27626411_5	DN_NC_073244.2_30438340_4	genuine	0	5	4	4	multi	0	0.4074	0.4419	0.4000	0.5000	0.4000	4
LOC115931567	ZNF267	DN_NC_073242.2_37386128_4	DN_NC_073244.2_27566430_5	truthbar	0	4	5	4	multi	0	0.1842	0.0000	0.0000	0.0000	0.0000	4
LOC115931567	ZNF273	DN_NC_073230.2_74299233_4	DN_NC_073244.2_27626411_5	genuine	0	4	5	4	multi	0	0.4180	0.4366	0.5000	0.4000	0.4000	4
LOC115931567	ZNF28	DN_NC_073244.2_27626411_5	DN_NC_073244.2_64759228_5	genuine	0	5	5	5	multi	0	0.2405	0.0000	0.0000	0.0000	0.0000	4
LOC115931567	ZNF429	DN_NC_073244.2_27566430_5	DN_NC_073244.2_27956158_2	genuine	0	5	2	2	multi	0	0.6268	0.8325	0.0000	0.0000	0.0000	4
LOC115931567	ZNF43	DN_NC_073244.2_27566430_5	DN_NC_073244.2_28333451_4	truthbar	0	5	4	4	multi	0	0.3527	0.5809	0.6000	0.7500	0.6000	4
LOC115931567	ZNF430	DN_NC_073244.2_27504818_5	DN_NC_073244.2_27566430_5	genuine	0	5	5	5	multi	0	0.2452	0.6015	0.8000	1.0000	0.8000	4
LOC115931567	ZNF468	DN_NC_073244.2_27626411_5	DN_NC_073244.2_64797239_5	genuine	0	5	5	5	multi	0	0.1736	0.0000	0.0000	0.0000	0.0000	4
LOC115931567	ZNF486	DN_NC_073244.2_26666712_5	DN_NC_073244.2_27566430_5	genuine	0	5	5	5	multi	0	0.1920	0.0000	0.0000	0.0000	0.0000	4
LOC115931567	ZNF506	DN_NC_073244.2_26240035_4	DN_NC_073244.2_27566430_5	genuine	0	4	5	4	multi	0	0.2527	0.0000	0.0000	0.0000	0.0000	4
LOC115931567	ZNF519	DN_NC_073241.2_36126198_2	DN_NC_073244.2_27566430_5	genuine	0	2	5	2	multi	0	0.3548	0.0000	0.0000	0.0000	0.0000	4
LOC115931567	ZNF595	DN_NC_073227.2_8633418_2	DN_NC_073244.2_27566430_5	genuine	0	2	5	2	multi	0	0.3885	0.0000	0.0000	0.0000	0.0000	4
LOC115931567	ZNF600	DN_NC_073244.2_27566430_5	DN_NC_073244.2_64724127_4	truthbar	0	5	4	4	multi	0	0.1991	0.0000	0.0000	0.0000	0.0000	4
LOC115931567	ZNF626	DN_NC_073244.2_27131194_2	DN_NC_073244.2_27626411_5	genuine	0	2	5	2	multi	0	0.3997	0.4395	0.0000	0.0000	0.0000	4
LOC115931567	ZNF675	DN_NC_073244.2_27566430_5	DN_NC_073244.2_29970261_4	genuine	0	5	4	4	multi	0	0.5631	0.7257	0.6000	0.7500	0.6000	4
LOC115931567	ZNF678	DN_NC_073224.2_40627195_4	DN_NC_073244.2_27566430_5	genuine	0	4	5	4	multi	0	0.3683	0.0000	0.0000	0.0000	0.0000	4
LOC115931567	ZNF680	DN_NC_073230.2_73977205_4	DN_NC_073244.2_27566430_5	genuine	0	4	5	4	multi	0	0.2793	0.4872	0.5000	0.6000	0.5000	4
LOC115931567	ZNF681	DN_NC_073244.2_27626411_5	DN_NC_073244.2_30067652_4	genuine	0	5	4	4	multi	0	0.3181	0.4777	0.4000	0.5000	0.4000	4
LOC115931567	ZNF682	DN_NC_073244.2_26470366_4	DN_NC_073244.2_27566430_5	genuine	0	4	5	4	multi	0	0.5263	0.0000	0.0000	0.0000	0.0000	4
LOC115931567	ZNF695	DN_NC_073224.2_8422960_4	DN_NC_073244.2_27626411_5	genuine	0	4	5	4	multi	0	0.3840	0.0000	0.0000	0.0000	0.0000	4
LOC115931567	ZNF701	DN_NC_073244.2_27566430_5	DN_NC_073244.2_64543447_4	genuine	0	5	4	4	multi	0	0.2214	0.0000	0.0000	0.0000	0.0000	4
LOC115931567	ZNF721	DN_NC_073227.2_9010062_2	DN_NC_073244.2_27566430_5	truthbar	0	2	5	2	multi	0	0.3946	0.0000	0.0000	0.0000	0.0000	4
LOC115931567	ZNF723	DN_NC_073244.2_27626411_5	DN_NC_073244.2_29232445_4	genuine	0	5	4	4	multi	0	0.6546	1.0484	0.6000	0.7500	0.6000	4
LOC115931567	ZNF727	DN_NC_073230.2_73508332_4	DN_NC_073244.2_27626411_5	genuine	0	4	5	4	multi	0	0.2257	0.0000	0.0000	0.0000	0.0000	4
LOC115931567	ZNF736	DN_NC_073230.2_73776646_4	DN_NC_073244.2_27626411_5	genuine	0	4	5	4	multi	0	0.3586	0.0000	0.0000	0.0000	0.0000	4
LOC115931567	ZNF761	DN_NC_073244.2_27566430_5	DN_NC_073244.2_65362909_5	truthbar	0	5	5	5	multi	0	0.1405	0.0000	0.0000	0.0000	0.0000	4
LOC115931567	ZNF813	DN_NC_073244.2_27566430_5	DN_NC_073244.2_65398487_4	genuine	0	5	4	4	multi	0	0.1767	0.0000	0.0000	0.0000	0.0000	4
LOC115931567	ZNF83	DN_NC_073244.2_27566430_5	DN_NC_073244.2_64585864_4	genuine	0	5	4	4	multi	0	0.3641	0.0000	0.0000	0.0000	0.0000	4
LOC115931567	ZNF836	DN_NC_073244.2_27566430_5	DN_NC_073244.2_64125568_5	truthbar	0	5	5	5	multi	0	0.3602	0.0000	0.0000	0.0000	0.0000	4
LOC115931567	ZNF888	DN_NC_073244.2_27566430_5	DN_NC_073244.2_64860608_4	genuine	0	5	4	4	multi	0	0.3165	0.0000	0.0000	0.0000	0.0000	4
LOC115931567	ZNF91	DN_NC_073244.2_27566430_5	DN_NC_073244.2_29680825_2	truthbar	0	5	2	2	multi	0	0.3389	0.3552	0.2000	0.5000	0.2000	4
LOC115931567	ZNF92	DN_NC_073230.2_74637814_2	DN_NC_073244.2_27626411_5	genuine	0	2	5	2	multi	0	0.3997	0.4760	0.5000	0.0000	0.0000	4
LOC115931568	LOC115931576	DN_NC_073244.2_28072858_4	DN_NC_073244.2_29046961_4	truthbar	0	4	4	4	multi	0	0.4720	0.5074	0.5000	0.5000	0.5000	4
LOC115931568	LOC115931857	DN_NC_073244.2_28072858_4	DN_NC_073246.2_15789320_2	truthbar	0	4	2	2	multi	0	0.2533	0.0000	0.0000	0.0000	0.0000	4
LOC115931568	LOC129527827	DN_NC_073242.2_66613619_4	DN_NC_073244.2_28072858_4	genuine	0	4	4	4	multi	0	0.1850	0.0000	0.0000	0.0000	0.0000	4
LOC115931568	LOC129528947	DN_NC_073244.2_27408454_4	DN_NC_073244.2_28072858_4	genuine	0	4	4	4	multi	0	0.3844	0.5051	0.5000	0.5000	0.5000	4
LOC115931568	ZNF141	DN_NC_073227.2_8907801_4	DN_NC_073244.2_28072858_4	truthbar	0	4	4	4	multi	0	0.2825	0.0000	0.0000	0.0000	0.0000	4
LOC115931568	ZNF195	DN_NC_073233.2_9788172_5	DN_NC_073244.2_28072858_4	truthbar	0	5	4	4	multi	0	0.2068	0.0000	0.0000	0.0000	0.0000	4
LOC115931568	ZNF254	DN_NC_073244.2_28072858_4	DN_NC_073244.2_30438386_2	truthbar	0	4	2	2	multi	0	0.3164	0.0000	0.0000	0.0000	0.0000	4
LOC115931568	ZNF267	DN_NC_073242.2_37386128_4	DN_NC_073244.2_28072858_4	truthbar	0	4	4	4	multi	0	0.1555	0.0000	0.0000	0.0000	0.0000	4
LOC115931568	ZNF273	DN_NC_073230.2_74299233_4	DN_NC_073244.2_28072858_4	truthbar	0	4	4	4	multi	0	0.4729	0.4550	0.5000	0.5000	0.5000	4
LOC115931568	ZNF415	DN_NC_073244.2_28072858_4	DN_NC_073244.2_65046428_4	truthbar	0	4	3	3	multi	0	0.2281	0.0000	0.0000	0.0000	0.0000	4
LOC115931568	ZNF429	DN_NC_073244.2_27956158_2	DN_NC_073244.2_28072858_4	truthbar	0	2	4	2	multi	0	0.5881	0.0000	0.0000	0.0000	0.0000	4
LOC115931568	ZNF43	DN_NC_073244.2_28072858_4	DN_NC_073244.2_28333451_4	truthbar	0	4	4	4	multi	0	0.2753	0.5244	0.5000	0.5000	0.5000	4
LOC115931568	ZNF430	DN_NC_073244.2_27504818_5	DN_NC_073244.2_28072858_4	truthbar	0	5	4	4	multi	0	0.4088	0.0000	0.0000	0.0000	0.0000	4
LOC115931568	ZNF486	DN_NC_073244.2_26666712_5	DN_NC_073244.2_28072858_4	truthbar	0	5	4	4	multi	0	0.2629	0.0000	0.0000	0.0000	0.0000	4
LOC115931568	ZNF506	DN_NC_073244.2_26240035_4	DN_NC_073244.2_28072858_4	genuine	0	4	4	4	multi	0	0.3706	0.0000	0.0000	0.0000	0.0000	4
LOC115931568	ZNF519	DN_NC_073241.2_36126198_2	DN_NC_073244.2_28072858_4	truthbar	0	2	4	2	multi	0	0.2822	0.0000	0.0000	0.0000	0.0000	4
LOC115931568	ZNF528	DN_NC_073244.2_28072858_4	DN_NC_073244.2_64368633_7	truthbar	0	4	7	4	multi	0	0.1418	0.0000	0.0000	0.0000	0.0000	4
LOC115931568	ZNF595	DN_NC_073227.2_8633418_2	DN_NC_073244.2_28072858_4	truthbar	0	2	4	2	multi	0	0.3541	0.0000	0.0000	0.0000	0.0000	4
LOC115931568	ZNF626	DN_NC_073244.2_27131194_2	DN_NC_073244.2_28072858_4	truthbar	0	2	4	2	multi	0	0.4006	0.0000	0.0000	0.0000	0.0000	4
LOC115931568	ZNF675	DN_NC_073244.2_28072858_4	DN_NC_073244.2_29970261_4	truthbar	0	4	4	4	multi	0	0.5250	0.7598	0.5000	0.7500	0.5000	4
LOC115931568	ZNF678	DN_NC_073224.2_40627195_4	DN_NC_073244.2_28072858_4	truthbar	0	4	4	4	multi	0	0.3206	0.0000	0.0000	0.0000	0.0000	4
LOC115931568	ZNF680	DN_NC_073230.2_73977205_4	DN_NC_073244.2_28072858_4	truthbar	0	4	4	4	multi	0	0.4879	0.0000	0.5000	0.5000	0.5000	4
LOC115931568	ZNF681	DN_NC_073244.2_28072858_4	DN_NC_073244.2_30067652_4	truthbar	0	4	4	4	multi	0	0.1681	0.4812	0.5000	0.5000	0.5000	4
LOC115931568	ZNF682	DN_NC_073244.2_26470366_4	DN_NC_073244.2_28072858_4	truthbar	0	4	4	4	multi	0	0.4772	0.0000	0.0000	0.0000	0.0000	4
LOC115931568	ZNF695	DN_NC_073224.2_8422960_4	DN_NC_073244.2_28072858_4	truthbar	0	4	4	4	multi	0	0.3850	0.0000	0.0000	0.0000	0.0000	4
LOC115931568	ZNF721	DN_NC_073227.2_9010062_2	DN_NC_073244.2_28072858_4	truthbar	0	2	4	2	multi	0	0.2807	0.0000	0.0000	0.0000	0.0000	4
LOC115931568	ZNF723	DN_NC_073244.2_28072858_4	DN_NC_073244.2_29232445_4	truthbar	0	4	4	4	multi	0	0.6788	0.6192	0.5000	1.0000	0.5000	4
LOC115931568	ZNF727	DN_NC_073230.2_73508332_4	DN_NC_073244.2_28072858_4	truthbar	0	4	4	4	multi	0	0.2586	0.0000	0.0000	0.0000	0.0000	4
LOC115931568	ZNF736	DN_NC_073230.2_73776646_4	DN_NC_073244.2_28072858_4	truthbar	0	4	4	4	multi	0	0.4190	0.0000	0.0000	0.0000	0.0000	4
LOC115931568	ZNF813	DN_NC_073244.2_28072858_4	DN_NC_073244.2_65398487_4	truthbar	0	4	4	4	multi	0	0.3144	0.0000	0.0000	0.0000	0.0000	4
LOC115931568	ZNF83	DN_NC_073244.2_28072858_4	DN_NC_073244.2_64585864_4	truthbar	0	4	4	4	multi	0	0.1911	0.0000	0.0000	0.0000	0.0000	4
LOC115931568	ZNF91	DN_NC_073244.2_28072858_4	DN_NC_073244.2_29680825_2	truthbar	0	4	2	2	multi	0	0.3164	0.0000	0.0000	0.0000	0.0000	4
LOC115931568	ZNF92	DN_NC_073230.2_74637814_2	DN_NC_073244.2_28072858_4	truthbar	0	2	4	2	multi	0	0.3348	0.0000	0.0000	0.0000	0.0000	4
LOC115931576	LOC115931654	DN_NC_073244.2_29046961_4	DN_NC_073244.2_65266359_4	truthbar	0	4	4	4	multi	0	0.1710	0.0000	0.0000	0.0000	0.0000	4
LOC115931576	LOC115931857	DN_NC_073244.2_29046961_4	DN_NC_073246.2_15789285_3	truthbar	0	4	3	3	multi	0	0.2173	0.0000	0.0000	0.0000	0.0000	4
LOC115931576	LOC129527827	DN_NC_073242.2_66613619_4	DN_NC_073244.2_29046961_4	genuine	0	4	4	4	multi	0	0.2279	0.0000	0.0000	0.0000	0.0000	4
LOC115931576	LOC129528947	DN_NC_073244.2_27408454_4	DN_NC_073244.2_29046961_4	genuine	0	4	4	4	multi	0	0.4067	0.4680	0.5000	0.5000	0.5000	4
LOC115931576	ZNF141	DN_NC_073227.2_8907801_4	DN_NC_073244.2_29046961_4	truthbar	0	4	4	4	multi	0	0.2350	0.0000	0.0000	0.0000	0.0000	4
LOC115931576	ZNF195	DN_NC_073233.2_9788172_5	DN_NC_073244.2_29046961_4	truthbar	0	5	4	4	multi	0	0.1970	0.0000	0.0000	0.0000	0.0000	4
LOC115931576	ZNF254	DN_NC_073244.2_29046961_4	DN_NC_073244.2_30438386_2	truthbar	0	4	2	2	multi	0	0.3089	0.7072	0.2500	0.5000	0.2500	4
LOC115931576	ZNF273	DN_NC_073230.2_74299233_4	DN_NC_073244.2_29046961_4	truthbar	0	4	4	4	multi	0	0.2414	0.9133	1.0000	1.0000	1.0000	4
LOC115931576	ZNF28	DN_NC_073244.2_29046961_4	DN_NC_073244.2_64759228_5	truthbar	0	4	5	4	multi	0	0.2443	0.0000	0.0000	0.0000	0.0000	4
LOC115931576	ZNF415	DN_NC_073244.2_29046961_4	DN_NC_073244.2_65046428_2	truthbar	0	4	4	4	multi	0	0.4718	0.0000	0.0000	0.0000	0.0000	4
LOC115931576	ZNF429	DN_NC_073244.2_27956158_2	DN_NC_073244.2_29046961_4	truthbar	0	2	4	2	multi	0	0.7322	0.4924	0.5000	0.0000	0.0000	4
LOC115931576	ZNF43	DN_NC_073244.2_28333451_4	DN_NC_073244.2_29046961_4	truthbar	0	4	4	4	multi	0	0.4085	0.4021	0.7500	0.5000	0.5000	4
LOC115931576	ZNF430	DN_NC_073244.2_27504818_5	DN_NC_073244.2_29046961_4	truthbar	0	5	4	4	multi	0	0.3937	0.5016	0.4000	0.5000	0.4000	4
LOC115931576	ZNF468	DN_NC_073244.2_29046961_4	DN_NC_073244.2_64797239_5	truthbar	0	4	5	4	multi	0	0.2446	0.0000	0.0000	0.0000	0.0000	4
LOC115931576	ZNF486	DN_NC_073244.2_26666712_5	DN_NC_073244.2_29046961_4	truthbar	0	5	4	4	multi	0	0.2227	0.0000	0.8000	0.7500	0.7500	4
LOC115931576	ZNF506	DN_NC_073244.2_26240035_4	DN_NC_073244.2_29046961_4	truthbar	0	4	4	4	multi	0	0.4147	0.5272	0.5000	0.5000	0.5000	4
LOC115931576	ZNF519	DN_NC_073241.2_36126198_2	DN_NC_073244.2_29046961_4	truthbar	0	2	4	2	multi	0	0.2727	0.0000	0.0000	0.0000	0.0000	4
LOC115931576	ZNF595	DN_NC_073227.2_8633418_2	DN_NC_073244.2_29046961_4	truthbar	0	2	4	2	multi	0	0.4860	0.0000	0.0000	0.0000	0.0000	4
LOC115931576	ZNF600	DN_NC_073244.2_29046961_4	DN_NC_073244.2_64724127_4	truthbar	0	4	4	4	multi	0	0.2015	0.0000	0.0000	0.0000	0.0000	4
LOC115931576	ZNF611	DN_NC_073244.2_29046961_4	DN_NC_073244.2_64672255_4	truthbar	0	4	4	4	multi	0	0.1398	0.0000	0.0000	0.0000	0.0000	4
LOC115931576	ZNF626	DN_NC_073244.2_27131194_2	DN_NC_073244.2_29046961_4	truthbar	0	2	4	2	multi	0	0.2924	0.3366	0.0000	0.0000	0.0000	4
LOC115931576	ZNF675	DN_NC_073244.2_29046961_4	DN_NC_073244.2_29970261_4	truthbar	0	4	4	4	multi	0	0.6122	0.9846	0.7500	1.0000	0.7500	4
LOC115931576	ZNF678	DN_NC_073224.2_40627195_4	DN_NC_073244.2_29046961_4	truthbar	0	4	4	4	multi	0	0.3026	0.0000	0.0000	0.0000	0.0000	4
LOC115931576	ZNF680	DN_NC_073230.2_73977205_4	DN_NC_073244.2_29046961_4	truthbar	0	4	4	4	multi	0	0.2747	0.4842	0.5000	0.7500	0.5000	4
LOC115931576	ZNF681	DN_NC_073244.2_29046961_4	DN_NC_073244.2_30067652_4	truthbar	0	4	4	4	multi	0	0.2827	0.7020	1.0000	0.7500	0.7500	4
LOC115931576	ZNF682	DN_NC_073244.2_26470366_4	DN_NC_073244.2_29046961_4	truthbar	0	4	4	4	multi	0	0.2862	0.0000	0.0000	0.0000	0.0000	4
LOC115931576	ZNF695	DN_NC_073224.2_8422960_4	DN_NC_073244.2_29046961_4	truthbar	0	4	4	4	multi	0	0.2309	0.0000	0.0000	0.0000	0.0000	4
LOC115931576	ZNF721	DN_NC_073227.2_9010062_2	DN_NC_073244.2_29046961_4	truthbar	0	2	4	2	multi	0	0.3194	0.0000	0.0000	0.0000	0.0000	4
LOC115931576	ZNF723	DN_NC_073244.2_29046961_4	DN_NC_073244.2_29232445_4	truthbar	0	4	4	4	multi	0	0.3748	0.3877	0.5000	1.0000	0.5000	4
LOC115931576	ZNF727	DN_NC_073230.2_73508332_4	DN_NC_073244.2_29046961_4	truthbar	0	4	4	4	multi	0	0.2121	0.0000	0.0000	0.0000	0.0000	4
LOC115931576	ZNF736	DN_NC_073230.2_73776646_4	DN_NC_073244.2_29046961_4	truthbar	0	4	4	4	multi	0	0.3484	0.0000	0.0000	0.0000	0.0000	4
LOC115931576	ZNF808	DN_NC_073244.2_29046961_4	DN_NC_073244.2_64500861_5	truthbar	0	4	5	4	multi	0	0.1366	0.0000	0.0000	0.0000	0.0000	4
LOC115931576	ZNF813	DN_NC_073244.2_29046961_4	DN_NC_073244.2_65398487_4	truthbar	0	4	4	4	multi	0	0.3022	0.0000	0.0000	0.0000	0.0000	4
LOC115931576	ZNF83	DN_NC_073244.2_29046961_4	DN_NC_073244.2_64585864_4	truthbar	0	4	4	4	multi	0	0.3234	0.0000	0.0000	0.0000	0.0000	4
LOC115931576	ZNF836	DN_NC_073244.2_29046961_4	DN_NC_073244.2_64125568_5	truthbar	0	4	5	4	multi	0	0.2982	0.0000	0.0000	0.0000	0.0000	4
LOC115931576	ZNF91	DN_NC_073244.2_29046961_4	DN_NC_073244.2_29680825_2	genuine	0	4	2	2	multi	0	0.2136	0.3829	0.0000	0.5000	0.0000	4
LOC115931576	ZNF92	DN_NC_073230.2_74637814_2	DN_NC_073244.2_29046961_4	truthbar	0	2	4	2	multi	0	0.4376	0.6689	0.5000	0.2500	0.2500	4
LOC115931590	ZSCAN5B	DN_NC_073244.2_68258639_5	DN_NC_073244.2_68293337_5	TP	1	5	5	5	multi	0	0.4856	0.7030	0.8000	0.8000	0.8000	3
LOC115931610	ZNF177	DN_NC_073244.2_15357025_8	DN_NC_073244.2_15648295_6	truthbar	0	8	6	6	multi	0	0.1362	0.0000	0.0000	0.0000	0.0000	0
LOC115931610	ZNF266	DN_NC_073244.2_15453865_9	DN_NC_073244.2_15648295_6	truthbar	0	9	6	6	multi	0	0.1553	0.0000	0.0000	0.0000	0.0000	0
LOC115931610	ZNF283	DN_NC_073244.2_15648295_6	DN_NC_073244.2_55341363_7	genuine	0	6	7	6	multi	0	0.1761	0.0000	0.0000	0.0000	0.0000	0
LOC115931610	ZNF420	DN_NC_073244.2_15648295_6	DN_NC_073244.2_48242798_5	truthbar	0	6	5	5	multi	0	0.1826	0.0000	0.0000	0.0000	0.0000	0
LOC115931610	ZNF560	DN_NC_073244.2_15508499_10	DN_NC_073244.2_15648295_6	truthbar	0	10	6	6	multi	0	0.1678	0.0000	0.0000	0.0000	0.0000	0
LOC115931610	ZNF571	DN_NC_073244.2_15648295_6	DN_NC_073244.2_49072464_4	truthbar	0	6	4	4	multi	0	0.2399	0.0000	0.0000	0.0000	0.0000	0
LOC115931610	ZNF790	DN_NC_073244.2_15648295_6	DN_NC_073244.2_47997304_5	truthbar	0	6	5	5	multi	0	0.2405	0.0000	0.0000	0.0000	0.0000	0
LOC115931610	ZNF829	DN_NC_073244.2_15648295_6	DN_NC_073244.2_48066692_6	truthbar	0	6	6	6	multi	0	0.2522	0.0000	0.0000	0.0000	0.0000	0
LOC115931654	LOC129527827	DN_NC_073242.2_66613619_4	DN_NC_073244.2_65266359_4	genuine	0	4	4	4	multi	0	0.2038	0.0000	0.0000	0.0000	0.0000	4
LOC115931654	ZNF141	DN_NC_073227.2_8907801_4	DN_NC_073244.2_65266359_4	truthbar	0	4	4	4	multi	0	0.1939	0.0000	0.0000	0.0000	0.0000	4
LOC115931654	ZNF254	DN_NC_073244.2_30438386_2	DN_NC_073244.2_65266359_4	truthbar	0	2	4	2	multi	0	0.1490	0.0000	0.0000	0.0000	0.0000	4
LOC115931654	ZNF267	DN_NC_073242.2_37386128_4	DN_NC_073244.2_65266359_4	truthbar	0	4	4	4	multi	0	0.2832	0.0000	0.0000	0.0000	0.0000	4
LOC115931654	ZNF273	DN_NC_073230.2_74299233_4	DN_NC_073244.2_65266359_4	truthbar	0	4	4	4	multi	0	0.1428	0.0000	0.0000	0.0000	0.0000	4
LOC115931654	ZNF28	DN_NC_073244.2_64759228_5	DN_NC_073244.2_65266359_4	truthbar	0	5	4	4	multi	0	0.1709	0.8885	0.8000	0.7500	0.7500	4
LOC115931654	ZNF347	DN_NC_073244.2_65073171_5	DN_NC_073244.2_65266359_4	truthbar	0	5	4	4	multi	0	0.1478	0.0000	0.0000	0.0000	0.0000	4
LOC115931654	ZNF415	DN_NC_073244.2_65046428_4	DN_NC_073244.2_65266359_4	truthbar	0	3	4	3	multi	0	0.2828	0.0000	0.0000	0.0000	0.0000	4
LOC115931654	ZNF429	DN_NC_073244.2_27956158_2	DN_NC_073244.2_65266359_4	truthbar	0	2	4	2	multi	0	0.1827	0.0000	0.0000	0.0000	0.0000	4
LOC115931654	ZNF430	DN_NC_073244.2_27504818_5	DN_NC_073244.2_65266359_4	truthbar	0	5	4	4	multi	0	0.1761	0.0000	0.0000	0.0000	0.0000	4
LOC115931654	ZNF468	DN_NC_073244.2_64797239_5	DN_NC_073244.2_65266359_4	truthbar	0	5	4	4	multi	0	0.1609	0.9411	0.0000	0.0000	0.0000	4
LOC115931654	ZNF480	DN_NC_073244.2_64265252_5	DN_NC_073244.2_65266359_4	truthbar	0	5	4	4	multi	0	0.2016	0.0000	0.0000	0.0000	0.0000	4
LOC115931654	ZNF528	DN_NC_073244.2_64368633_7	DN_NC_073244.2_65266359_4	truthbar	0	7	4	4	multi	0	0.1934	0.0000	0.0000	0.0000	0.0000	4
LOC115931654	ZNF578	DN_NC_073244.2_64426370_6	DN_NC_073244.2_65266359_4	truthbar	0	6	4	4	multi	0	0.2909	0.0000	0.0000	0.0000	0.0000	4
LOC115931654	ZNF600	DN_NC_073244.2_64724127_4	DN_NC_073244.2_65266359_4	truthbar	0	4	4	4	multi	0	0.2795	0.3970	0.7500	0.5000	0.5000	4
LOC115931654	ZNF611	DN_NC_073244.2_64672255_4	DN_NC_073244.2_65266359_4	truthbar	0	4	4	4	multi	0	0.2502	0.9184	0.0000	0.0000	0.0000	4
LOC115931654	ZNF616	DN_NC_073244.2_64081943_4	DN_NC_073244.2_65266359_4	truthbar	0	4	4	4	multi	0	0.1466	0.0000	0.0000	0.0000	0.0000	4
LOC115931654	ZNF675	DN_NC_073244.2_29970261_4	DN_NC_073244.2_65266359_4	truthbar	0	4	4	4	multi	0	0.1857	0.0000	0.0000	0.0000	0.0000	4
LOC115931654	ZNF680	DN_NC_073230.2_73977205_4	DN_NC_073244.2_65266359_4	truthbar	0	4	4	4	multi	0	0.1782	0.0000	0.0000	0.0000	0.0000	4
LOC115931654	ZNF681	DN_NC_073244.2_30067652_4	DN_NC_073244.2_65266359_4	truthbar	0	4	4	4	multi	0	0.2447	0.0000	0.0000	0.0000	0.0000	4
LOC115931654	ZNF701	DN_NC_073244.2_64543447_4	DN_NC_073244.2_65266359_4	genuine	0	4	4	4	multi	0	0.2190	0.6024	0.2500	0.2500	0.2500	4
LOC115931654	ZNF721	DN_NC_073227.2_9010062_2	DN_NC_073244.2_65266359_4	truthbar	0	2	4	2	multi	0	0.1774	0.0000	0.0000	0.0000	0.0000	4
