family_id	n_genes	genes
FAM566	2	BFAR,LOC101150079
FAM567	2	LOC101144634,LOC115930073
FAM568	2	KDM8,LOC129523519
FAM569	2	LOC101154090,MAP2K4
FAM570	2	CKMT1B,LOC101152129
FAM571	2	LOC101147743,PNMA6A
FAM572	2	GLG1,LOC115933368
FAM573	2	DNAI1,LOC129530372
FAM574	2	DHX40,LOC101126037
FAM575	2	LOC101150369,LOC129530021
FAM576	2	LOC129527637,SNX29
FAM577	2	LOC101140436,LOC115932969
FAM578	2	LOC101132106,LOC134759323
FAM579	2	LOC134757498,NAA60
FAM580	2	LOC101151284,POLR3K
FAM581	2	C4A,C4B
FAM582	2	LOC134757313,PPIP5K1
FAM583	2	LOC101143487,LOC129523491
FAM584	2	LOC129530020,TMEM185A
FAM585	2	GPAT2,LOC129531485
FAM586	2	LOC134759078,MICU2
FAM587	2	PABPC1L2A,PABPC1L2B
FAM588	2	LOC129531718,UBE2D1
FAM589	2	KANSL1,LOC115934629
FAM590	2	LOC109024753,PPP2R5C
FAM591	2	LOC101137069,TAF13
FAM592	2	LOC109023480,RPL11
FAM593	2	LOC129530203,LOC129530354
FAM594	2	LOC134758573,MINDY2
FAM595	2	LOC115936014,TMEM80
FAM596	2	LOC101147473,LOC109023079
FAM597	2	LOC115932829,NLK
FAM598	2	LOC115932683,TUBGCP5
FAM599	2	LOC101147118,LOC115935022
FAM600	2	LOC101143855,LOC115935294
FAM601	2	CCDC196,LOC129526440
FAM602	2	LOC115930134,SNX3
FAM603	2	LOC101147811,PDPK1
FAM604	2	IKBKG,LOC115932121
FAM605	2	LOC109025943,LOC115933730
FAM606	2	LOC101125773,LOC115930451
FAM607	2	EI24,LOC115931433
FAM608	2	LOC101142064,PDZK1
FAM609	2	LOC115931054,PDPR
FAM610	2	ERVV-2,LOC115931655
FAM611	2	GBA1,LOC101127437
FAM612	2	COPS3,LOC109024660
FAM613	2	LOC101142742,LOC129533355
FAM614	2	LOC101147388,SPCS2
FAM615	2	LOC101139746,LOC115936248
FAM616	2	LOC101140827,LOC129532330
FAM617	2	GTSF1,LOC109027668
FAM618	2	FYTTD1,LOC115932385
FAM619	2	LOC101127631,ZNF569
FAM620	2	LOC129527573,LOC129527626
FAM621	2	LOC101143607,ZP3
FAM622	2	CCND1,LOC101144860
FAM623	2	ATP1B3,LOC101143506
FAM624	2	LOC101138121,LOC101141783
FAM625	2	ACP1,LOC101146543
FAM626	2	CD8A,LOC115933449
FAM627	2	LOC101135984,TXNDC11
FAM628	2	CCT6A,LOC129526993
FAM629	2	LOC109025241,PHEX
FAM630	2	FAM114A2,LOC101126949
FAM631	2	LOC109023937,RPL7L1
FAM632	2	LOC101146844,SRM
FAM633	2	LOC101123970,LOC129527614
FAM634	2	CNN2,LOC129524764
FAM635	2	CDK20,LOC101151351
FAM636	2	LOC101141204,LOC115931420
FAM637	2	LOC101147805,SRSF3
FAM638	2	LOC101146213,NAA50
FAM639	2	LGALS7,LOC101145213
FAM640	2	LOC101154057,STRC
FAM641	2	LOC109024909,SENP1
FAM642	2	LOC115935857,OBI1
FAM643	2	LOC115931903,TACC1
FAM644	2	LOC101144910,RBMS2
FAM645	2	LOC129527770,OTOA
FAM646	2	LOC101134272,PTPN2
FAM647	2	LOC109026103,SS18
FAM648	2	FFAR3,LOC101143734
FAM649	2	C17H18orf32,LOC115934570
FAM650	2	AHCTF1,LOC101139146
FAM651	2	LOC101134109,UAP1
FAM652	2	LOC101131460,THOC3
FAM653	2	LOC129525374,MAGI3
FAM654	2	DOC2A,LOC115931070
FAM655	2	LOC101142657,LOC101144974
FAM656	2	LOC129531594,UFM1
FAM657	2	ANP32E,LOC109029066
FAM658	2	LOC115935989,SHLD2
FAM659	2	LOC109025132,LOC129523505
FAM660	2	LOC101124545,LOC129526151
FAM661	2	LOC109024996,RTCA
FAM662	2	CSDE1,LOC134757346
FAM663	2	LOC115932736,PCMTD1
FAM664	2	LOC101133170,SIGLEC5
FAM665	2	IQSEC3,LOC129534322
FAM666	2	EBPL,LOC134757478
FAM667	2	LOC101144260,UBL5
FAM668	2	LOC101154628,LOC115933063
FAM669	2	LIMS1,LOC101146691
FAM670	2	LOC129523874,POU6F2
FAM671	2	LOC101134240,TMEM191C
FAM672	2	LOC101131474,NDUFV2
FAM673	2	FAM133B,LOC115935794
FAM674	2	EP400,LOC101150057
FAM675	2	CCDC3,LOC115935825
FAM676	2	LOC115936297,SINHCAF
FAM677	2	LOC101124995,LOC101132577
FAM678	2	TPRX1,TPRX2
FAM679	2	CGNL1,LOC115935858
FAM680	2	LOC115931857,ZNF519
FAM681	2	LOC115933075,PARG
FAM682	2	LOC101132384,UBQLN4
FAM683	2	LOC101131844,NSUN5
FAM684	2	GPR89A,LOC101128637
FAM685	2	IGFBPL1,LOC115935867
FAM686	2	LOC101131835,LOC115931658
FAM687	2	LOC101126634,RHBDD3
FAM688	2	LOC101144919,LOC115930536
FAM689	2	LOC101147533,SLC25A33
FAM690	2	LOC129525003,RHEB
FAM691	2	EIF4E,LOC101146847
FAM692	2	LOC109023949,PPTC7
FAM693	2	LOC101145348,LOC129523567
FAM694	2	LOC101145974,PYGL
FAM695	2	LOC115933775,LOC134756954
FAM696	2	LOC109025072,RBMS1
FAM697	2	LOC115933269,LOC129532709
FAM698	2	LOC101145021,LOC115936276
FAM699	2	LOC101140776,LOC129534483
FAM700	2	LOC101150651,ZNF706
FAM701	2	LOC115931250,MRPL14
FAM702	2	LOC101152516,MRPL45
FAM703	2	LOC101124208,SDHA
FAM704	2	LOC109024670,PSMA2
FAM705	2	LOC115931973,TOP3B
FAM706	2	LOC101124243,NOM1
FAM707	2	FBXW10,LOC101143828
FAM708	2	HAUS6,LOC101152900
FAM709	2	LOC101133756,TLK2
FAM710	2	BMPR1A,LOC101139693
FAM711	2	LOC101130090,LOC115930167
FAM712	2	CSNK1G2,LOC109025037
FAM713	2	LOC101134308,RNPS1
FAM714	2	LOC101144146,TPI1
FAM715	2	LOC115934923,PRIM2
FAM716	2	LOC109027880,SBDS
FAM717	2	LOC101145825,LOC115931919
FAM718	2	LOC134756766,SMC3
FAM719	2	STEAP1,STEAP1B
FAM720	2	DPY19L1,LOC115935302
FAM721	2	CD9,LOC101134712
FAM722	2	LOC101131776,LOC101133285
FAM723	2	LOC101142138,WTAP
FAM724	2	CAPN15,LOC129527750
FAM725	2	LOC101138975,THAP12
FAM726	2	LOC115930076,TLCD3B
FAM727	2	LOC115933183,SLC9A3
FAM728	2	CNOT6L,LOC101129393
FAM729	2	EEF1G,LOC101137860
FAM730	2	LOC101145965,PSMC6
FAM731	2	LOC101146004,WBP1
FAM732	2	LOC101129257,LOC101129632
FAM733	2	BANF1,LOC101148624
FAM734	2	LOC129534744,RANBP1
FAM735	2	LOC101147604,RPL27A
FAM736	2	LOC101140783,SARNP
FAM737	2	LOC115936241,TYR
FAM738	2	FKBP9,LOC101129903
FAM739	2	KCTD10,LOC115936053
FAM740	2	KNOP1,LOC101127340
FAM741	2	GABPA,LOC109027585
FAM742	2	LOC101154270,RPL6
FAM743	2	HS3ST3A1,LOC101151182
FAM744	2	LOC101152722,LOC115930434
FAM745	2	LOC101135696,LOC101137158
FAM746	2	ARHGAP21,LOC101131829
FAM747	2	LOC101124084,ZNF286A
FAM748	2	FOXM1,LOC115931697
FAM749	2	KIAA2013,LOC101126513
FAM750	2	C1QTNF9,LOC115930440
FAM751	2	LOC101130977,MED27
FAM752	2	LOC101151730,LOC115936258
FAM753	2	LOC101143893,LOC115931927
FAM754	2	CRIPTO,CRIPTO3
FAM755	2	LOC115932953,RPS23
FAM756	2	BCL2L12,LOC101152959
FAM757	2	LOC101133271,LOC101141937
FAM758	2	LOC101146307,LOC115930142
FAM759	2	LOC109026962,SIMC1
FAM760	2	HIKESHI,LOC115932917
FAM761	2	LOC101146782,LOC115932680
FAM762	2	LOC115936007,STK39
FAM763	2	ACSM2A,LOC101149481
FAM764	2	LOC101129445,SH2B2
FAM765	2	LOC101125429,RTN3
FAM766	2	LOC101140067,NRBF2
FAM767	2	LOC101127388,LOC101129681
FAM768	2	CD160,LOC101140560
FAM769	2	LOC101153458,OXR1
FAM770	2	LOC101125479,ZXDB
FAM771	2	KAT7,LOC101151345
FAM772	2	LOC101136473,SORD
FAM773	2	LOC115934006,SZRD1
FAM774	2	ANXA2,LOC101145465
FAM775	2	C6H7orf50,LOC101123674
FAM776	2	LOC101124665,NANOG
FAM777	2	LOC101131416,LOC115930154
FAM778	2	GRM5,LOC115936224
FAM779	2	LOC101130608,UBE2M
FAM780	2	LOC101137479,LOC129523724
FAM781	2	LOC101127726,LOC101128089
FAM782	2	IGFL3,USP12
FAM783	2	ANG,RNASE4
FAM784	2	LOC101134978,LOC109026312
FAM785	2	FANCD2,LOC134757968
FAM786	2	EIF2S3,EIF2S3B
FAM787	2	ELF2,LOC115933780
FAM788	2	LOC101141171,NUDT10
FAM789	2	IL32,LOC101134447
FAM790	2	LOC101137639,RPS25
FAM791	2	DEFB130B,LOC115934310
FAM792	2	LOC101133314,LOC129524744
FAM793	2	LOC101126070,LOC129534728
FAM794	2	GPAT4,LOC134758102
FAM795	2	LOC101128917,RPL4
FAM796	2	ADGRA3,LOC129528335
FAM797	2	LOC101132580,UBE2E3
FAM798	2	CS,LOC101124592
FAM799	2	LOC101128035,TOP1
FAM800	2	FAM246A,LOC101133898
FAM801	2	CHCHD3,LOC101135100
FAM802	2	LOC129525975,TBX20
FAM803	2	LOC101150279,LOC115935031
FAM804	2	LOC101141881,TMEM167A
FAM805	2	LOC101143340,POLRMT
FAM806	2	GJA1,LOC101126521
FAM807	2	LOC101127636,LOC115930424
FAM808	2	ZNF324,ZNF324B
FAM809	2	LOC101143448,LOC109023174
FAM810	2	LOC129530405,PSMA6
FAM811	2	CA5A,LOC115931101
FAM812	2	ATP2A3,LOC115932652
FAM813	2	LOC101124269,PDIA3
FAM814	2	LOC101141792,SDHD
FAM815	2	LOC101129996,MORF4L1
FAM816	2	LOC101138893,RBM7
FAM817	2	LOC101132327,TMEM69
FAM818	2	LOC101133443,TBCA
FAM819	2	LOC101136905,SFTPA1
FAM820	2	DOK7,LOC115934290
FAM821	2	METTL2A,METTL2B
FAM822	2	OPN1LW,OPN1MW3
FAM823	2	LOC129532220,TOMM40
FAM824	2	LOC101143621,STEEP1
FAM825	2	LOC101128506,SRD5A1
FAM826	2	LOC129527054,OCA2
FAM827	2	BMP8B,LOC101149312
FAM828	2	LOC129526135,PARP4
FAM829	2	BRCC3,LOC101140265
FAM830	2	KRBOX4,ZNF674
FAM831	2	LOC101142549,LOC115935845
FAM832	2	FUNDC2,LOC101132182
FAM833	2	RPE,RPEL1
FAM834	2	LOC101130550,YWHAZ
FAM835	2	LOC101133989,NHP2
FAM836	2	CASTOR2,CASTOR3P
FAM837	2	LOC109023850,LOC109027415
FAM838	2	LOC129531638,MRPL36
FAM839	2	DNAJC19,LOC101124312
FAM840	2	LOC101132823,MRPS18C
FAM841	2	GNG10,LOC109023336
FAM842	2	LOC101134642,LOC101148384
FAM843	2	C9H11orf58,LOC101148636
FAM844	2	LOC101136944,TARDBP
FAM845	2	LANCL3,LOC115932055
FAM846	2	ACER2,LOC101139980
FAM847	2	DCK,LOC109028486
FAM848	2	LOC115935771,ZNF598
FAM849	2	EFCAB3,HILPDA
FAM850	2	LOC101135657,VWF
FAM851	2	LOC101137143,LOC115930425
FAM852	2	CEL,LOC101125608
FAM853	2	HSPB1,LOC101133686
FAM854	2	NLGN4X,NLGN4Y
FAM855	2	LOC101152998,LYPLA2
FAM856	2	LOC101147293,LOC109025979
FAM857	2	GLTP,LOC129525466
FAM858	2	BDH2,LOC101129796
FAM859	2	LOC101134521,LOC101146566
FAM860	2	TAF1,TAF1L
FAM861	2	LOC101126173,NFE2L3
FAM862	2	LOC115935567,SRRM1
FAM863	2	LOC101140122,LOC115930237
FAM864	2	DNAJC9,LOC129529204
FAM865	2	FGF7,LOC129526430
FAM866	2	LOC115931720,UBE2D3
FAM867	2	HNRNPA3,LOC109029309
FAM868	2	LOC101150759,LOC101151126
FAM869	2	BCAP31,LOC115933460
FAM870	2	LOC101129624,NME2
FAM871	2	LOC101140244,MAGOHB
FAM872	2	POM121,POM121C
FAM873	2	LOC101127525,LOC129530427
FAM874	2	HSP90AA1,LOC115936257
FAM875	2	GLUD1,GLUD2
FAM876	2	LOC109026809,PPA1
FAM877	2	LOC101147312,MTHFD2
FAM878	2	CSAG1,LOC129529977
FAM879	2	LOC129530131,SLC25A53
FAM880	2	LOC115930581,OXCT2
FAM881	2	LOC101147790,SUCLG2
FAM882	2	CLK2,LOC101128723
FAM883	2	COPS8,LOC101129256
FAM884	2	ARL16,LOC109028384
FAM885	2	LOC101140932,TTC3
FAM886	2	LOC101142418,LOC115930159
FAM887	2	DLST,LOC101140310
FAM888	2	LOC101147670,PROS1
FAM889	2	LOC101126086,NOL11
FAM890	2	LOC101152395,LOC134757673
FAM891	2	LOC101129337,LYZL2
FAM892	2	LOC101131842,LOC101141519
FAM893	2	PLG,PLGLB2
FAM894	2	LOC101128800,NDUFB4
FAM895	2	ATP5F1E,LOC109029312
FAM896	2	LOC101124818,TXN
FAM897	2	LOC101129219,ZNF33B
FAM898	2	EMB,LOC101152936
FAM899	2	LOC101139802,LOC115931453
FAM900	2	LOC101148528,SAXO2
FAM901	2	EEF1D,LOC101131825
FAM902	2	UBE2L3,UBE2L5
FAM903	2	EVPL,EVPLL
FAM904	2	BTF3L4,LOC109024441
FAM905	2	LOC101141269,PSME2
FAM906	2	LOC109024802,VCF2
FAM907	2	LOC115930786,YBX1
FAM908	2	LOC101129414,TOMM7
FAM909	2	C3H4orf46,LOC129527464
FAM910	2	LOC101139707,WASF2
FAM911	2	LOC109024694,LOC115935285
FAM912	2	ATF4,LOC101153927
FAM913	2	LOC101141682,LOC101142067
FAM914	2	LOC101143179,LOC115930191
FAM915	2	LOC129528509,LYRM2
FAM916	2	LOC101137046,LOC101137406
FAM917	2	ATP5MK,LOC101130654
FAM918	2	FAM120A,FAM120A2P
FAM919	2	LOC101143859,XPOT
FAM920	2	HSPA9,LOC101152106
FAM921	2	LOC101124517,LOC101128530
FAM922	2	LOC101127338,LOC101133375
FAM923	2	LOC101146140,RAB42
FAM924	2	ANTXRL,LOC115936025
FAM925	2	LOC101142908,SKA2
FAM926	2	IDS,LOC101149182
FAM927	2	LOC101139714,UBE2N
FAM928	2	LOC115934005,LOC115935305
FAM929	2	COIL,LOC101131861
FAM930	2	LOC129529357,RIMKLB
FAM931	2	LOC101140568,LOC115936186
FAM932	2	LOC101127655,MRRF
FAM933	2	OBP2A,OBP2B
FAM934	2	CARD16,LOC101136563
FAM935	2	LOC129526805,LOC129527394
FAM936	2	CDC14B,LOC101139443
FAM937	2	ZNF181,ZNF302
FAM938	2	TRIM50,TRIM73
FAM939	2	LOC109028196,ORM1
FAM940	2	FTL,LOC101130393
FAM941	2	LOC101133567,RAB1B
FAM942	2	LOC109024534,LOC109024599
FAM943	2	CROCC,LOC129533277
FAM944	2	LOC101153488,RABL6
FAM945	2	LOC129526788,SF3B4
FAM946	2	LOC101148118,LOC115936313
FAM947	2	LDHA,LOC101148215
FAM948	2	LOC101126392,PSME3IP1
FAM949	2	LOC101126920,LOC101127657
FAM950	2	AP2B1,LOC101146197
FAM951	2	CDC20,LOC129524502
FAM952	2	LOC101139737,LOC101140821
FAM953	2	ATG12,LOC101138073
FAM954	2	ARF4,LOC129524725
FAM955	2	COMMD4,LOC101147924
FAM956	2	LOC101149594,MANBAL
FAM957	2	GABARAPL1,LOC101126737
FAM958	2	KIF4A,KIF4B
FAM959	2	IFT70A,IFT70B
FAM960	2	LOC101130893,PVRIG
FAM961	2	LOC134756504,UNC93B1
FAM962	2	CBX1,LOC101127285
FAM963	2	AQP7,LOC129526160
FAM964	2	CBX3,LOC101140430
FAM965	2	LOC101147941,SNRNP27
FAM966	2	LOC101144027,RNF4
FAM967	2	IGF2BP2,LOC101133227
FAM968	2	LOC101145660,WHAMM
FAM969	2	LOC101129642,REXO4
FAM970	2	LOC101145794,UFD1
FAM971	2	LOC101126856,U2AF1
FAM972	2	GLRX,LOC101152153
FAM973	2	LOC101146765,NASP
FAM974	2	FRMD8,LOC101135088
FAM975	2	LOC115933127,LOC115933240
FAM976	2	LOC109026053,WDR82
FAM977	2	ENTR1,LOC101126524
FAM978	2	LOC101128125,RPF2
FAM979	2	CLCNKB,LOC101135098
FAM980	2	DDX19A,DDX19B
FAM981	2	PABPC1,PABPC3
FAM982	2	SP140,SP140L
FAM983	2	LOC129529112,LOC129529113
FAM984	2	LOC101149330,LOC109028795
FAM985	2	LOC101127384,LOC101146638
FAM986	2	HNRNPK,LOC101153715
FAM987	2	AURKA,LOC109028275
FAM988	2	HBZ,LOC129527462
FAM989	2	LOC101130789,NICN1
FAM990	2	GTF2IRD1,LOC115935377
FAM991	2	PRDM7,PRDM9
FAM992	2	LOC101125582,LOC101153372
FAM993	2	LOC129534503,RPS5
FAM994	2	FKBP1A,FKBP1C
FAM995	2	LOC109024598,YES1
FAM996	2	EIF3L,LOC101139966
FAM997	2	CCDC59,LOC101127867
FAM998	2	INIP,LOC129533141
FAM999	2	LOC101152913,NDUFA5
FAM1000	2	CCL15,CCL23
FAM1001	2	LOC134758050,NDUFB1
FAM1002	2	LOC101147097,LOC101148582
FAM1003	2	LOC101138400,LOC101139491
FAM1004	2	LOC101130064,LOC115930307
FAM1005	2	LOC101140733,LOC129524322
FAM1006	2	LOC101136593,PSAT1
FAM1007	2	LOC101141573,RPL19
FAM1008	2	LOC101136918,SEC61B
FAM1009	2	LOC115935792,NDUFAF8
FAM1010	2	CR1,CR1L
FAM1011	2	LAIR1,LAIR2
FAM1012	2	LOC109029045,NOP10
FAM1013	2	LEFTY2,LOC101130441
FAM1014	2	LOC101134917,LOC101141122
FAM1015	2	LOC101132707,PPP1R11
FAM1016	2	CTDNEP1,LOC129527962
FAM1017	2	LOC101149512,LOC101149865
FAM1018	2	LOC101153866,SEC11A
FAM1019	2	LOC101124919,RPS19
FAM1020	2	LOC101152063,UBE2H
FAM1021	2	LOC101139256,TOMM20
FAM1022	2	LOC129530428,MXRA5
FAM1023	2	LOC101136183,LOC101136556
FAM1024	2	CES5A,LOC101136153
FAM1025	2	ATP6V1F,LOC109029005
FAM1026	2	LOC101135493,TMT1A
FAM1027	2	LOC101141667,RMND1
FAM1028	2	BMP2K,LOC101139456
FAM1029	2	LOC115934326,VTI1B
FAM1030	2	LOC101127866,LOC129523562
FAM1031	2	MAGEB6,MAGEB6B
FAM1032	2	ADSS2,LOC134758419
FAM1033	2	KCTD1,LOC101153641
FAM1034	2	COMMD5,LOC109026471
FAM1035	2	BEX1,BEX2
FAM1036	2	LOC129523694,PSPH
FAM1037	2	LOC101146625,NDUFS5
FAM1038	2	LOC101132452,LOC134756540
FAM1039	2	LOC101139066,TREML4
FAM1040	2	LOC101143138,LOC101145971
FAM1041	2	LOC115930813,SYNGR2
FAM1042	2	DHFR,DHFR2
FAM1043	2	HPS1,LOC101149521
FAM1044	2	LOC101149853,SMIM11
FAM1045	2	EFL1,LOC115930794
FAM1046	2	ASB9,LOC101141853
FAM1047	2	CLDN24,LOC101150195
FAM1048	2	HSP90B1,LOC101143886
FAM1049	2	LOC101140742,MSX2
FAM1050	2	GMCL1,GMCL2
FAM1051	2	LOC129534111,RBBP4
FAM1052	2	LOC101125991,SPRR1B
FAM1053	2	LOC109023796,TOMM5
FAM1054	2	HINT1,LOC101124007
FAM1055	2	LOC101135147,PDLIM1
FAM1056	2	BET1,LOC101145336
FAM1057	2	UTP14A,UTP14C
FAM1058	2	CPHXL,CPHXL2
FAM1059	2	LOC101152662,RPS9
FAM1060	2	LOC101151524,NSA2
FAM1061	2	LOC115936470,LOC129523501
FAM1062	2	HTN1,HTN3
FAM1063	2	PAGE2B,PAGE5
FAM1064	2	LOC109027182,PRAC2
FAM1065	2	ID2,LOC101142351
FAM1066	2	LOC101148899,LOC115934363
FAM1067	2	LOC109028664,LOC115936044
FAM1068	2	BTN2A1,BTN2A2
FAM1069	2	FCGR2A,FCGR2B
FAM1070	2	PF4,PF4V1
FAM1071	2	TEX48,TEX53
FAM1072	2	IMPDH1,LOC109024945
FAM1073	2	LOC101143399,LOC101153053
FAM1074	2	LOC101133830,NAT8
FAM1075	2	LOC115935615,TNFRSF10D
FAM1076	2	TRAPPC2,TRAPPC2B
FAM1077	2	CDC42,LOC101128843
FAM1078	2	LOC129529830,YWHAQ
FAM1079	2	ZFX,ZFY
FAM1080	2	LGMN,LOC101150415
FAM1081	2	LOC101146005,ZNF532
FAM1082	2	GPS2,LOC101141051
FAM1083	2	C4H5orf15,LOC101151118
FAM1084	2	ANP32A,ANP32D
FAM1085	2	ARHGAP42,LOC101145879
FAM1086	2	AARSD1,LOC134757996
FAM1087	2	ELOB,LOC101124898
FAM1088	2	LOC101145885,LOC101146232
FAM1089	2	LOC101133995,LOC109027175
FAM1090	2	LOC101152793,SLC10A5
FAM1091	2	LOC101129658,LOC101132030
FAM1092	2	LOC101126816,LOC101128286
FAM1093	2	LOC101127580,PABPC4
FAM1094	2	LOC101126219,PTP4A1
FAM1095	2	DIS3L2,LOC129532103
FAM1096	2	LOC109024444,MTRES1
FAM1097	2	LOC134756614,PLAC9
FAM1098	2	LOC101135980,LOC101140249
FAM1099	2	LOC101134318,TAF4B
FAM1100	2	LOC101126757,LOC101154313
FAM1101	2	LOC129530250,RPS4Y1
FAM1102	2	LOC109025842,XIAP
FAM1103	2	LOC101128863,PSMC3
FAM1104	2	LOC101138909,LOC101143194
FAM1105	2	LOC101140964,LOC101143529
FAM1106	2	LOC129525757,RPL14
FAM1107	2	FAM151A,LOC101142104
FAM1108	2	FOXC1,FOXC2
FAM1109	2	CD300A,CD300C
FAM1110	2	LOC109024584,SLC25A5
FAM1111	2	LOC101141336,LOC101145016
FAM1112	2	MCTS1,MCTS2
FAM1113	2	LOC101135450,MRPL32
FAM1114	2	LOC101146101,MRPS21
FAM1115	2	LOC101150533,MSL3
FAM1116	2	LOC101130048,LOC101137272
FAM1117	2	AMELX,AMELY
FAM1118	2	GOLGA7,LOC101146184
FAM1119	2	LOC134759130,SELENOW
FAM1120	2	LOC129526612,QRSL1
FAM1121	2	CLIC1,LOC109029052
FAM1122	2	LOC101135135,RALA
FAM1123	2	LAPTM4B,LOC101135945
FAM1124	2	LOC101153956,YME1L1
FAM1125	2	LOC101144761,MPEG1
FAM1126	2	CD200R1,CD200R1L
FAM1127	2	GSTO1,LOC101143444
FAM1128	2	LOC129523713,RPL23
FAM1129	2	ANAPC15,LOC101137381
FAM1130	2	LOC101141419,LOC101147616
FAM1131	2	LOC101148010,SKP1
FAM1132	2	LOC101149837,LSM3
FAM1133	2	ZKSCAN3,ZKSCAN4
FAM1134	2	LOC101131374,LOC129530050
FAM1135	2	LOC129523882,RNASET2
FAM1136	2	ZNF354A,ZNF354B
FAM1137	2	LOC101133699,NUTF2
FAM1138	2	ACOT7,LOC101140727
FAM1139	2	LOC109023156,LOC115930559
FAM1140	2	LOC101124072,SAR1A
FAM1141	2	LOC101147843,PFDN4
FAM1142	2	CISD1,LOC101123796
FAM1143	2	LOC101126932,LOC101127306
FAM1144	2	LOC101153429,NIFK
FAM1145	2	ATP6V0C,LOC101141284
FAM1146	2	LOC115934993,RPL30
FAM1147	2	LOC101141666,SMIM10L3
FAM1148	2	LOC101123789,LOC101154372
FAM1149	2	LOC101143535,LOC101144282
FAM1150	2	CD33,LOC101129556
FAM1151	2	PTTG1,PTTG2
FAM1152	2	PRPS1,PRPS1L1
FAM1153	2	LOC134756438,PEPD
FAM1154	2	LOC101138661,NOP56
FAM1155	2	LOC134758424,MRPL50
FAM1156	2	KBTBD6,LOC101123709
FAM1157	2	PMM2,SYN3
FAM1158	2	LOC101141984,LOC101143084
FAM1159	2	LOC101135599,REG3G
FAM1160	2	LOC109024695,MCRIP2
FAM1161	2	NLRP2,NLRP7
FAM1162	2	LOC101133653,LOC129533605
FAM1163	2	DCAF12L1,DCAF12L2
FAM1164	2	LOC101133757,RBMX2
FAM1165	2	LOC101131103,LOC109027173
FAM1166	2	LIN28A,LOC101145031
FAM1167	2	LOC101131388,LOC115935981
FAM1168	2	LOC129524526,LOC134756920
FAM1169	2	LOC101139396,UBE2C
FAM1170	2	LOC129526169,LOC129529709
FAM1171	2	APOC1,LOC109024151
FAM1172	2	RNASE7,RNASE8
FAM1173	2	LOC101141032,LOC115931556
FAM1174	2	FOXA1,FOXA2
FAM1175	2	CALM2,LOC101140627
FAM1176	2	KDM6A,UTY
FAM1177	2	LOC129523547,SOCS5
FAM1178	2	LOC101131700,LOC101137977
FAM1179	2	TCEAL2,TCEAL4
FAM1180	2	IGBP1,IGBP1C
FAM1181	2	KRT19,LOC101154396
FAM1182	2	ECEL1,LOC115933790
FAM1183	2	LOC109028279,PFDN5
FAM1184	2	LOC109024826,SAP18
FAM1185	2	LOC129533706,SRP14
FAM1186	2	LOC101132797,LOC101133169
FAM1187	2	LOC101143668,ZBTB45
FAM1188	2	IL9R,LOC101126682
FAM1189	2	LOC101151107,NIPSNAP3A
FAM1190	2	LOC101133052,LOC101134815
FAM1191	2	LOC129532203,TMSB10
FAM1192	2	LOC101140564,LOC101140958
FAM1193	2	LOC101136052,LOC101138267
FAM1194	2	BOLA2B,LOC101148781
FAM1195	2	CALCA,CALCB
FAM1196	2	LOC101133656,LOC101136730
FAM1197	2	LOC101144397,ZNF75D
FAM1198	2	LOC101143714,SLFN11
FAM1199	2	LOC101150373,LOC101153273
FAM1200	2	LOC109026643,ZBTB8OS
FAM1201	2	ZNF747,ZNF764
FAM1202	2	INO80C,MYORG
FAM1203	2	ZCCHC12,ZCCHC18
FAM1204	2	KCTD5,LOC129532010
FAM1205	2	LOC129525761,OOSP4B
FAM1206	2	LOC109024475,LOC129529329
FAM1207	2	LOC101146797,LOC101150037
FAM1208	2	GSPT1,GSPT2
FAM1209	2	TEX13A,TEX13B
FAM1210	2	BOD1,BOD1L2
FAM1211	2	REG1A,REG1B
FAM1212	2	USP9X,USP9Y
FAM1213	2	C4H5orf63,LOC129525260
FAM1214	2	LOC129534528,LOC129534535
FAM1215	2	TLR1,TLR6
FAM1216	2	ZNF280A,ZNF280B
FAM1217	2	FAM32A,LOC129529551
FAM1218	2	LOC129526082,LOC129527880
FAM1219	2	SEC14L4,SEC14L6
FAM1220	2	GUSB,LOC101131481
FAM1221	2	LOC101136154,LRP5
FAM1222	2	LOC101153990,TLE1
FAM1223	2	DCAF8L1,DCAF8L2
FAM1224	2	ATP5PD,LOC101141427
FAM1225	2	TEX13C,TEX13D
FAM1226	2	LOC101152116,LOC109023100
FAM1227	2	LOC109024667,SHISA5
FAM1228	2	LOC129526750,SCOC
FAM1229	2	LOC101132438,LOC109024713
FAM1230	2	C15H14orf119,LOC101135331
FAM1231	2	LOC101128930,LOC101134686
FAM1232	2	LOC101127712,LOC129529069
FAM1233	2	CFAP144,LOC101143746
FAM1234	2	CHCHD2,LOC101142162
FAM1235	2	PNMA6E,PNMA6F
FAM1236	2	ZNF264,ZNF805
FAM1237	2	LOC101140208,LOC101141448
FAM1238	2	CXCR1,CXCR2
FAM1239	2	ATP6V0E1,LOC109026064
FAM1240	2	LOC129532155,SNAI1
FAM1241	2	LOC101135385,LOC101151536
FAM1242	2	DDX3X,DDX3Y
FAM1243	2	AKR1C8,LOC101152195
FAM1244	2	RTP1,RTP2
FAM1245	2	GOLGA2,LOC101140842
FAM1246	2	DPPA3,LOC101137799
FAM1247	2	EIF3I,LOC101138601
FAM1248	2	DSTN,LOC101126376
FAM1249	2	LOC101146866,SH3BGRL3
FAM1250	2	LOC101137052,LOC101137409
