gene_a	gene_b	class	cls	core	aln_frac	all_isoform_alnfrac	gga_score	exon_hom	junc_conc	shared_path	n_exon_match	n_iso_a	n_iso_b
LOC101151317	ZNF266	genuine-FP	genuine	0.2071	0.0000	1.0000	0.3087	0.5974	0.0000	0.0400	6	16	8
LOC101151317	ZNF283	genuine-FP	genuine	0.3222	0.0000	1.0000	0.2656	0.3413	0.3000	0.0800	8	16	13
LOC101151317	ZNF30	genuine-FP	genuine	0.2621	0.0000	1.0000	0.2740	0.4579	0.1000	0.0800	7	16	10
LOC101151317	ZNF329	genuine-FP	genuine	0.3950	0.0000	0.0000	0.0294	0.0133	0.0000	0.0909	4	16	3
LOC101151317	ZNF331	genuine-FP	genuine	0.2344	0.0000	1.0000	0.3309	0.5718	0.1000	0.0800	11	16	11
LOC101151317	ZNF420	genuine-FP	genuine	0.3381	0.0000	1.0000	0.3191	0.3982	0.4000	0.0800	10	16	15
LOC101151317	ZNF461	genuine-FP	genuine	0.1528	0.0000	1.0000	0.3649	0.4897	0.4000	0.0800	11	16	11
LOC101151317	ZNF471	genuine-FP	genuine	0.1477	0.0000	1.0000	0.0554	0.0909	0.0000	0.0400	2	16	8
LOC101151317	ZNF529	genuine-FP	genuine	0.2772	0.0000	1.0000	0.2925	0.5649	0.0000	0.0400	9	16	8
LOC101151317	ZNF540	genuine-FP	genuine	0.2059	0.0000	1.0000	0.1015	0.1781	0.0000	0.0500	2	16	5
LOC101151317	ZNF546	genuine-FP	genuine	0.3240	0.0000	1.0000	0.1966	0.3032	0.1000	0.0800	7	16	12
LOC101151317	ZNF565	genuine-FP	genuine	0.3705	0.0000	1.0000	0.3228	0.3555	0.5000	0.0800	9	16	18
LOC101151317	ZNF566	genuine-FP	genuine	0.2331	0.0000	1.0000	0.1941	0.3683	0.0000	0.0400	6	16	8
LOC101151317	ZNF571	genuine-FP	genuine	0.3895	0.0000	1.0000	0.0650	0.1100	0.0000	0.0400	1	16	9
LOC101151317	ZNF573	genuine-FP	genuine	0.4392	0.0000	1.0000	0.1063	0.1927	0.0000	0.0400	3	16	10
LOC101151317	ZNF582	genuine-FP	genuine	0.2732	0.0000	1.0000	0.1372	0.2545	0.0000	0.0400	2	16	8
LOC101151317	ZNF583	genuine-FP	genuine	0.2081	0.0000	0.3583	0.0000	0.0000	0.0000	0.0000	0	16	8
LOC101151317	ZNF607	genuine-FP	genuine	0.2373	0.0000	1.0000	0.0925	0.1651	0.0000	0.0400	5	16	8
LOC101151317	ZNF665	genuine-FP	genuine	0.5012	0.0000	1.0000	0.0683	0.1166	0.0000	0.0400	1	16	8
LOC101151317	ZNF780A	genuine-FP	genuine	0.1971	0.0000	1.0000	0.0821	0.1442	0.0000	0.0400	1	16	8
LOC101151317	ZNF780B	genuine-FP	genuine	0.3057	0.0000	1.0000	0.0697	0.1193	0.0000	0.0400	2	16	7
LOC101151317	ZNF790	genuine-FP	genuine	0.3946	0.0000	1.0000	0.0747	0.1294	0.0000	0.0400	2	16	14
LOC101151317	ZNF829	genuine-FP	genuine	0.2685	0.0000	0.3583	0.0000	0.0000	0.0000	0.0000	0	16	11
LOC101151318	LOC109027180	genuine-FP	genuine	0.1567	0.0000	0.0000	0.1489	0.1729	0.0000	0.2500	3	1	8
LOC101151343	LOC101153153	truthbar-FP	truthbar	0.2689	0.9351	0.9351	0.8967	0.9274	0.8571	0.8750	7	1	1
LOC101151343	LOC129529923	truthbar-FP	truthbar	0.2518	0.8781	0.8781	0.8674	0.8687	0.8571	0.8750	7	1	1
LOC101151892	LOC115931567	genuine-FP	genuine	0.1469	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	6	38
LOC101151892	ZNF429	genuine-FP	genuine	0.1845	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	6	36
LOC101151892	ZNF595	genuine-FP	genuine	0.1502	0.5390	1.0000	0.0000	0.0000	0.0000	0.0000	0	6	46
LOC101151892	ZNF675	genuine-FP	genuine	0.1826	0.0000	0.9470	0.0000	0.0000	0.0000	0.0000	0	6	20
LOC101151892	ZNF723	genuine-FP	genuine	0.1585	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	6	14
LOC101151892	ZNF92	genuine-FP	genuine	0.1392	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	6	40
LOC101152035	LOC101153366	TP	TP	0.5764	0.9079	1.0000	0.8228	1.0000	0.9412	0.3500	21	6	4
LOC101152035	LOC109027180	TP	TP	0.6239	0.8769	1.0000	0.8306	1.0000	0.9333	0.3889	21	6	8
LOC101152062	MAGEB1	truthbar-FP	truthbar	0.3028	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	4	8
LOC101152062	MAGEB3	truthbar-FP	truthbar	0.3114	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	4	3
LOC101152401	LOC101153126	truthbar-FP	truthbar	0.2414	0.0000	1.0000	0.3207	0.4611		0.0400	10	25	32
LOC101152401	LOC101153131	truthbar-FP	truthbar	0.1846	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	25	24
LOC101152401	LOC109024216	truthbar-FP	truthbar	0.2181	0.1144	1.0000	0.4357	0.6336		0.0400	15	25	37
LOC101152401	LOC115931567	genuine-FP	genuine	0.1732	0.0000	1.0000	0.0000	0.0000		0.0000	0	25	38
LOC101152401	LOC115931568	truthbar-FP	truthbar	0.2846	0.0000	1.0000	0.0000	0.0000		0.0000	0	25	32
LOC101152401	LOC115931576	truthbar-FP	truthbar	0.2251	0.0000	1.0000	0.0000	0.0000		0.0000	0	25	29
LOC101152401	LOC115931654	truthbar-FP	truthbar	0.2176	0.1144	1.0000	0.3853	0.5580		0.0400	13	25	32
LOC101152401	ZNF273	truthbar-FP	truthbar	0.2436	0.0000	1.0000	0.0000	0.0000		0.0000	0	25	35
LOC101152401	ZNF28	truthbar-FP	truthbar	0.2240	0.2818	1.0000	0.3295	0.6391	0.0000	0.0400	15	25	23
LOC101152401	ZNF415	truthbar-FP	truthbar	0.3723	0.0000	1.0000	0.3520	0.5080		0.0400	12	25	33
LOC101152401	ZNF43	truthbar-FP	truthbar	0.1612	0.0000	1.0000	0.0000	0.0000		0.0000	0	25	26
LOC101152401	ZNF468	truthbar-FP	truthbar	0.2298	0.3994	1.0000	0.4358	0.6337		0.0400	15	25	25
LOC101152401	ZNF480	truthbar-FP	truthbar	0.1464	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	25	18
LOC101152401	ZNF519	truthbar-FP	truthbar	0.2310	0.0000	1.0000	0.0000	0.0000		0.0000	0	25	36
LOC101152401	ZNF600	truthbar-FP	truthbar	0.2257	0.2765	1.0000	0.0000	0.0000	0.0000	0.0000	0	25	23
LOC101152401	ZNF611	truthbar-FP	truthbar	0.1325	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	25	19
LOC101152401	ZNF675	truthbar-FP	truthbar	0.4155	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	25	20
LOC101152401	ZNF701	truthbar-FP	truthbar	0.1691	0.0000	1.0000	0.0111	0.0023	0.0000	0.0400	1	25	15
LOC101152401	ZNF721	truthbar-FP	truthbar	0.1498	0.0000	1.0000	0.0000	0.0000		0.0000	0	25	46
LOC101152401	ZNF736	truthbar-FP	truthbar	0.1845	0.0000	1.0000	0.0000	0.0000		0.0000	0	25	30
LOC101152401	ZNF761	truthbar-FP	truthbar	0.1958	0.3622	1.0000	0.0163	0.0127	0.0000	0.0400	10	25	8
LOC101152401	ZNF766	truthbar-FP	truthbar	0.2754	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	25	16
LOC101152401	ZNF808	truthbar-FP	truthbar	0.2176	0.2453	1.0000	0.0000	0.0000	0.0000	0.0000	0	25	20
LOC101152401	ZNF813	truthbar-FP	truthbar	0.1396	0.4838	1.0000	0.0147	0.0094	0.0000	0.0400	5	25	8
LOC101152401	ZNF83	truthbar-FP	truthbar	0.2104	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	25	19
LOC101152401	ZNF836	truthbar-FP	truthbar	0.2987	0.0000	1.0000	0.0000	0.0000		0.0000	0	25	25
LOC101152401	ZNF841	truthbar-FP	truthbar	0.2199	0.0000	1.0000	0.0000	0.0000		0.0000	0	25	25
LOC101152401	ZNF91	genuine-FP	genuine	0.2419	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	25	25
LOC101152610	LOC129527660	genuine-FP	genuine	0.2518	0.9396	1.0000	0.3122	0.2770	0.4091	0.2857	12	3	3
LOC101152665	SPIN1	truthbar-FP	truthbar	0.5207	0.0000	1.0000	0.0429	0.0303	0.0000	0.1111	1	4	8
LOC101152665	SPIN3	truthbar-FP	truthbar	0.6178	0.0000	1.0000	0.5404	0.8379	0.2000	0.2857	4	4	6
LOC101152741	LOC109027124	genuine-FP	genuine	0.1339	0.4035	0.4035	0.0000	0.0000	0.0000	0.0000	0	1	5
LOC101152741	MPHOSPH8	genuine-FP	genuine	0.1704	0.0000	0.2034	0.5143	0.8620	0.0000	0.3333	1	1	8
LOC101152843	SUGT1	genuine-FP	genuine	0.2250	0.0000	0.0000	0.6250	1.0000	0.0000	0.5000	2	1	4
LOC101152938	LOC115934341	truthbar-FP	truthbar	0.3030	0.9326	1.0000	0.5344	0.9102	0.0952	0.2222	6	5	3
LOC101152972	LOC115931074	truthbar-FP	truthbar	0.3711	0.6301	0.9957	0.8100	0.9199	0.7333	0.6667	13	2	2
LOC101152972	LOC129527053	TP	TP	0.5334	0.9621	1.0000	0.6973	0.8946	0.6000	0.4000	12	2	3
LOC101152972	RHPN2	TP	TP	0.4869	0.9774	0.9774	0.8740	0.8860	0.8571	0.8667	13	2	2
LOC101153126	LOC101153131	truthbar-FP	truthbar	0.3764	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	32	24
LOC101153126	LOC109024216	truthbar-FP	truthbar	0.2891	0.0000	1.0000	0.2392	0.3388		0.0400	8	32	37
LOC101153126	LOC115930172	genuine-FP	genuine	0.4084	0.4867	1.0000	0.0000	0.0000		0.0000	0	32	28
LOC101153126	LOC115931567	genuine-FP	genuine	0.4089	0.4702	1.0000	0.0000	0.0000		0.0000	0	32	38
LOC101153126	LOC115931568	truthbar-FP	truthbar	0.4496	0.0000	1.0000	0.0000	0.0000		0.0000	0	32	32
LOC101153126	LOC115931576	truthbar-FP	truthbar	0.1447	0.4710	1.0000	0.0000	0.0000		0.0000	0	32	29
LOC101153126	LOC115931654	truthbar-FP	truthbar	0.1898	0.0000	1.0000	0.2282	0.3222		0.0400	7	32	32
LOC101153126	LOC115931857	truthbar-FP	truthbar	0.1993	0.0000	1.0000	0.3419	0.4929		0.0400	12	32	29
LOC101153126	LOC129527827	genuine-FP	genuine	0.2279	0.0000	1.0000	0.0000	0.0000		0.0000	0	32	33
LOC101153126	LOC129528947	genuine-FP	genuine	0.4090	0.4785	1.0000	0.0000	0.0000		0.0000	0	32	35
LOC101153126	ZNF195	truthbar-FP	truthbar	0.1373	0.0000	1.0000	0.0000	0.0000		0.0000	0	32	26
LOC101153126	ZNF254	truthbar-FP	truthbar	0.2445	0.0000	1.0000	0.0000	0.0000		0.0000	0	32	30
LOC101153126	ZNF267	truthbar-FP	truthbar	0.1760	0.0000	1.0000	0.0000	0.0000		0.0000	0	32	29
LOC101153126	ZNF273	truthbar-FP	truthbar	0.1654	0.7966	1.0000	0.0000	0.0000		0.0000	0	32	35
LOC101153126	ZNF28	truthbar-FP	truthbar	0.1854	0.0000	1.0000	0.1189	0.2179	0.0000	0.0400	5	32	23
LOC101153126	ZNF429	truthbar-FP	truthbar	0.6889	0.0000	1.0000	0.0000	0.0000		0.0000	0	32	36
LOC101153126	ZNF43	truthbar-FP	truthbar	0.4022	0.6951	1.0000	0.0000	0.0000		0.0000	0	32	26
LOC101153126	ZNF430	truthbar-FP	truthbar	0.3934	0.4661	1.0000	0.0000	0.0000		0.0000	0	32	32
LOC101153126	ZNF468	truthbar-FP	truthbar	0.2298	0.0000	1.0000	0.1852	0.2578		0.0400	6	32	25
LOC101153126	ZNF486	truthbar-FP	truthbar	0.2276	0.0000	1.0000	0.0000	0.0000		0.0000	0	32	32
LOC101153126	ZNF506	truthbar-FP	truthbar	0.2118	0.0000	1.0000	0.0000	0.0000		0.0000	0	32	34
LOC101153126	ZNF519	truthbar-FP	truthbar	0.2736	0.0000	1.0000	0.0000	0.0000		0.0000	0	32	36
LOC101153126	ZNF595	truthbar-FP	truthbar	0.3340	0.0000	1.0000	0.0000	0.0000		0.0000	0	32	46
LOC101153126	ZNF600	truthbar-FP	truthbar	0.2377	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	32	23
LOC101153126	ZNF611	truthbar-FP	truthbar	0.1825	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	32	19
LOC101153126	ZNF626	truthbar-FP	truthbar	0.3685	0.0000	1.0000	0.0456	0.0484		0.0400	1	32	29
LOC101153126	ZNF675	truthbar-FP	truthbar	0.2252	0.7657	1.0000	0.0000	0.0000	0.0000	0.0000	0	32	20
LOC101153126	ZNF678	truthbar-FP	truthbar	0.2990	0.0000	1.0000	0.0000	0.0000		0.0000	0	32	44
LOC101153126	ZNF680	truthbar-FP	truthbar	0.2323	0.5376	1.0000	0.0000	0.0000		0.0000	0	32	38
LOC101153126	ZNF681	truthbar-FP	truthbar	0.2514	0.3928	1.0000	0.0000	0.0000	0.0000	0.0000	0	32	17
LOC101153126	ZNF682	truthbar-FP	truthbar	0.2929	0.0000	1.0000	0.0000	0.0000		0.0000	0	32	36
LOC101153126	ZNF721	truthbar-FP	truthbar	0.2785	0.0000	1.0000	0.0000	0.0000		0.0000	0	32	46
LOC101153126	ZNF723	truthbar-FP	truthbar	0.3152	0.7275	1.0000	0.0000	0.0000	0.0000	0.0000	0	32	14
LOC101153126	ZNF727	truthbar-FP	truthbar	0.1748	0.0000	1.0000	0.0000	0.0000		0.0000	0	32	36
LOC101153126	ZNF736	truthbar-FP	truthbar	0.2136	0.0000	1.0000	0.0000	0.0000		0.0000	0	32	30
LOC101153126	ZNF761	truthbar-FP	truthbar	0.2585	0.0000	1.0000	0.0141	0.0083	0.0000	0.0400	10	32	8
LOC101153126	ZNF813	truthbar-FP	truthbar	0.1648	0.0000	0.7207	0.0123	0.0046	0.0000	0.0400	1	32	8
LOC101153126	ZNF83	truthbar-FP	truthbar	0.3384	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	32	19
LOC101153126	ZNF836	truthbar-FP	truthbar	0.2485	0.0000	1.0000	0.0000	0.0000		0.0000	0	32	25
LOC101153126	ZNF841	truthbar-FP	truthbar	0.1359	0.0000	1.0000	0.0000	0.0000		0.0000	0	32	25
LOC101153126	ZNF888	truthbar-FP	truthbar	0.2174	0.0000	1.0000	0.0110	0.0021	0.0000	0.0400	9	32	13
LOC101153126	ZNF91	truthbar-FP	truthbar	0.3899	0.5232	1.0000	0.0000	0.0000	0.0000	0.0000	0	32	25
LOC101153126	ZNF92	truthbar-FP	truthbar	0.1637	0.4155	1.0000	0.0000	0.0000		0.0000	0	32	40
LOC101153131	LOC109024216	truthbar-FP	truthbar	0.2614	0.7828	1.0000	0.0000	0.0000	0.0000	0.0000	0	24	37
LOC101153131	LOC115931567	genuine-FP	genuine	0.2738	0.0000	1.0000	0.0878	0.1555	0.0000	0.0400	4	24	38
LOC101153131	LOC115931654	truthbar-FP	truthbar	0.2734	0.8318	1.0000	0.0000	0.0000	0.0000	0.0000	0	24	32
LOC101153131	LOC115931857	truthbar-FP	truthbar	0.1790	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	24	29
LOC101153131	OSBPL10	genuine-FP	genuine	0.4704	0.0000	1.0000	0.0117	0.0034	0.0000	0.0400	10	24	19
LOC101153131	ZNF267	truthbar-FP	truthbar	0.3700	0.0000	1.0000	0.1830	0.3460	0.0000	0.0400	7	24	29
LOC101153131	ZNF28	truthbar-FP	truthbar	0.2390	0.4236	1.0000	0.0000	0.0000	0.0000	0.0000	0	24	23
LOC101153131	ZNF347	truthbar-FP	truthbar	0.2667	0.0000	1.0000	0.5667	0.5934	1.0000	0.0800	12	24	19
LOC101153131	ZNF415	truthbar-FP	truthbar	0.4012	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	24	33
LOC101153131	ZNF468	truthbar-FP	truthbar	0.2464	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	24	25
LOC101153131	ZNF480	truthbar-FP	truthbar	0.3270	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	24	18
LOC101153131	ZNF519	truthbar-FP	truthbar	0.2892	0.0000	1.0000	0.1118	0.2036	0.0000	0.0400	5	24	36
LOC101153131	ZNF578	truthbar-FP	truthbar	0.2150	0.9607	1.0000	0.2423	0.4646	0.0000	0.0400	7	24	13
LOC101153131	ZNF595	truthbar-FP	truthbar	0.2180	0.0000	1.0000	0.0878	0.1555	0.0000	0.0400	4	24	46
LOC101153131	ZNF600	truthbar-FP	truthbar	0.3165	0.6891	1.0000	0.5937	0.6474	1.0000	0.0800	15	24	23
LOC101153131	ZNF611	truthbar-FP	truthbar	0.2794	0.4498	1.0000	0.5969	0.6538	1.0000	0.0800	14	24	19
LOC101153131	ZNF616	truthbar-FP	truthbar	0.1453	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	24	16
LOC101153131	ZNF655	truthbar-FP	truthbar	0.1378	0.0000	1.0000	0.0329	0.0102	0.0000	0.1111	1	24	6
LOC101153131	ZNF701	truthbar-FP	truthbar	0.2348	0.7041	1.0000	0.3440	0.6680	0.0000	0.0400	12	24	15
LOC101153131	ZNF761	truthbar-FP	truthbar	0.1966	0.7386	1.0000	0.3524	0.6849	0.0000	0.0400	14	24	8
LOC101153131	ZNF766	truthbar-FP	truthbar	0.3685	0.0000	1.0000	0.1883	0.3566	0.0000	0.0400	8	24	16
LOC101153131	ZNF808	truthbar-FP	truthbar	0.3105	1.1794	1.0000	0.5609	0.5819	1.0000	0.0800	13	24	20
LOC101153131	ZNF813	truthbar-FP	truthbar	0.3367	0.7315	1.0000	0.3928	0.7655	0.0000	0.0400	8	24	8
LOC101153131	ZNF83	truthbar-FP	truthbar	0.4790	0.0000	1.0000	0.5274	0.5148	1.0000	0.0800	11	24	19
LOC101153131	ZNF836	truthbar-FP	truthbar	0.3019	0.0000	1.0000	0.2816	0.5431	0.0000	0.0400	13	24	25
LOC101153131	ZNF841	truthbar-FP	truthbar	0.1453	0.0000	1.0000	0.2917	0.5634	0.0000	0.0400	13	24	25
LOC101153131	ZNF888	truthbar-FP	truthbar	0.5873	0.6940	1.0000	0.1985	0.3771	0.0000	0.0400	13	24	13
LOC101153131	ZNF91	truthbar-FP	truthbar	0.2180	0.0000	1.0000	0.2931	0.5661	0.0000	0.0400	12	24	25
LOC101153131	ZNF92	truthbar-FP	truthbar	0.3876	0.0000	1.0000	0.1341	0.2481	0.0000	0.0400	6	24	40
LOC101153153	LOC129529923	TP	TP	0.9969	0.9977	0.9977	1.0000	1.0000	1.0000	1.0000	8	1	1
LOC101153360	LOC109027174	genuine-FP	genuine	0.5493	0.5854	1.0000	0.7071	0.9591	0.7500	0.1600	24	8	8
LOC101153360	MHC-G	truthbar-FP	truthbar	0.4188	0.7881	1.0000	0.7006	0.9591	0.6842	0.2000	24	8	8
LOC101153366	LOC109027180	TP	TP	0.6583	1.0047	1.0000	0.8139	1.0000	0.8667	0.3889	20	4	8
LOC101153504	LOC109024193	truthbar-FP	truthbar	0.1706	0.0000	1.0000	0.4882	0.5521	0.6667	0.1818	17	8	8
LOC101153504	LOC115930105	truthbar-FP	truthbar	0.2598	0.0000	1.0000	0.5362	0.7106	0.5333	0.1905	15	8	8
LOC101153504	ZIK1	truthbar-FP	truthbar	0.2816	0.0000	1.0000	0.2493	0.2367	0.3333	0.1905	10	8	8
LOC101153504	ZNF132	truthbar-FP	truthbar	0.1842	0.0000	1.0000	0.1047	0.1867	0.0000	0.0455	3	8	12
LOC101153504	ZNF134	truthbar-FP	truthbar	0.1839	0.0000	1.0000	0.3193	0.3548	0.3571	0.2105	11	8	8
LOC101153504	ZNF154	truthbar-FP	truthbar	0.3290	0.0000	1.0000	0.2783	0.4445	0.1333	0.0909	11	8	9
LOC101153504	ZNF256	truthbar-FP	truthbar	0.3423	0.0000	1.0000	0.1796	0.3366	0.0000	0.0455	4	8	12
LOC101153504	ZNF416	truthbar-FP	truthbar	0.2037	0.0000	1.0000	0.2210	0.3298	0.1333	0.0909	10	8	10
LOC101153504	ZNF547	truthbar-FP	truthbar	0.1401	0.0000	1.0000	0.3757	0.4259	0.4286	0.2222	14	8	7
LOC101153504	ZNF551	truthbar-FP	truthbar	0.2088	0.0000	1.0000	0.2155	0.3189	0.1333	0.0909	9	8	8
LOC101153504	ZNF671	truthbar-FP	truthbar	0.2009	0.0000	1.0000	0.4041	0.5173	0.4000	0.1818	11	8	8
LOC101153504	ZNF792	truthbar-FP	truthbar	0.2378	0.0000	1.0000	0.1140	0.2053	0.0000	0.0455	3	8	14
LOC101153526	LOC109024129	genuine-FP	genuine	0.1693	0.0000	0.0000	0.1855	0.3398	0.0000	0.0625	2	8	4
LOC101153526	ZKSCAN1	genuine-FP	genuine	0.1623	0.0000	1.0000	0.3333	0.6308	0.0000	0.0714	5	8	7
LOC101153526	ZNF264	truthbar-FP	truthbar	0.1434	0.0000	0.0000	0.4565	0.8131	0.0000	0.2000	1	8	2
LOC101153526	ZNF311	truthbar-FP	truthbar	0.1734	0.0000	1.0000	0.2203	0.3781	0.0000	0.1250	1	8	3
LOC101153526	ZNF35	genuine-FP	genuine	0.2293	0.0000	0.0000	0.0126	0.0044	0.0000	0.0417	1	8	8
LOC101153526	ZNF397	genuine-FP	genuine	0.1601	0.0000	0.0000	0.3236	0.5508	0.0500	0.1429	2	8	6
LOC101153526	ZNF436	truthbar-FP	truthbar	0.1582	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	8	6
LOC101153526	ZNF473	truthbar-FP	truthbar	0.2313	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	8	6
LOC101153526	ZNF502	truthbar-FP	truthbar	0.2008	0.0000	0.0000	0.0947	0.1338	0.0000	0.1111	1	8	5
LOC101153526	ZNF543	truthbar-FP	truthbar	0.2176	0.0000	0.0000	0.2449	0.4481	0.0000	0.0833	1	8	3
LOC101153526	ZNF550	truthbar-FP	truthbar	0.1896	0.0000	0.0000	0.3622	0.6618	0.0000	0.1250	1	8	4
LOC101153526	ZNF594	truthbar-FP	truthbar	0.1800	0.0000	0.0000	0.3026	0.5718	0.0000	0.0667	5	8	6
LOC101153526	ZNF667	truthbar-FP	truthbar	0.2725	0.0000	0.0000	0.2590	0.4681	0.0000	0.1000	2	8	5
LOC101153526	ZNF805	truthbar-FP	truthbar	0.1484	0.0000	0.0000	0.2449	0.4481	0.0000	0.0833	1	8	4
LOC101153526	ZSCAN12	genuine-FP	genuine	0.1686	0.0000	1.0000	0.3244	0.6260	0.0000	0.0455	2	8	8
LOC101153526	ZSCAN22	genuine-FP	genuine	0.1467	0.0000	0.0000	0.5216	0.8766	0.0000	0.3333	1	8	3
LOC101153611	LOC115931590	TP	TP	1.0000	1.0000	1.0000	0.8125	1.0000	0.9167	0.3333	15	8	5
LOC101153611	ZSCAN5B	truthbar-FP	truthbar	0.4856	0.8817	1.0000	0.8125	1.0000	0.9167	0.3333	15	8	3
LOC101153725	LOC101153837	truthbar-FP	truthbar	0.1950	0.0000	1.0000	0.3149	0.5444	0.0909	0.0800	8	14	9
LOC101153725	LOC101154200	truthbar-FP	truthbar	0.2105	0.0000	1.0000	0.2121	0.3387	0.0909	0.0800	6	14	11
LOC101153725	LOC109024269	genuine-FP	genuine	0.3119	0.0000	1.0000	0.2166	0.4132	0.0000	0.0400	6	14	9
LOC101153725	LOC109025073	truthbar-FP	truthbar	0.2667	0.0000	1.0000	0.3964	0.5256	0.4545	0.0800	12	14	14
LOC101153725	ZNF124	truthbar-FP	truthbar	0.3556	0.0000	1.0000	0.4684	0.6696	0.4545	0.0800	16	14	12
LOC101153725	ZNF136	truthbar-FP	truthbar	0.3288	0.0000	1.0000	0.1800	0.2746	0.0909	0.0800	13	14	11
LOC101153725	ZNF14	truthbar-FP	truthbar	0.2761	0.0000	1.0000	0.1555	0.2256	0.0909	0.0800	5	14	12
LOC101153725	ZNF426	truthbar-FP	truthbar	0.2522	0.0000	1.0000	0.2377	0.4555	0.0000	0.0400	10	14	8
LOC101153725	ZNF433	truthbar-FP	truthbar	0.3419	0.0000	1.0000	0.2452	0.3141	0.2727	0.0800	14	14	13
LOC101153725	ZNF440	truthbar-FP	truthbar	0.2396	0.0000	1.0000	0.4383	0.5638	0.5455	0.0800	13	14	15
LOC101153725	ZNF441	truthbar-FP	truthbar	0.1555	0.0000	1.0000	0.0705	0.1202	0.0000	0.0417	2	14	7
LOC101153725	ZNF443	truthbar-FP	truthbar	0.3209	0.0000	1.0000	0.1049	0.1899	0.0000	0.0400	12	14	8
LOC101153725	ZNF490	truthbar-FP	truthbar	0.1705	0.0000	1.0000	0.0411	0.0621	0.0000	0.0400	11	14	7
LOC101153725	ZNF563	truthbar-FP	truthbar	0.2781	0.0000	1.0000	0.1774	0.3349	0.0000	0.0400	13	14	8
LOC101153725	ZNF564	truthbar-FP	truthbar	0.1885	0.0000	1.0000	0.0946	0.1691	0.0000	0.0400	12	14	8
LOC101153725	ZNF57	truthbar-FP	truthbar	0.3103	0.0000	1.0000	0.2093	0.3829	0.0000	0.0714	2	14	6
LOC101153725	ZNF627	truthbar-FP	truthbar	0.3940	0.0000	1.0000	0.4044	0.5545	0.4286	0.0800	13	14	19
LOC101153725	ZNF669	truthbar-FP	truthbar	0.3754	0.0000	1.0000	0.5263	0.6377	0.7500	0.0800	15	14	22
LOC101153725	ZNF77	truthbar-FP	truthbar	0.2224	0.0000	0.3306	0.0230	0.0102	0.0000	0.0714	10	14	5
LOC101153725	ZNF799	truthbar-FP	truthbar	0.2557	0.0000	0.6384	0.0000	0.0000	0.0000	0.0000	0	14	8
LOC101153725	ZNF823	truthbar-FP	truthbar	0.3642	0.0000	1.0000	0.6016	0.6631	1.0000	0.0800	11	14	24
LOC101153727	LOC109024207	genuine-FP	genuine	0.2005	0.0000	1.0000	0.3113	0.6027	0.0000	0.0400	9	14	9
LOC101153727	LOC109027078	truthbar-FP	truthbar	0.1587	0.0000	1.0000	0.0963	0.1725	0.0000	0.0400	10	14	5
LOC101153727	ZFP28	truthbar-FP	truthbar	0.2377	0.0000	1.0000	0.3526	0.5743	0.1818	0.0800	12	14	11
LOC101153727	ZFP82	truthbar-FP	truthbar	0.1856	0.0000	1.0000	0.2395	0.4590	0.0000	0.0400	7	14	8
LOC101153727	ZNF177	truthbar-FP	truthbar	0.2526	0.0000	1.0000	0.1787	0.3323	0.0000	0.0500	11	14	8
LOC101153727	ZNF184	truthbar-FP	truthbar	0.2563	0.0000	1.0000	0.0224	0.0249	0.0000	0.0400	8	14	8
LOC101153727	ZNF189	truthbar-FP	truthbar	0.1554	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	14	8
LOC101153727	ZNF283	genuine-FP	genuine	0.2848	0.0000	1.0000	0.3608	0.4998	0.3636	0.0800	11	14	13
LOC101153727	ZNF30	truthbar-FP	truthbar	0.2460	0.0000	1.0000	0.1433	0.2666	0.0000	0.0400	5	14	10
LOC101153727	ZNF331	truthbar-FP	truthbar	0.2075	0.0000	1.0000	0.3321	0.5787	0.0909	0.0800	11	14	11
LOC101153727	ZNF420	truthbar-FP	truthbar	0.3898	0.0000	1.0000	0.5010	0.6619	0.6000	0.0800	14	14	15
